linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
1,145.000 €,135,45.9133979,16.8636019,Bjelovarsko-bilogorska,Bjelovar,Sjever,U kući,Dvoetažni,3-sobni,2,,Prizemlje,https://www.njuskalo.hr/nekretnine/bjelovar-sjever-stan-kuci-135.73-m2-oglas-39058050
2,20.000 €,50,45.901193576547165,16.858852082596012,Bjelovarsko-bilogorska,Bjelovar,Centar,U kući,Jednoetažni,1-sobni,1,1,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-bjelovar-grgura-ninskog-50.00-m2-oglas-41851465
3,120.000 €,58,45.592620438902,17.218103610223,Bjelovarsko-bilogorska,Daruvar,Daruvar,U stambenoj zgradi,Jednoetažni,2-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/stan-daruvar-58.00-m2-novogradnja-oglas-41718233
4,235.000 €,65,43.5422549,16.4919632,Bjelovarsko-bilogorska,Bjelovar,Centar,U stambenoj zgradi,Dvoetažni,2-sobni,1,,,https://www.njuskalo.hr/nekretnine/solin-dvoetazni-stan-65-m2-izvrsnoj-lokaciji-oglas-42013086
5,75.000 €,67,45.895432037875,16.844602400274,Bjelovarsko-bilogorska,Bjelovar,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/prodajem-stan-centru-bjelovar-67.00-m2-oglas-42218303
6,220.000 €,100,45.90293727335494,16.8569409285,Bjelovarsko-bilogorska,Bjelovar,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,2,1.,https://www.njuskalo.hr/nekretnine/stan-102-m-oglas-42288276
7,133.000 €,70,45.90033124514733,16.842604429377047,Bjelovarsko-bilogorska,Bjelovar,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/trosobni-stan-prvom-katu-spremiste-garaza-prodaja-oglas-42068368
8,160.000 €,98,45.911319332987,16.854650304299,Bjelovarsko-bilogorska,Bjelovar,Sjever,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,2.,https://www.njuskalo.hr/nekretnine/sjever-novouredeni-stan-oglas-40117448
9,115.000 €,120,45.8939324,16.8409466,Bjelovarsko-bilogorska,Bjelovar,Centar,U stambenoj zgradi,Dvoetažni,4-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/cetverosobni-stan-centru-oglas-38669249
10,250.000 €,208,,,Bjelovarsko-bilogorska,Bjelovar,Centar,U stambenoj zgradi,Dvoetažni,4-sobni,2,3,1.,https://www.njuskalo.hr/nekretnine/luksuzni-penthouse-3s-db-209m-garaza-rostilj-bjelovar-oglas-39120141
11,91.500 €,61,45.592348231335,17.216850994623,Bjelovarsko-bilogorska,Daruvar,Daruvar,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,3.,https://www.njuskalo.hr/nekretnine/trosobni-stan-centru-oglas-41169992
