price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
350.000 €,43.26218535298,16.654214855516,Bol,U kući,Dvoetažni,2-sobni,Potkrovlje,72,https://www.njuskalo.hr/nekretnine/bol-stan-kuci-drugi-red-mora-prodaja-oglas-15382833,,
125.000 €,45.782498866745,15.964920343686,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,1-sobni,2.,33,https://www.njuskalo.hr/nekretnine/kajzerica-stan-novija-gradnja-odmah-useljiv-33.78-m2-vlasnik-oglas-42151740,1,
207.000 €,45.172337064253,14.554298605142,Omišalj,U stambenoj zgradi,Jednoetažni,2-sobni,1.,54,https://www.njuskalo.hr/nekretnine/njivice-prodaja-apartmana-1-katu-500m-mora-oglas-42062208,1,
1.205.000 €,45.127008274604,14.529317075101,Malinska-Dubašnica,U stambenoj zgradi,Jednoetažni,4-sobni,2.,207,https://www.njuskalo.hr/nekretnine/malinska-luksuzni-penthouse-samo-100m-mora-oglas-40664832,2,1
420.000 €,,,Rijeka,U stambenoj zgradi,Jednoetažni,4-sobni,2.,172,https://www.njuskalo.hr/nekretnine/rijeka-prostrani-stan-povijesnoj-vili-pogledom-more-oglas-40191172,1,1
340.000 €,45.169117204255,14.592215747477,Dobrinj,U stambenoj zgradi,Jednoetažni,4-sobni,Prizemlje,92,https://www.njuskalo.hr/nekretnine/cizici-apartman-okucnicom-pogledom-more-dodatnim-apatmanom-oglas-40191171,2,
220.000 €,44.86267,13.847133,Pula,U stambenoj zgradi,Jednoetažni,3-sobni,2.,76,https://www.njuskalo.hr/nekretnine/stan-pula-2-kat-blizina-centra-76.00-m2-oglas-41340123,2,
147.000 €,45.764187515,15.9986793,Novi Zagreb - Istok,U stambenoj zgradi,Jednoetažni,2-sobni,Visoko prizemlje,44,https://www.njuskalo.hr/nekretnine/stan-zagreb-kamenarka-44.36-m2-novogradnja-oglas-40189692,1,1
290.000 €,43.2620221,16.6491194,Bol,U stambenoj zgradi,Jednoetažni,4-sobni,Prizemlje,130,https://www.njuskalo.hr/nekretnine/bol-brac-cetverosobni-stan-prodaja-oglas-36922843,2,2
260.000 €,43.169064298728,16.448119858583,Hvar,U stambenoj zgradi,Jednoetažni,2-sobni,1.,54,https://www.njuskalo.hr/nekretnine/otok-hvar-hvar-dvosoban-stan-novogradnja-ekskluzivna-prodaja-oglas-38149197,1,
490.000 €,43.508596248723,16.449405554857,Split,U stambenoj zgradi,Jednoetažni,4-sobni,3.,101,https://www.njuskalo.hr/nekretnine/prodaje-se-stan-splitu-manus-101.00-m2-oglas-39821223,1,1
339.000 €,45.83843679495055,15.938640463783438,Črnomerec,U stambenoj zgradi,Jednoetažni,3-sobni,2.,123,https://www.njuskalo.hr/nekretnine/sveti-duh-bijenik-odlican-3-soban-penthouse-2-vpm-oglas-42053868,2,
230.000 €,,,Split,U stambenoj zgradi,Jednoetažni,2-sobni,Visoko potkrovlje,107,https://www.njuskalo.hr/nekretnine/split-visoka-dvosobni-stan-prodaja-oglas-38959314,1,1
225.000 €,45.819068231404,15.862213830549,Podsused - Vrapče,U stambenoj zgradi,Jednoetažni,3-sobni,,68,https://www.njuskalo.hr/nekretnine/stan-izgradnji-oglas-40467317,2,2
155.000 €,45.814361411178,15.949326753616,Črnomerec,U stambenoj zgradi,Jednoetažni,2-sobni,Suteren,66,https://www.njuskalo.hr/nekretnine/stan-zagreb-mandalicina-sveti-duh-66m2-novija-gradnja-suteren-oglas-37754031,1,2
278.000 €,45.79177374962805,15.91548800468445,Trešnjevka - Jug,U stambenoj zgradi,Jednoetažni,4-sobni,2.,84,https://www.njuskalo.hr/nekretnine/stan-zagreb-jarun-vrbani-84-m2-cetverosobni-dva-balkona-oglas-40732766,1,2
231.330 €,43.522010484982,16.222302505033,Seget,U stambenoj zgradi,Jednoetažni,3-sobni,1.,78,https://www.njuskalo.hr/nekretnine/seget-donji-trosoban-stan-top-lokaciji-zapoceta-gradnja-oglas-42271645,2,
180.000 €,,,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,2.,61,https://www.njuskalo.hr/nekretnine/zagreb-remetinec-61.03-m2-2-sobni-terasa-parking-oglas-42145781,,
235.000 €,,,Trešnjevka - Sjever,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,67,https://www.njuskalo.hr/nekretnine/spansko-savska-opatovina-67.25-m2-3-sobni-garaza-novogradnja-oglas-42110651,,
285.000 €,,,Trnje,U stambenoj zgradi,Dvoetažni,4-sobni,4.,120,https://www.njuskalo.hr/nekretnine/vrbik-kninski-trg-120-m2-4-sobni-2-lode-dvoetazni-stan-oglas-42145782,,
240.000 €,,,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,73,https://www.njuskalo.hr/nekretnine/zagreb-remetinec-73.41-m2-3-soban-vrt-parking-luksuzni-oglas-42145779,,
210.000 €,,,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,5.,65,https://www.njuskalo.hr/nekretnine/laniste-jaruscica-66-m2-2-sobni-zatvorena-loda-parking-oglas-42110652,,
399.000 €,,,Donji Grad,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,110,https://www.njuskalo.hr/nekretnine/centar-kod-sheratona-110-m2-3-sobni-2-kupaonice-lux-oglas-42101880,,
