linenum,price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
0,85.000 €,45.54298303017485,18.71456623077393,Osijek,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,50,https://www.njuskalo.hr/nekretnine/stan-osijek-50.00-m2-oglas-42272733,1,
1,270.000 €,,,Okrug,U stambenoj zgradi,Jednoetažni,2-sobni,1.,80,https://www.njuskalo.hr/nekretnine/kompletno-ureden-komforan-suncan-dvosoban-stan-pogledom-more-oglas-41994261,,
2,263.000 €,43.505082260451,16.490883776486,Split,U stambenoj zgradi,Jednoetažni,3-sobni,1.,79,https://www.njuskalo.hr/nekretnine/ekskluzivno-trosoban-stan-pazdigrad-blizini-osnovne-skole-79m2-oglas-42272786,1,2
3,750.000 €,45.08340486394355,13.64411571847354,Rovinj,U kući,Dvoetažni,4-sobni,,150,https://www.njuskalo.hr/nekretnine/rovinj-blizu-centra-dvoetazni-stan-150-m2-privatni-bazen-dvoriste-oglas-42163827,3,
4,72.000 €,,,Sesvete,U stambenoj zgradi,Jednoetažni,2-sobni,1.,42,https://www.njuskalo.hr/nekretnine/stan-zagreb-sesvete-kraljevecki-novaki-42m2-dvosobni-parking-oglas-41810742,1,1
5,145.000 €,,,Sesvete,U stambenoj zgradi,Jednoetažni,1-sobni,Prizemlje,96,https://www.njuskalo.hr/nekretnine/stan-sesvete-selcina-96m2-roh-bau-oglas-38934792,1,1
6,279.400 €,,,Zaprešić,U stambenoj zgradi,Jednoetažni,4-sobni,1.,127,https://www.njuskalo.hr/nekretnine/stan-zapresic-kalamirova-4s-127m2-novogradnja-oglas-41615944,2,1
7,374.000 €,,,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,4-sobni,2.,126,https://www.njuskalo.hr/nekretnine/stan-zagreb-blato-zdihovska-4-sobni-penthouse-luksuzno-126m2-oglas-41378493,2,2
8,149.000 €,,,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,3-sobni,Potkrovlje,63,https://www.njuskalo.hr/nekretnine/stan-zagreb-savski-gaj-3-soban-stan-potkrovlje-63m2-oglas-40932893,1,1
9,269.000 €,,,Zaprešić,U stambenoj zgradi,Jednoetažni,4-sobni,Prizemlje,122,https://www.njuskalo.hr/nekretnine/stan-zapresic-kalamirova-4-sobni-122m2-novogradnja-oglas-40125103,2,1
10,111.500 €,45.876584827032,16.422638187952,Vrbovec,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,74,https://www.njuskalo.hr/nekretnine/prodaja-vrbovec-stan-2-soban-74-m2-oglas-42272747,1,1
11,314.000 €,45.862479015171765,15.985373150283978,Maksimir,U stambenoj zgradi,Jednoetažni,4-sobni,2.,108,https://www.njuskalo.hr/nekretnine/remete-novogradnja-lift-penthouse-4-108.46-m2-velika-terasa-oglas-42148480,2,2
