linenum,url
0,https://www.njuskalo.hr/nekretnine/stan-osijek-50.00-m2-oglas-42272733
1,https://www.njuskalo.hr/nekretnine/kompletno-ureden-komforan-suncan-dvosoban-stan-pogledom-more-oglas-41994261
2,https://www.njuskalo.hr/nekretnine/ekskluzivno-trosoban-stan-pazdigrad-blizini-osnovne-skole-79m2-oglas-42272786
3,https://www.njuskalo.hr/nekretnine/rovinj-blizu-centra-dvoetazni-stan-150-m2-privatni-bazen-dvoriste-oglas-42163827
4,https://www.njuskalo.hr/nekretnine/stan-zagreb-sesvete-kraljevecki-novaki-42m2-dvosobni-parking-oglas-41810742
5,https://www.njuskalo.hr/nekretnine/stan-sesvete-selcina-96m2-roh-bau-oglas-38934792
6,https://www.njuskalo.hr/nekretnine/stan-zapresic-kalamirova-4s-127m2-novogradnja-oglas-41615944
7,https://www.njuskalo.hr/nekretnine/stan-zagreb-blato-zdihovska-4-sobni-penthouse-luksuzno-126m2-oglas-41378493
8,https://www.njuskalo.hr/nekretnine/stan-zagreb-savski-gaj-3-soban-stan-potkrovlje-63m2-oglas-40932893
9,https://www.njuskalo.hr/nekretnine/stan-zapresic-kalamirova-4-sobni-122m2-novogradnja-oglas-40125103
10,https://www.njuskalo.hr/nekretnine/prodaja-vrbovec-stan-2-soban-74-m2-oglas-42272747
11,https://www.njuskalo.hr/nekretnine/remete-novogradnja-lift-penthouse-4-108.46-m2-velika-terasa-oglas-42148480
12,https://www.njuskalo.hr/nekretnine/trosobni-stan-vrtom-zagreb-blato-82.38-m2-oglas-41369871
13,https://www.njuskalo.hr/nekretnine/stan-zagreb-resnik-96.34-m2-novogradnja-oglas-38999905
14,https://www.njuskalo.hr/nekretnine/stan-zagreb-resnik-60.44-m2-novogradnja-oglas-38999877
15,https://www.njuskalo.hr/nekretnine/njuskalo-oglas-40760042
16,https://www.njuskalo.hr/nekretnine/stan-prodaja-zagreb-tresnjevka-72-m2-4-soban-oglas-40405765
17,https://www.njuskalo.hr/nekretnine/stan-prodaja-zagreb-dugave-54-m2-2-soban-oglas-40596583
