linenum,price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
5988,205.000 €,45.173211810553,14.554943705612,Omišalj,U stambenoj zgradi,Jednoetažni,2-sobni,,58,https://www.njuskalo.hr/nekretnine/krk-njivice-stan-oglas-41181912,,
5989,183.000 €,45.33401445781,14.430026561332,Rijeka,U stambenoj zgradi,Jednoetažni,2-sobni,4.,52,https://www.njuskalo.hr/nekretnine/potok-2skl-52m2-oglas-40897710,1,
5990,199.000 €,45.128589464576,14.528755129719,Malinska-Dubašnica,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,47,https://www.njuskalo.hr/nekretnine/malinska-stan-2skl-prizemlje-47m2-oglas-41526513,1,
5991,106.000 €,45.324759078872,14.477392636618,Rijeka,U stambenoj zgradi,Jednoetažni,1-sobni,6.,31,https://www.njuskalo.hr/nekretnine/gornja-vezica-1skl-32m2-oglas-41677114,1,
5992,165.000 €,45.324524296407,14.458760632272,Rijeka,U stambenoj zgradi,Jednoetažni,2-sobni,7.,51,https://www.njuskalo.hr/nekretnine/krimeja-2sb-klasicni-pogledom-more-oglas-41051159,1,
5993,320.000 €,45.355518945503,14.368473774384,Rijeka,U stambenoj zgradi,Jednoetažni,4-sobni,1.,100,https://www.njuskalo.hr/nekretnine/srdoci-100-m2-3s-db-balkon-oglas-40958178,,
5994,207.500 €,,,Rijeka,U stambenoj zgradi,Dvoetažni,2-sobni,5.,75,https://www.njuskalo.hr/nekretnine/centar-75-m2-terasa-30-m2-pogled-oglas-40124853,,
5995,165.000 €,,,Rijeka,U stambenoj zgradi,Jednoetažni,3-sobni,1.,65,https://www.njuskalo.hr/nekretnine/uzi-centar-65-m2-3s-1-kat-oglas-39700910,,
5996,315.000 €,,,Rijeka,U stambenoj zgradi,Jednoetažni,5+ sobni,1.,140,https://www.njuskalo.hr/nekretnine/centar-1-kat-140m2-kompletno-ureden-oglas-39700824,,
5997,2.500 €,45.380129820983,14.354150784414,Kastav,U stambenoj zgradi,Jednoetažni,4-sobni,Prizemlje,100,https://www.njuskalo.hr/nekretnine/kastav-3s-db-novogradnja-2.500-m2-oglas-39700756,2,
5998,2.500 €,45.37900877885,14.354868697995,Kastav,U stambenoj zgradi,Jednoetažni,4-sobni,1.,100,https://www.njuskalo.hr/nekretnine/kastav-3s-db-novogradnja-2.500-m2-oglas-39700755,,
5999,250.000 €,45.377134660582,14.35428666809,Kastav,U stambenoj zgradi,Jednoetažni,4-sobni,2.,100,https://www.njuskalo.hr/nekretnine/kastav-3s-db-novogradnja-2.500-m2-oglas-39700754,2,
6000,166.000 €,45.333201854012,14.433092265586,Rijeka,U stambenoj zgradi,Jednoetažni,3-sobni,,72,https://www.njuskalo.hr/nekretnine/potok-72-m2-3s-klasicni-oglas-39700741,,
6001,222.000 €,45.379405276633,14.39964200918,Viškovo,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,108,https://www.njuskalo.hr/nekretnine/viskovo-2sb-db-108-m2-oglas-41534117,1,
6002,260.000 €,45.205063877504,14.667749510001,Crikvenica,U kući,Jednoetažni,5+ sobni,1.,140,https://www.njuskalo.hr/nekretnine/crikvenica-dramalj-stan-etaza-roh-bau-oglas-41534113,,
