linenum,price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
1,133.000 €,45.90033124514733,16.842604429377047,Bjelovar,U stambenoj zgradi,Jednoetažni,3-sobni,1.,70,https://www.njuskalo.hr/nekretnine/trosobni-stan-prvom-katu-spremiste-garaza-prodaja-oglas-42068368,1,
2,75.000 €,45.895432037875,16.844602400274,Bjelovar,U stambenoj zgradi,Jednoetažni,3-sobni,1.,67,https://www.njuskalo.hr/nekretnine/prodajem-stan-centru-bjelovar-67.00-m2-oglas-42218303,1,1
3,160.000 €,45.911319332987,16.854650304299,Bjelovar,U stambenoj zgradi,Jednoetažni,3-sobni,2.,98,https://www.njuskalo.hr/nekretnine/sjever-novouredeni-stan-oglas-40117448,1,1
4,115.000 €,45.8939324,16.8409466,Bjelovar,U stambenoj zgradi,Dvoetažni,4-sobni,1.,120,https://www.njuskalo.hr/nekretnine/cetverosobni-stan-centru-oglas-38669249,1,1
5,250.000 €,,,Bjelovar,U stambenoj zgradi,Dvoetažni,4-sobni,1.,208,https://www.njuskalo.hr/nekretnine/luksuzni-penthouse-3s-db-209m-garaza-rostilj-bjelovar-oglas-39120141,2,3
6,100.000 €,45.592620438902,17.218103610223,Daruvar,U stambenoj zgradi,Jednoetažni,2-sobni,2.,58,https://www.njuskalo.hr/nekretnine/stan-daruvar-58.00-m2-novogradnja-oglas-41718233,1,
7,91.500 €,45.592348231335,17.216850994623,Daruvar,U stambenoj zgradi,Jednoetažni,3-sobni,3.,61,https://www.njuskalo.hr/nekretnine/trosobni-stan-centru-oglas-41169992,1,1
8,63.000 €,45.591888974514,17.215721557934,Daruvar,U stambenoj zgradi,Jednoetažni,2-sobni,3.,41,https://www.njuskalo.hr/nekretnine/dvosobni-stan-centru-oglas-41169991,1,1
9,180.000 €,,,Bjelovar,U stambenoj zgradi,Dvoetažni,4-sobni,Prizemlje,180,https://www.njuskalo.hr/nekretnine/stan-secesijskoj-kuci-vrtom-centru-bjelovara-oglas-40063240,1,1
10,98.000 €,45.8967161,16.8434109,Bjelovar,U stambenoj zgradi,Jednoetažni,2-sobni,2.,53,https://www.njuskalo.hr/nekretnine/stan-centru-oglas-40234825,1,
