linenum,url
1,https://www.njuskalo.hr/nekretnine/prostran-cetverosobni-stan-153m2-gpm-oroslavje-oglas-41784180
2,https://www.njuskalo.hr/nekretnine/prodaja-stan-oroslavje-160m2-oglas-42089778
3,https://www.njuskalo.hr/nekretnine/stan-mokrice-116.00-m2-oglas-41399732
4,https://www.njuskalo.hr/nekretnine/stan-druzilovec-82.00-m2-novogradnja-oglas-41591691
5,https://www.njuskalo.hr/nekretnine/stan-zaboku-oglas-41769446
6,https://www.njuskalo.hr/nekretnine/stan-zabok-lug-zabocki-56.00-m2-novogradnja-oglas-39617598
7,https://www.njuskalo.hr/nekretnine/stan-65-m2-centru-krapinskih-toplica-oglas-40397082
8,https://www.njuskalo.hr/nekretnine/stan-centar-zaboka-dvoristem-spremistem-parkirnim-mjestom-oglas-41989061
9,https://www.njuskalo.hr/nekretnine/stan-77.86m2-veliko-trgovisce-novogradnja-useljiv-oglas-42216868
10,https://www.njuskalo.hr/nekretnine/stan-77.86m2-veliko-trgovisce-novogradnja-oglas-42216865
11,https://www.njuskalo.hr/nekretnine/stan-77.86m2-veliko-trgovisce-novogradnja-oglas-42216864
12,https://www.njuskalo.hr/nekretnine/stan-druzilovec-82.00-m2-oglas-41202336
13,https://www.njuskalo.hr/nekretnine/stan-zabok-90.00-m2-novogradnja-oglas-41510672
14,https://www.njuskalo.hr/nekretnine/stan-zabok-61.00-m2-novogradnja-oglas-41510631
15,https://www.njuskalo.hr/nekretnine/stan-zabok-62.00-m2-novogradnja-oglas-41510590
16,https://www.njuskalo.hr/nekretnine/zgrada-b-stan-veliko-trgovisce-81.62-m2-prizemlje-iii-kat-oglas-41473694
17,https://www.njuskalo.hr/nekretnine/stan-veliko-trgovisce-68.00-m2-novogradnja-oglas-39691177
18,https://www.njuskalo.hr/nekretnine/stan-oroslavje-andrije-gredicaka-3h-32.00-m2-oglas-33954524
19,https://www.njuskalo.hr/nekretnine/stan-kuci-dvoriste-centru-krapine-369.41m2-oglas-37795165
20,https://www.njuskalo.hr/nekretnine/stan-krapinske-toplice-60.00-m2-oglas-40973152
21,https://www.njuskalo.hr/nekretnine/stan-budinscina-54.15-m2-oglas-42184644
22,https://www.njuskalo.hr/nekretnine/stan-pregrada-69.39m2-oglas-41694940
23,https://www.njuskalo.hr/nekretnine/stan-pregrada-80.17-m2-oglas-41694943
24,https://www.njuskalo.hr/nekretnine/stan-pregrada-78.53-m2-oglas-41694942
25,https://www.njuskalo.hr/nekretnine/konjscina-stan-57-m2-1-kat-oglas-41729750
26,https://www.njuskalo.hr/nekretnine/stan-pregrada-78.53-m2-novogradnja-oglas-39474358
27,https://www.njuskalo.hr/nekretnine/stan-pregrada-69.39-m2-novogradnja-oglas-39474319
28,https://www.njuskalo.hr/nekretnine/stan-pregrada-80.17-m2-novogradnja-oglas-39473673
29,https://www.njuskalo.hr/nekretnine/stan-stubicke-toplice-52.00-m2-oglas-41384497
