price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
248.000 €,43.55375178973,16.376888483822,Kaštela,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,71,https://www.njuskalo.hr/nekretnine/3-sobni-stan-gomilica-lift-2-garazna-mjesta-punjacem-el-vozila-oglas-36166821,2,2
187.000 €,43.55375178973,16.376888483822,Kaštela,U stambenoj zgradi,Jednoetažni,2-sobni,1.,66,https://www.njuskalo.hr/nekretnine/kambelovac-dvosobni-66-m2-prodaje-investitor-oglas-41748695,1,
235.000 €,45.84577196158,15.966409864416,Podsljeme,U stambenoj zgradi,Dvoetažni,5+ sobni,2.,156,https://www.njuskalo.hr/nekretnine/mlinovi-ul-grascica-156-m2-novoureden-5-sobni-stan-terasom-oglas-42240059,2,
157.000 €,45.77340212019491,15.94223061966868,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,3.,46,https://www.njuskalo.hr/nekretnine/stan-zagreb-laniste-46.33-m2-top-lokacija-oglas-42057723,,
230.000 €,45.816387,15.962605,Gornji Grad - Medveščak,U stambenoj zgradi,Dvoetažni,4-sobni,1.,111,https://www.njuskalo.hr/nekretnine/kukuljeviceva-dvoetazni-4-sobni-stan-nkp-99-m2-jedinstvena-oglas-41652108,1,1
177.000 €,45.79622,15.945457,Trešnjevka - Sjever,U stambenoj zgradi,Jednoetažni,2-sobni,Visoko prizemlje,59,https://www.njuskalo.hr/nekretnine/bascanska-stan-59-m2-terasa-vrtom-29-m2-podrum-12-m2-parking-oglas-41735345,1,1
178.000 €,44.239340228733,15.139519489116,Privlaka,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,49,https://www.njuskalo.hr/nekretnine/stan-zadar-privlaka-55-m2-2-red-mora-prodaje-investitor-oglas-41890411,1,
210.000 €,44.14468577965,15.204488836358,Zadar,U stambenoj zgradi,Jednoetažni,1-sobni,1.,40,https://www.njuskalo.hr/nekretnine/stan-zadar-59.00-m2-novogradnja-oglas-41889171,1,
187.000 €,44.151436787424,15.209678070521,Zadar,U stambenoj zgradi,Jednoetažni,1-sobni,Prizemlje,40,https://www.njuskalo.hr/nekretnine/stan-zadar-diklo-50.00-m2-novogradnja-prodaje-direktno-investitor-oglas-41888958,1,
93.170 €,45.552329915023,18.723031282425,Osijek,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,42,https://www.njuskalo.hr/nekretnine/stan-osijek-42.35-m2-novogradnja-oglas-40880549,1,
94.899 €,45.552329915023,18.723031282425,Osijek,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,45,https://www.njuskalo.hr/nekretnine/stan-vukovarska-222-osijek-45.19-m2-novogradnja-prizemlje-oglas-40880537,1,
75.900 €,45.552329915023,18.723031282425,Osijek,U stambenoj zgradi,Jednoetažni,Garsonijera,1.,33,https://www.njuskalo.hr/nekretnine/stan-vukovarska-222-osijek-33.04-m2-novogradnja-oglas-40633644,1,
92.337 €,45.550211680313,18.721955089604,Osijek,U stambenoj zgradi,Jednoetažni,1-sobni,4.,43,https://www.njuskalo.hr/nekretnine/stan-vukovarska-222-osijek-43.97-m2-novogradnja-oglas-40633597,1,
103.068 €,45.550211680313,18.721955089604,Osijek,U stambenoj zgradi,Jednoetažni,1-sobni,2.,49,https://www.njuskalo.hr/nekretnine/stan-vukovarska-222-osijek-49.08-m2-novogradnja-oglas-40624777,1,
130.578 €,45.550211680313,18.721955089604,Osijek,U stambenoj zgradi,Jednoetažni,2-sobni,2.,62,https://www.njuskalo.hr/nekretnine/stan-vukovarska-222-osijek-60.19-m2-novogradnja-oglas-40624726,1,1
85.536 €,45.550211680313,18.721955089604,Osijek,U stambenoj zgradi,Jednoetažni,1-sobni,4.,38,https://www.njuskalo.hr/nekretnine/stan-vukovarska-222-osijek-38.88-m2-novogradnja-oglas-40633538,1,
109.000 €,45.801729905941,15.897055546009,Stenjevec,U stambenoj zgradi,Jednoetažni,1-sobni,3.,38,https://www.njuskalo.hr/nekretnine/spansko-funkcionalan-1soban-stan-39-m2-3-kat-mirno-okruzenje-logia-oglas-42265455,1,
101.124 €,45.756336304841,15.928989220332,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,Visoko prizemlje,38,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-44.62-m2-2sobni-pm-sprem-oglas-40177646,1,1
114.162 €,45.75485698247888,15.926562651018896,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,Visoko prizemlje,43,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-49.55-m2-2sobni-pm-sprem-oglas-40160856,1,1
116.023 €,45.756336304841,15.928989220332,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,3.,40,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-47.28-m2-2sobni-pm-sprem-oglas-40185134,1,1
118.470 €,45.756336304841,15.928989220332,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,3.,43,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-49.58-m2-2sobni-pm-sprem-oglas-40185072,1,1
138.909 €,45.756336304841,15.928989220332,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,3-sobni,1.,48,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-56.34-m2-3sobni-pm-sprem-oglas-40179585,1,1
103.000 €,46.30705253563785,16.337293146192298,Varaždin,U stambenoj zgradi,Jednoetažni,2-sobni,Potkrovlje,56,https://www.njuskalo.hr/nekretnine/varazdin-centar-blizina-ii-osnovne-skole-dvosobni-stan-56-m2-oglas-42105905,1,
115.000 €,46.29959567303065,16.34713236344133,Varaždin,U stambenoj zgradi,Jednoetažni,3-sobni,2.,58,https://www.njuskalo.hr/nekretnine/varazdin-v-novaka-trosobni-stan-58.60-m2-oglas-41872073,1,
