linenum,url
1,https://www.njuskalo.hr/nekretnine/ekskluzivna-novogradnja-centru-varazdina-218-m2-oglas-40362129
2,https://www.njuskalo.hr/nekretnine/stan-varazdin-durek-oglas-40324798
3,https://www.njuskalo.hr/nekretnine/stan-varazdin-42.00-m2-banfica-visoko-prizemlje-oglas-39818877
4,https://www.njuskalo.hr/nekretnine/ekskluzivna-novogradnja-centru-varazdina-134-m2-oglas-40362308
5,https://www.njuskalo.hr/nekretnine/garsonjera-galerijom-oglas-41512030
6,https://www.njuskalo.hr/nekretnine/varazdin-blizina-korza-stan-42.55-m2-oglas-42238338
7,https://www.njuskalo.hr/nekretnine/varazdin-jednosobni-stan-36.50-m2-oglas-42147068
8,https://www.njuskalo.hr/nekretnine/varazdin-centar-blizina-ii-osnovne-skole-dvosobni-stan-56-m2-oglas-42105905
9,https://www.njuskalo.hr/nekretnine/varazdin-dvosobni-stan-48.80-m2-oglas-41891919
10,https://www.njuskalo.hr/nekretnine/varazdin-v-novaka-trosobni-stan-58.60-m2-oglas-41872073
11,https://www.njuskalo.hr/nekretnine/varazdin-centar-cetverosobni-stan-96.00-m2-oglas-41481335
12,https://www.njuskalo.hr/nekretnine/stanovi-varazdin-novogradnja-60.55-180.19-m2-oglas-39462021
13,https://www.njuskalo.hr/nekretnine/stan-varazdin-70.00-m2-oglas-36556669
14,https://www.njuskalo.hr/nekretnine/varazdin-novogradnja-2-sobni-61.83-m2-a-energetski-razred-prodaja-oglas-42210944
15,https://www.njuskalo.hr/nekretnine/varazdin-2-sobni-stan-48.77-m2-temeljito-renoviran-oglas-42205440
16,https://www.njuskalo.hr/nekretnine/varazdin-novogradnja-2-sobni-54.06-m2-a-energetski-razred-prodaja-oglas-42205356
17,https://www.njuskalo.hr/nekretnine/varazdin-novogradnja-2-sobni-57.68-m2-a-energetski-razred-prodaja-oglas-42205129
18,https://www.njuskalo.hr/nekretnine/varazdin-5-sobni-stan-100-m2-novija-gradnja-2021-2-parkinga-oglas-42175107
19,https://www.njuskalo.hr/nekretnine/varazdin-3-soban-stan-95.94-m2-blizina-centra-naslovna-oglas-41982361
20,https://www.njuskalo.hr/nekretnine/varazdin-2-sobni-stan-90.63-m2-blizini-centra-oglas-41982213
21,https://www.njuskalo.hr/nekretnine/varazdin-ekskluzivno-stan-145.65-m2-0-provizije-kupca-oglas-41530332
22,https://www.njuskalo.hr/nekretnine/varazdin-4-sobni-stan-119.80-m2-visokokvalitetnoj-novoradnji-oglas-38674667
23,https://www.njuskalo.hr/nekretnine/stan-varazdin-70.00-m2-novogradnja-oglas-38537326
