linenum,price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
1,195.000 €,45.801729903949,15.886487960815,Stenjevec,U stambenoj zgradi,Jednoetažni,2-sobni,4.,60,https://www.njuskalo.hr/nekretnine/stan-zagreb-spansko-58.00-m2-novogradnja-gpm-spremiste-prodaja-oglas-39650362,1,
2,258.000 €,45.790916407446,15.903184921123,Trešnjevka - Jug,U stambenoj zgradi,Jednoetažni,3-sobni,Visoko prizemlje,98,https://www.njuskalo.hr/nekretnine/stan-zagreb-precko-98.00-m2-oglas-40432972,1,
3,205.000 €,,,Donji Grad,U stambenoj zgradi,Jednoetažni,3-sobni,4.,59,https://www.njuskalo.hr/nekretnine/zagreb-haulikova-ulica-kuca-l-w-stan-59-m2.2s-db-oglas-41986124,1,1
4,1 €,45.8536183420541,15.979381247966518,Podsljeme,U stambenoj zgradi,Jednoetažni,3-sobni,,84,https://www.njuskalo.hr/nekretnine/gracani-5-luksuznih-stanova-novogradnja-oglas-41983370,,
5,140.000 €,45.81692714431292,15.945860577016628,Črnomerec,U stambenoj zgradi,Jednoetažni,2-sobni,1.,52,https://www.njuskalo.hr/nekretnine/interesantan-dvosobni-stan-iznad-ilice-53-m2-oglas-41166145,1,1
6,110.000 €,45.810436,15.875736,Podsused - Vrapče,U kući,Jednoetažni,2-sobni,Prizemlje,60,https://www.njuskalo.hr/nekretnine/stan-gospodska-oglas-38694104,1,1
7,215.000 €,,,Trešnjevka - Sjever,U stambenoj zgradi,Jednoetažni,4-sobni,Visoko potkrovlje,123,https://www.njuskalo.hr/nekretnine/zagreb-rudes-novoadaptirani-stan-potkrovlju-oglas-38624951,1,1
8,310.000 €,,,Maksimir,U kući,Višeetažni,4-sobni,,126,https://www.njuskalo.hr/nekretnine/zagreb-maksimir-predivan-dizajnerski-troetazni-stan-126-m2-oglas-36529468,1,1
9,260.000 €,45.807494969273,15.981201599545,Donji Grad,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,68,https://www.njuskalo.hr/nekretnine/zagreb-izuzetno-sarmantan-stan-zrinjevcu-oglas-41281137,1,
10,529.000 €,45.805961358472,15.979455748597,Donji Grad,U stambenoj zgradi,Jednoetažni,5+ sobni,1.,172,https://www.njuskalo.hr/nekretnine/prodaja-stana-oglas-41647731,1,3
11,299.000 €,45.80897181016,15.983068525,Donji Grad,U stambenoj zgradi,Jednoetažni,4-sobni,Visoko prizemlje,107,https://www.njuskalo.hr/nekretnine/stan-zagreb-donji-grad-107.00-m2-oglas-42274507,1,1
12,155.000 €,45.801067,15.920888,Trešnjevka - Jug,U stambenoj zgradi,Jednoetažni,2-sobni,2.,50,https://www.njuskalo.hr/nekretnine/prodaja-stana-oglas-40102029,,
13,211.000 €,45.74209158995103,16.014893398975033,Novi Zagreb - Istok,U stambenoj zgradi,Jednoetažni,4-sobni,,99,https://www.njuskalo.hr/nekretnine/super-udoban-moderan-cetverosoban-stan-zagreb-velikopoljska-ul-oglas-40963645,,
14,260.000 €,45.8024278168312,15.9458608634734,Trešnjevka - Sjever,U stambenoj zgradi,Jednoetažni,3-sobni,4.,80,https://www.njuskalo.hr/nekretnine/renoviran-namjesten-trosoban-stan-velikim-balkonom-tresnjevka-oglas-42274332,,
15,105.000 €,45.777344,15.981669,Novi Zagreb - Istok,U stambenoj zgradi,Jednoetažni,1-sobni,7.,26,https://www.njuskalo.hr/nekretnine/siget-prodaja-25m2-oglas-40003964,1,1
16,105.000 €,45.770164,15.983652,Novi Zagreb - Istok,U stambenoj zgradi,Jednoetažni,1-sobni,7.,26,https://www.njuskalo.hr/nekretnine/utrina-prodaja-stana-oglas-41788706,1,1
17,101.124 €,45.756336304841,15.928989220332,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,Visoko prizemlje,38,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-44.62-m2-2sobni-pm-sprem-oglas-40177646,1,1
18,114.162 €,45.75485698247888,15.926562651018896,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,Visoko prizemlje,43,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-49.55-m2-2sobni-pm-sprem-oglas-40160856,1,1
19,116.023 €,45.756336304841,15.928989220332,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,1.,40,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-47.17-m2-2sobni-pm-sprem-oglas-40179612,1,1
20,131.598 €,45.756336304841,15.928989220332,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,3-sobni,Visoko prizemlje,48,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-56.34-m2-3sobni-pm-sprem-oglas-40160209,1,1
21,116.023 €,45.756336304841,15.928989220332,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,2.,40,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-47.08-m2-2sobni-pm-sprem-oglas-40180389,1,1
22,214.240 €,45.83199007391927,16.062208651950094,Gornja Dubrava,U stambenoj zgradi,Jednoetažni,3-sobni,4.,66,https://www.njuskalo.hr/nekretnine/stan-zagreb-dubrava-centar-66.00-m2-novogradnja-oglas-39998316,,
23,163.416 €,45.83539155477959,16.06276479926388,Gornja Dubrava,U stambenoj zgradi,Jednoetažni,2-sobni,4.,49,https://www.njuskalo.hr/nekretnine/stan-zagreb-dubrava-centar-49.00-m2-novogradnja-oglas-39998176,,
24,310.000 €,,,Trnje,U stambenoj zgradi,Jednoetažni,3-sobni,4.,94,https://www.njuskalo.hr/nekretnine/borovje-94-m2-3-sobni-balkon-loda-novouredeni-oglas-40996464,,
25,399.000 €,,,Donji Grad,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,110,https://www.njuskalo.hr/nekretnine/centar-kod-sheratona-110-m2-3-sobni-2-kupaonice-lux-oglas-42101880,,
26,285.000 €,,,Trnje,U stambenoj zgradi,Dvoetažni,4-sobni,4.,120,https://www.njuskalo.hr/nekretnine/vrbik-kninski-trg-120-m2-4-sobni-2-lode-dvoetazni-stan-oglas-42145782,,
27,180.000 €,,,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,2.,61,https://www.njuskalo.hr/nekretnine/zagreb-remetinec-61.03-m2-2-sobni-terasa-parking-oglas-42145781,,
28,240.000 €,,,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,73,https://www.njuskalo.hr/nekretnine/zagreb-remetinec-73.41-m2-3-soban-vrt-parking-luksuzni-oglas-42145779,,
29,210.000 €,,,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,5.,65,https://www.njuskalo.hr/nekretnine/laniste-jaruscica-66-m2-2-sobni-zatvorena-loda-parking-oglas-42110652,,
30,235.000 €,,,Trešnjevka - Sjever,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,67,https://www.njuskalo.hr/nekretnine/spansko-savska-opatovina-67.25-m2-3-sobni-garaza-novogradnja-oglas-42110651,,
31,177.000 €,45.79622,15.945457,Trešnjevka - Sjever,U stambenoj zgradi,Jednoetažni,2-sobni,Visoko prizemlje,59,https://www.njuskalo.hr/nekretnine/bascanska-stan-59-m2-terasa-vrtom-29-m2-podrum-12-m2-parking-oglas-41735345,1,1
32,230.000 €,45.816387,15.962605,Gornji Grad - Medveščak,U stambenoj zgradi,Dvoetažni,4-sobni,1.,111,https://www.njuskalo.hr/nekretnine/kukuljeviceva-dvoetazni-4-sobni-stan-nkp-99-m2-jedinstvena-oglas-41652108,1,1
33,129.000 €,45.78837,15.928845,Trešnjevka - Jug,U stambenoj zgradi,Jednoetažni,1-sobni,3.,44,https://www.njuskalo.hr/nekretnine/stan-40.13-m2-spremiste-7.28-m2-650-m-jezera-jarun-prodaja-oglas-41895681,1,
34,95.000 €,45.801764940094,15.940624479229,Trešnjevka - Sjever,U stambenoj zgradi,Jednoetažni,Garsonijera,,28,https://www.njuskalo.hr/nekretnine/tresnjevka-novoadaptiran-zona-tramvaj-parking-bez-provizije-oglas-42250221,,
35,136.000 €,45.815407236576,15.961875523728,Gornji Grad - Medveščak,U stambenoj zgradi,Jednoetažni,2-sobni,,45,https://www.njuskalo.hr/nekretnine/pantovcak-350m-britanaca-2-sobni-45.33m2-balkon-bez-provizije-oglas-42249948,,
36,105.000 €,45.812275040665,15.97537372533,Gornji Grad - Medveščak,U stambenoj zgradi,Jednoetažni,1-sobni,2.,27,https://www.njuskalo.hr/nekretnine/strogi-centar-radiceva-200m-trga-b-jelacica-27m2-bez-provizije-oglas-42247357,,
37,153.000 €,45.828845550667,15.888236334241,Podsused - Vrapče,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,61,https://www.njuskalo.hr/nekretnine/stan-zagreb-45-m2-dvoriste-nadstresnica-pecenjar-2-parkinga-spremiste-oglas-36883040,1,1
38,245.000 €,45.79787878398542,16.005141817922745,Trnje,U stambenoj zgradi,Jednoetažni,3-sobni,8.,68,https://www.njuskalo.hr/nekretnine/trosoban-stan-sigecici-oglas-42164319,1,2
39,1.100.000 €,45.821920968683,15.958756504872,Gornji Grad - Medveščak,U stambenoj zgradi,Dvoetažni,5+ sobni,2.,314,https://www.njuskalo.hr/nekretnine/stan-zagreb-britanac-147-m2-novogradnja-oglas-15550708,,
40,219.999 €,45.798946,15.910263,Trešnjevka - Sjever,U stambenoj zgradi,Jednoetažni,Garsonijera,2.,41,https://www.njuskalo.hr/nekretnine/stan-zagreb-spansko-41.00-m2-novograd-juzna-str-pavlenski-p-oglas-31564359,1,
41,249.999 €,45.799225,15.905628,Stenjevec,U stambenoj zgradi,Jednoetažni,Garsonijera,6.,45,https://www.njuskalo.hr/nekretnine/stan-zagreb-spansko-45.00-m2-novogradnja-galerija-oglas-31202863,1,
42,84.000 €,45.81282,15.995556,Maksimir,U stambenoj zgradi,Jednoetažni,Garsonijera,Potkrovlje,23,https://www.njuskalo.hr/nekretnine/stan-zagreb-britanac-25.00-m2-oglas-41288552,1,
43,105.000 €,45.816902,15.979549,Gornji Grad - Medveščak,U stambenoj zgradi,Jednoetažni,2-sobni,1.,28,https://www.njuskalo.hr/nekretnine/jednosobni-stan-centar-zagreb-ribnjak-prodaja-oglas-41295434,1,1
44,241.000 €,45.831399641834,16.069830679749,Gornja Dubrava,U stambenoj zgradi,Jednoetažni,3-sobni,1.,80,https://www.njuskalo.hr/nekretnine/stan-zagreb-ferenscica-59.00-m2-novogradnja-oglas-29005682,1,2
45,180.000 €,45.76225393700208,15.95108672325978,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,2.,61,https://www.njuskalo.hr/nekretnine/prodaja-stan-zagreb-61-m2-privatnim-parkingom-terasom-34-m2-oglas-40719769,1,
46,240.000 €,45.76985950588631,15.914360565218692,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,3-sobni,Visoko prizemlje,74,https://www.njuskalo.hr/nekretnine/prodaja-stan-privatnim-vrtom-parkirnim-mjestom-zagreb-oglas-39210516,1,
47,310.000 €,45.813257093722,15.969710948947,Donji Grad,U stambenoj zgradi,Jednoetažni,3-sobni,1.,128,https://www.njuskalo.hr/nekretnine/najam-stan-zagreb-donji-grad-centar-draskoviceva-128-m2-oglas-40600472,2,
48,152.000 €,45.795298476812,15.935701613943,Trešnjevka - Sjever,U stambenoj zgradi,Dvoetažni,3-sobni,4.,57,https://www.njuskalo.hr/nekretnine/prodaja-stan-zagreb-tresnjevka-voltino-ljubljanica-dakovacka-57m2-oglas-42238906,1,
49,190.000 €,45.811059013256084,15.95491816764445,Donji Grad,U stambenoj zgradi,Jednoetažni,2-sobni,Visoko prizemlje,50,https://www.njuskalo.hr/nekretnine/prodaja-stan-zagreb-donji-grad-centar-caniceva-ulica-50.00-m2-oglas-41723379,1,
50,550.000 €,45.807543397052,15.977975098266,Donji Grad,U stambenoj zgradi,Jednoetažni,5+ sobni,1.,188,https://www.njuskalo.hr/nekretnine/prodaja-stan-zagreb-donji-grad-centar-ulica-kneza-borne-188-m2-oglas-40580487,2,
51,500.000 €,45.80540832067433,15.966664203849973,Donji Grad,U stambenoj zgradi,Jednoetažni,4-sobni,1.,125,https://www.njuskalo.hr/nekretnine/prodaja-stan-zagreb-donji-grad-centar-vodnikova-ulica-125-m2-oglas-41806531,1,1
52,490.000 €,45.812186359581,15.985410022932,Donji Grad,U stambenoj zgradi,Jednoetažni,4-sobni,4.,110,https://www.njuskalo.hr/nekretnine/prodaja-stan-zagreb-donji-grad-centar-marticeva-ulica-110-m2-oglas-41726336,1,
53,265.000 €,45.80672049234013,15.952711317028616,Trešnjevka - Sjever,U stambenoj zgradi,Jednoetažni,2-sobni,1.,58,https://www.njuskalo.hr/nekretnine/prodaja-stan-zagreb-tresnjevka-sjever-andrije-zaje-58.73m2-oglas-41915554,1,
54,380.000 €,45.811396614832546,15.982639712676047,Donji Grad,U stambenoj zgradi,Jednoetažni,5+ sobni,3.,152,https://www.njuskalo.hr/nekretnine/stan-zagreb-donji-grad-dordiceva-ulica-152.00-m2-oglas-38345631,1,1
55,160.000 €,45.758244,16.013418,Novi Zagreb - Istok,U stambenoj zgradi,Jednoetažni,3-sobni,2.,50,https://www.njuskalo.hr/nekretnine/stan-50m2-kamenarka-potpuno-namjesten-oglas-41327863,1,
56,215.000 €,45.852417,15.976628,Podsljeme,U stambenoj zgradi,Jednoetažni,3-sobni,1.,70,https://www.njuskalo.hr/nekretnine/trosobni-stan-oglas-41573851,1,1
57,300.000 €,45.829727,16.0039175,Maksimir,U stambenoj zgradi,Jednoetažni,4-sobni,Suteren,85,https://www.njuskalo.hr/nekretnine/stan-zagreb-lascina-85.00-m2-oglas-29996325,1,1
58,179.000 €,45.800323490905,15.900096933574,Stenjevec,U stambenoj zgradi,Jednoetažni,2-sobni,4.,48,https://www.njuskalo.hr/nekretnine/stan-prodaja-zagreb-spansko-suncani-stan-mirnoj-zgradi-48.36-m2-oglas-39856759,1,
59,1.170.000 €,45.80994557046,15.98895907402,Donji Grad,U stambenoj zgradi,Jednoetažni,5+ sobni,3.,192,https://www.njuskalo.hr/nekretnine/stan-zagreb-donji-grad-zvonimirova-192.00-m2-oglas-41766429,2,4
60,169.000 €,45.81848902694452,16.00755214691162,Maksimir,U stambenoj zgradi,Jednoetažni,2-sobni,1.,59,https://www.njuskalo.hr/nekretnine/stan-zagreb-crnciceva-ulica-59.72-m2-oglas-41468494,1,1
61,169.000 €,45.770753192141,15.964391163609,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,3-sobni,4.,64,https://www.njuskalo.hr/nekretnine/stan-zagreb-trnsko-64.00-m2-oglas-42247433,1,1
62,101.124 €,45.756336304841,15.928989220332,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,Visoko prizemlje,38,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-44.62-m2-2sobni-pm-sprem-oglas-40160595,1,1
63,107.700 €,45.756336304841,15.928989220332,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,Visoko prizemlje,43,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-49.65-m2-2sobni-pm-sprem-oglas-40160475,1,1
64,265.000 €,,,Maksimir,U stambenoj zgradi,Jednoetažni,3-sobni,2.,67,https://www.njuskalo.hr/nekretnine/stan-prodaja-maksimir-3s-67.64-m2-oglas-42145662,1,1
65,130.000 €,,,Trešnjevka - Jug,U stambenoj zgradi,Jednoetažni,1-sobni,Prizemlje,41,https://www.njuskalo.hr/nekretnine/stan-prizemlje-jarun-41.85-m2-oglas-41721042,1,
66,360.000 €,,,Donji Grad,U stambenoj zgradi,Jednoetažni,4-sobni,2.,99,https://www.njuskalo.hr/nekretnine/stan-prodaja-zagreb-centar-99.90-m2-oglas-41763217,1,1
67,325.563 €,,,Trešnjevka - Jug,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,87,https://www.njuskalo.hr/nekretnine/stan-prodaja-knezija-novogradnja-3s-nkp-87.99-m2-oglas-42101828,1,
68,95.000 €,,,Donji Grad,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,35,https://www.njuskalo.hr/nekretnine/stan-trnje-dvosobni-36-m2-oglas-41533575,1,
69,189.189 €,,,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,4-sobni,2.,70,https://www.njuskalo.hr/nekretnine/stan-izgradnji-70.23-m2-n-zagreb-blato-2.700-m2-oglas-42170476,1,1
70,199.500 €,45.8191393,16.0241996,Maksimir,U stambenoj zgradi,Jednoetažni,2-sobni,Visoko prizemlje,57,https://www.njuskalo.hr/nekretnine/stan-prodaja-ravnice-57.27-m2-oglas-42110625,1,1
71,167.388 €,,,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,3-sobni,Visoko prizemlje,64,https://www.njuskalo.hr/nekretnine/stan-izgradnji-64.06-m2-blato-2.600-m2-oglas-40405794,1,1
72,109.917 €,45.757127039797936,15.932005767095948,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,1.,40,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-40.71m2-2sobni-pm-sprem-oglas-40062299,1,1
73,118.470 €,45.756336304841,15.928989220332,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,3.,43,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-49.58-m2-2sobni-pm-sprem-oglas-40185072,1,1
74,116.023 €,45.756336304841,15.928989220332,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,3.,40,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-47.28-m2-2sobni-pm-sprem-oglas-40185134,1,1
75,138.909 €,45.756336304841,15.928989220332,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,3-sobni,1.,48,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-56.34-m2-3sobni-pm-sprem-oglas-40179585,1,1
76,116.023 €,45.756336304841,15.928989220332,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,3.,40,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-47.28-m2-2sobni-pm-sprem-oglas-40185041,1,1
77,321.906 €,45.706822068864,15.972867555179,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,5+ sobni,2.,139,https://www.njuskalo.hr/nekretnine/zagreb-sesterosobni-stan-odri-o2-naselje-oglas-42273170,2,
78,125.000 €,45.798397692337694,15.893394114268439,Stenjevec,U stambenoj zgradi,Dvoetažni,3-sobni,Prizemlje,63,https://www.njuskalo.hr/nekretnine/dvoetazni-jednosobni-stan-atelje-63m2-spansko-oglas-42069650,1,1
79,204.900 €,45.7930870133897,16.016240490317376,Peščenica - Žitnjak,U stambenoj zgradi,Jednoetažni,2-sobni,6.,60,https://www.njuskalo.hr/nekretnine/stan-novogradnja-ferenscica-60m2-oglas-41759900,1,1
80,150.000 €,45.81403639143698,15.988915363508879,Donji Grad,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,38,https://www.njuskalo.hr/nekretnine/centar-draskoviceva-40-donji-grad-45-m2-oglas-30903738,1,
81,101.124 €,45.756336304841,15.928989220332,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,Visoko prizemlje,38,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-44.62-m2-2sobni-pm-sprem-oglas-40177730,1,1
82,116.023,45.75612555866379,15.929090102272301,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,3.,40,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-47.28-m2-2sobni-pm-sprem-oglas-40185095,1,1
83,118.773 €,45.756336304841,15.928989220332,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,2.,44,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-52.42-m2-2sobni-pm-sprem-oglas-40180056,1,1
84,116.023 €,45.756336304841,15.928989220332,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,2.,40,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-47.17-m2-2sobni-pm-sprem-oglas-40180010,1,1
85,138.909 €,45.756336304841,15.928989220332,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,3-sobni,1.,48,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-56.34-m2-3sobni-pm-sprem-oglas-40179855,1,1
86,239.700 €,45.82672146960694,16.122326740609104,Sesvete,U stambenoj zgradi,Jednoetažni,4-sobni,Prizemlje,101,https://www.njuskalo.hr/nekretnine/stan-impozantne-kvadrature-flora-fauna-poklon-oglas-41921881,1,2
87,116.023 €,45.756336304841,15.928989220332,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,2-sobni,2.,40,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-47.17-m2-2sobni-pm-sprem-oglas-40180336,1,1
88,168.000 €,45.831511765595,16.088420669354,Sesvete,U stambenoj zgradi,Jednoetažni,3-sobni,2.,70,https://www.njuskalo.hr/nekretnine/3-sobni-stan-bez-ulaganja-bez-brige-bez-muke-oglas-41911735,1,1
89,75.000 €,45.80955594766145,16.04505942499284,Peščenica - Žitnjak,U kući,Jednoetažni,2-sobni,Prizemlje,35,https://www.njuskalo.hr/nekretnine/obecavajuci-minimalizam-oglas-41911643,1,1
90,188.000 €,45.833888670705,15.913440923656,Črnomerec,U stambenoj zgradi,Višeetažni,4-sobni,,81,https://www.njuskalo.hr/nekretnine/stan-zagreb-zavrsje-81.72-m2-oglas-41801282,1,
91,140.000 €,45.779998542791,15.996018130705,Novi Zagreb - Istok,U stambenoj zgradi,Jednoetažni,3-sobni,16.,60,https://www.njuskalo.hr/nekretnine/zaprude-stan-prekrasnim-pogledom-zelenilo-oglas-42062280,1,1
92,305.000 €,45.883193506818,16.023473374974,Podsljeme,U stambenoj zgradi,Jednoetažni,5+ sobni,Prizemlje,140,https://www.njuskalo.hr/nekretnine/podsljeme-moderan-dizajnerski-stan-prizemlju-novogradnja-oglas-41387088,2,
93,95.000 €,,,Gornja Dubrava,U stambenoj zgradi,Jednoetažni,1-sobni,Prizemlje,39,https://www.njuskalo.hr/nekretnine/potpuno-namjesten-stan-okruzen-zelenilom-oglas-41402777,1,
