linenum,url
1,https://www.njuskalo.hr/nekretnine/novogradnja-2023-24-samobor-stan-1-vrt-spremiste-garaza-parking-oglas-40394674
2,https://www.njuskalo.hr/nekretnine/stan-samobor-96.00-m2-novogradnja-oglas-40394667
3,https://www.njuskalo.hr/nekretnine/stan-samobor-104.00-m2-novogradnja-oglas-40394662
4,https://www.njuskalo.hr/nekretnine/stan-samobor-92.00-m2-novogradnja-oglas-38963585
5,https://www.njuskalo.hr/nekretnine/stan-sveta-nedelja-44.00-m2-oglas-42093661
6,https://www.njuskalo.hr/nekretnine/stan-dugo-selo-82.00-m2-novogradnja-oglas-39844667
7,https://www.njuskalo.hr/nekretnine/komforan-stan-zapresicu-oglas-42050182
8,https://www.njuskalo.hr/nekretnine/stan-velika-gorica-rakarska-cesta-3s-71.00-m2-novogradnja-oglas-42056454
9,https://www.njuskalo.hr/nekretnine/stan-velika-gorica-rakarje-4s-98.55-m2-novogradnja-oglas-42056560
10,https://www.njuskalo.hr/nekretnine/luksuzni-dvoetazni-stan-vrtom-123-m2-novogradnja-visti-nekretnine-oglas-41759790
11,https://www.njuskalo.hr/nekretnine/3-stan-visokom-potkrovlju-72m2-oglas-41092472
12,https://www.njuskalo.hr/nekretnine/samobor-stan-1-kat-prizemlje-odlicna-lokacija-oglas-40686722
13,https://www.njuskalo.hr/nekretnine/stan-velika-gorica-55.00-m2-novogradnja-oglas-42216286
14,https://www.njuskalo.hr/nekretnine/stan-zapresic-kalamirova-4s-127m2-novogradnja-oglas-41615944
15,https://www.njuskalo.hr/nekretnine/stan-zapresic-kalamirova-4-sobni-122m2-novogradnja-oglas-40125103
16,https://www.njuskalo.hr/nekretnine/prodaja-vrbovec-stan-2-soban-74-m2-oglas-42272747
17,https://www.njuskalo.hr/nekretnine/zapresic-centar-garsonijera-28.5-m2-oglas-41783009
18,https://www.njuskalo.hr/nekretnine/sveta-nedelja-oresje-trosoban-1-kat-novogradnja-oglas-40451917
19,https://www.njuskalo.hr/nekretnine/penthouse-zapresic-100.00-m2-novogradnja-ivana-vencla-oglas-39842553
20,https://www.njuskalo.hr/nekretnine/stan-zapresic-56.00-m2-novogradnja-oglas-40631464
21,https://www.njuskalo.hr/nekretnine/peterosoban-stan-vrtom-garaznim-2-vanjska-parkirna-mjesta-oglas-40198479
22,https://www.njuskalo.hr/nekretnine/stan-sveta-nedelja-105.00-m2-cetverosobni-stan-vrtom-1-kat-oglas-41876238
23,https://www.njuskalo.hr/nekretnine/stan-bestovje-150-m2-dva-trosobna-stana-oglas-39991740
24,https://www.njuskalo.hr/nekretnine/velika-gorica-centar-57-m2-prekrasan-2-soban-stan-oglas-41994661
25,https://www.njuskalo.hr/nekretnine/stan-velika-gorica-160.00-m2-novogradnja-oglas-40112909
26,https://www.njuskalo.hr/nekretnine/stan-velika-gorica-74.00-m2-uskoro-useljivo-oglas-42233101
27,https://www.njuskalo.hr/nekretnine/stan-velika-gorica-73.00-m2-novogradnja-oglas-41544849
28,https://www.njuskalo.hr/nekretnine/stan-stan-okucnicom-velikoj-gorici-130.00-m2-oglas-41048484
29,https://www.njuskalo.hr/nekretnine/stan-velika-gorica-75.00-m2-novogradnja-direktno-investitora-oglas-40342048
30,https://www.njuskalo.hr/nekretnine/stan-velika-gorica-74.00-m2-novogradnja-oglas-40112724
