linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
80,10000.0,38,45.662265922346016,17.091905736568712,Bjelovarsko-bilogorska,Grubišno Polje,Veliki Zdenci,0,1,1,1,1,3,https://www.njuskalo.hr/nekretnine/stan-veliki-zdenci-38.46-m2-oglas-13025288
2,20000.0,50,45.901193576547165,16.858852082596012,Bjelovarsko-bilogorska,Bjelovar,Centar,1,1,1,1,1,0,https://www.njuskalo.hr/nekretnine/stan-bjelovar-grgura-ninskog-50.00-m2-oglas-41851465
78,35000.0,65,45.6397661728999,17.165624471507954,Bjelovarsko-bilogorska,Končanica,Končanica,0,1,3,1,1,0,https://www.njuskalo.hr/nekretnine/stan-daruvar-koncanica-65-m2-useljiv-namjesten-garaza-lokacija-oglas-16407347
79,35000.0,50,45.59376441698328,17.224539739803532,Bjelovarsko-bilogorska,Daruvar,Daruvar,1,2,2,1,1,0,https://www.njuskalo.hr/nekretnine/stan-daruvar-useljiv-gradskom-korzu-oglas-14707266
18,36500.0,80,45.910938365,17.01902221,Bjelovarsko-bilogorska,Šandrovac,Šandrovac,0,1,3,1,1,1,https://www.njuskalo.hr/nekretnine/stan-sandrovac-80.00-m2-oglas-40415125
63,38000.0,56,45.7064453135695,17.187483632201598,Bjelovarsko-bilogorska,Grubišno Polje,Grubišno Polje,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-grubisno-polje-56-m2-visoko-prizemlje-parkirno-mjesto-oglas-41142855
19,45000.0,58,46.31423997525539,16.336972622776415,Bjelovarsko-bilogorska,Bjelovar,Centar,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/stan-bjelovar-centar-58.00-m2-oglas-42207937
58,49000.0,44,45.57862,16.944643,Bjelovarsko-bilogorska,Garešnica,Garešnica,0,1,1,1,1,0,https://www.njuskalo.hr/nekretnine/stan-galerijom-oglas-41469812
75,60000.0,54,45.59178154513637,17.219378361039446,Bjelovarsko-bilogorska,Daruvar,Daruvar,1,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-daruvar-54-m2-strogi-centar-grada-1-kat-namjesten-oglas-26772186
49,62000.0,80,45.91438192522651,16.85913731440551,Bjelovarsko-bilogorska,Bjelovar,Sjever,1,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/bjelovar-stan-prizemlju-kuce-80.47-m2-oglas-40914080
15,62000.0,111,45.9173379,16.8481735,Bjelovarsko-bilogorska,Bjelovar,Sjever,1,1,3,1,1,0,https://www.njuskalo.hr/nekretnine/stan-prizemlju-kuce-oglas-38454632
65,62500.0,41,45.59240572718616,17.214898447002867,Bjelovarsko-bilogorska,Daruvar,Daruvar,0,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/stan-daruvar-42-m2-centar-2-kat-renoviran-useljiv-oglas-38697167
12,63000.0,41,45.591888974514,17.215721557934,Bjelovarsko-bilogorska,Daruvar,Daruvar,0,1,2,1,1,3,https://www.njuskalo.hr/nekretnine/dvosobni-stan-centru-oglas-41169991
66,70000.0,78,45.591671592043,17.221011483255,Bjelovarsko-bilogorska,Daruvar,Daruvar,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-daruvar-78.00-m2-oglas-40292108
5,75000.0,67,45.895432037875,16.844602400274,Bjelovarsko-bilogorska,Bjelovar,Centar,0,1,3,1,1,1,https://www.njuskalo.hr/nekretnine/prodajem-stan-centru-bjelovar-67.00-m2-oglas-42218303
70,75000.0,85,45.59421335664007,17.220361087675247,Bjelovarsko-bilogorska,Daruvar,Daruvar,1,1,4,1,1,1,https://www.njuskalo.hr/nekretnine/stan-daruvar-100-m2-katu-kuce-mirna-lokacija-oglas-38688380
68,75000.0,95,45.591389572649,17.215406130846,Bjelovarsko-bilogorska,Daruvar,Daruvar,0,1,3,1,1,1,https://www.njuskalo.hr/nekretnine/stan-daruvar-95-m2-visoko-prizemlje-garaza-lokacija-oglas-39953740
24,76000.0,45,45.896201818725,16.839057131481,Bjelovarsko-bilogorska,Bjelovar,Centar,0,1,2,1,1,3,https://www.njuskalo.hr/nekretnine/stan-bjelovar-45.00-m2-oglas-41737877
74,80000.0,88,45.590393,17.218565,Bjelovarsko-bilogorska,Daruvar,Daruvar,1,1,3,1,1,1,https://www.njuskalo.hr/nekretnine/stan-daruvar-kuci-potkrovlje-88-m2-novoureden-odlicna-lokacija-oglas-29943616
