linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
65,62.500,41,45.59240572718616,17.214898447002867,Bjelovarsko-bilogorska,Daruvar,Daruvar,U stambenoj zgradi,Jednoetažni,2-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/stan-daruvar-42-m2-centar-2-kat-renoviran-useljiv-oglas-38697167
66,70.000,78,45.591671592043,17.221011483255,Bjelovarsko-bilogorska,Daruvar,Daruvar,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/stan-daruvar-78.00-m2-oglas-40292108
67,85.000,72,45.701283,17.172457,Bjelovarsko-bilogorska,Grubišno Polje,Grubišno Polje,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,4.,https://www.njuskalo.hr/nekretnine/grubisno-polje-prodaja-2s-db-stana-72m2-oglas-40187299
68,75.000,95,45.591389572649,17.215406130846,Bjelovarsko-bilogorska,Daruvar,Daruvar,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/stan-daruvar-95-m2-visoko-prizemlje-garaza-lokacija-oglas-39953740
69,91.500,61,45.591834968075,17.221108859367,Bjelovarsko-bilogorska,Daruvar,Daruvar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/stan-daruvar-61-m2-centar-grada-renoviran-2-kat-potkrovlje-oglas-38697034
70,75.000,85,45.59421335664007,17.220361087675247,Bjelovarsko-bilogorska,Daruvar,Daruvar,U kući,Jednoetažni,4-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-daruvar-100-m2-katu-kuce-mirna-lokacija-oglas-38688380
71,153.562,78,,,Bjelovarsko-bilogorska,Bjelovar,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/bjelovar-centar-2s-db-novogradnja-78.75-m2-oglas-37927738
72,100,61,45.591343723786,17.220744107556,Bjelovarsko-bilogorska,Daruvar,Daruvar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-daruvar-61.00-m2-novogradnja-oglas-34740148
73,212.800,118,45.8946156,16.8406948,Bjelovarsko-bilogorska,Bjelovar,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,2,1.,https://www.njuskalo.hr/nekretnine/stan-prodaja-bjelovar-83.26m2-oglas-33272164
74,80.000,88,45.590393,17.218565,Bjelovarsko-bilogorska,Daruvar,Daruvar,U kući,Jednoetažni,3-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-daruvar-kuci-potkrovlje-88-m2-novoureden-odlicna-lokacija-oglas-29943616
75,60.000,54,45.59178154513637,17.219378361039446,Bjelovarsko-bilogorska,Daruvar,Daruvar,U kući,Jednoetažni,2-sobni,,,1.,https://www.njuskalo.hr/nekretnine/stan-daruvar-54-m2-strogi-centar-grada-1-kat-namjesten-oglas-26772186
76,90.000,200,,,Bjelovarsko-bilogorska,Daruvar,Daruvar,U stambenoj zgradi,Jednoetažni,5+ sobni,,,1.,https://www.njuskalo.hr/nekretnine/stan-daruvar-200-m2-oglas-7235269
77,110.000,91,45.59336035653621,17.226002159638256,Bjelovarsko-bilogorska,Daruvar,Daruvar,U stambenoj zgradi,Jednoetažni,4-sobni,,,2.,https://www.njuskalo.hr/nekretnine/stan-daruvar-91-m2-novogradnja-4-sobni-oglas-2011200
78,35.000,65,45.6397661728999,17.165624471507954,Bjelovarsko-bilogorska,Končanica,Končanica,U stambenoj zgradi,Jednoetažni,3-sobni,,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-daruvar-koncanica-65-m2-useljiv-namjesten-garaza-lokacija-oglas-16407347
79,35.000,50,45.59376441698328,17.224539739803532,Bjelovarsko-bilogorska,Daruvar,Daruvar,U kući,Dvoetažni,2-sobni,,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-daruvar-useljiv-gradskom-korzu-oglas-14707266
80,10.000,38,45.662265922346016,17.091905736568712,Bjelovarsko-bilogorska,Grubišno Polje,Veliki Zdenci,U stambenoj zgradi,Jednoetažni,1-sobni,,,Potkrovlje,https://www.njuskalo.hr/nekretnine/stan-veliki-zdenci-38.46-m2-oglas-13025288
