linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
49,52000.0,65,45.175858373766,17.974430879882,Brodsko-posavska,Slavonski Brod,Brodski Varoš,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/brodski-varos-2sobni-stan-65-m2-prizemlje-cent-plin-oglas-41879221
113,55000.0,30,45.15851752006405,18.013927278321365,Brodsko-posavska,Slavonski Brod,Slavonija 1,0,1,0,1,1,5,https://www.njuskalo.hr/nekretnine/stan-slavonski-brod-30.00-m2-oglas-41873243
116,56000.0,27,45.159985733418,18.013948017399,Brodsko-posavska,Slavonski Brod,Slavonija 1,0,1,0,1,1,0,https://www.njuskalo.hr/nekretnine/stan-slavonski-brod-27.00-m2-oglas-41642410
128,70000.0,64,45.159450056783,18.026606440544,Brodsko-posavska,Slavonski Brod,Lutvinka,0,1,3,1,1,5,https://www.njuskalo.hr/nekretnine/stan-slavonski-brod-64.00-m2-oglas-14101648
122,70000.0,54,45.258509163879,17.379808048025,Brodsko-posavska,Nova Gradiška,Nova Gradiška,0,1,2,1,1,6,https://www.njuskalo.hr/nekretnine/stan-gradiska-54.00-m2-oglas-40392921
117,70000.0,64,45.160236745041,18.024568606302,Brodsko-posavska,Slavonski Brod,Lutvinka,0,1,3,1,2,5,https://www.njuskalo.hr/nekretnine/stan-slavonski-brod-64.00-m2-oglas-41691026
115,70000.0,62,45.153587877184,18.026318840948,Brodsko-posavska,Slavonski Brod,Naselje Kralja Tomislava,0,1,2,1,1,4,https://www.njuskalo.hr/nekretnine/stan-nas-kralja-tomislava-65.00-m2-oglas-41748683
82,75000.0,53,45.149058367464,18.038934388555,Brodsko-posavska,Slavonski Brod,Mikrorajon,0,1,2,1,2,3,https://www.njuskalo.hr/nekretnine/stan-slavonski-brod-53.03-m2-oglas-42211625
121,76000.0,62,45.15900013595157,18.03150201801826,Brodsko-posavska,Slavonski Brod,Naselje Andrije Hebranga,0,1,2,1,1,3,https://www.njuskalo.hr/nekretnine/stan-slavonski-brod-62.00-m2-oglas-41092685
83,78400.0,39,45.156148116611,18.010441381753,Brodsko-posavska,Slavonski Brod,Centar,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-slavonski-brod-39.00-m2-novogradnja-oglas-38122261
100,79850.0,50,45.1593605166608,18.0237053618732,Brodsko-posavska,Slavonski Brod,Slavonija 2,0,2,3,2,1,3,https://www.njuskalo.hr/nekretnine/stan-slavonski-brod-50.00-m2-oglas-41137689
111,80000.0,77,45.159555394311,18.014692041647,Brodsko-posavska,Slavonski Brod,Centar,1,2,3,1,1,1,https://www.njuskalo.hr/nekretnine/stan-slavonski-brod-77.03-m2-oglas-41228203
137,83000.0,55,45.253601288864,17.387944809051,Brodsko-posavska,Nova Gradiška,Nova Gradiška,0,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/stan-gradiska-55.00-m2-oglas-34893513
27,83000.0,67,45.159897943148344,18.01417174228412,Brodsko-posavska,Slavonski Brod,Slavonija 1,0,1,2,1,1,4,https://www.njuskalo.hr/nekretnine/stan-prodaja-slavonski-brod-67.29m2-oglas-40881429
72,85000.0,118,45.259049583358,17.389465275627,Brodsko-posavska,Nova Gradiška,Nova Gradiška,1,1,3,1,1,1,https://www.njuskalo.hr/nekretnine/stan-gradiska-118.00-m2-povoljno-oglas-33505177
56,85000.0,62,45.159369147412,18.035406755717,Brodsko-posavska,Slavonski Brod,Naselje Andrije Hebranga,0,1,2,1,1,3,https://www.njuskalo.hr/nekretnine/nas-a-hebranga-dvosobni-stan-63-m2-iii-kat-centralno-klima-oglas-41702715
124,90000.0,75,45.159565,18.036375,Brodsko-posavska,Slavonski Brod,Naselje Andrije Hebranga,0,1,3,1,1,2,https://www.njuskalo.hr/nekretnine/stan-slavonski-brod-75.00-m2-oglas-40948947
28,90000.0,48,45.15619656462259,18.013887931415198,Brodsko-posavska,Slavonski Brod,Centar,0,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/n-zrinskog-dvosobni-stan-48-m2-ii-kat-novogradnja-oglas-42277508
36,91875.0,48,45.179308618692,18.025494141953,Brodsko-posavska,Slavonski Brod,Naselje Zrinski-Frankopana,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/nas-z-frankopan-dvosobni-stan-45-m2-kat-oglas-41986222
1,93000.0,60,45.159090726431,18.031579980741,Brodsko-posavska,Slavonski Brod,Naselje Andrije Hebranga,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-slavonski-brod-60.43-m2-oglas-40752928
31,94600.0,51,45.15619656462259,18.013887931415198,Brodsko-posavska,Slavonski Brod,Centar,0,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/n-zrinskog-dvosobni-stan-51-m2-ii-kat-novogradnja-oglas-42277502
