linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
1,93.000,60,45.159090726431,18.031579980741,Brodsko-posavska,Slavonski Brod,Naselje Andrije Hebranga,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-slavonski-brod-60.43-m2-oglas-40752928
2,196.329,93,45.15891535572835,18.00627969271201,Brodsko-posavska,Slavonski Brod,Naselje Huge Badalića,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/horvatova-trosoban-stan-75.22m2-ii-kat-novogradnja-prodaja-oglas-41065507
3,140.040,77,,,Brodsko-posavska,Slavonski Brod,Slavonija 1,U stambenoj zgradi,Jednoetažni,3-sobni,1,2,6.,https://www.njuskalo.hr/nekretnine/stan-prodaja-slavonski-brod-77.8m2-oglas-42275363
4,227.420,113,,,Brodsko-posavska,Slavonski Brod,Centar,U stambenoj zgradi,Jednoetažni,4-sobni,,,2.,https://www.njuskalo.hr/nekretnine/stan-prodaja-slavonski-brod-113.71m2-oglas-42169839
5,140.465,70,,,Brodsko-posavska,Slavonski Brod,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,2,1.,https://www.njuskalo.hr/nekretnine/naselje-stross-diletacija-c-stan-c3-oglas-41623989
6,107.590,53,,,Brodsko-posavska,Slavonski Brod,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/naselje-stross-diletacija-a-stan-a3-oglas-41586353
7,107.430,53,,,Brodsko-posavska,Slavonski Brod,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,3.,https://www.njuskalo.hr/nekretnine/naselje-stross-diletacija-a-stan-a9-oglas-41586346
8,153.515,76,,,Brodsko-posavska,Slavonski Brod,Centar,U stambenoj zgradi,Jednoetažni,4-sobni,1,2,3.,https://www.njuskalo.hr/nekretnine/stan-prodaja-slavonski-brod-76.7575m2-oglas-41586345
9,107.850,53,,,Brodsko-posavska,Slavonski Brod,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/naselje-stross-diletacija-b-stan-b4-oglas-41616015
10,139.380,69,,,Brodsko-posavska,Slavonski Brod,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,2,2.,https://www.njuskalo.hr/nekretnine/naselje-stross-diletacija-a-stan-a6-oglas-41586350
