linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
163,10000.0,70.0,42.6249342083178,18.2087657497822,Dubrovačko-neretvanska,Župa Dubrovačka,Mlini,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/novogradnja-dvosobni-stan-mlinima-zupa-dubrovacka-oglas-38478028
71,10000.0,75.0,42.6249342083178,18.2087657497822,Dubrovačko-neretvanska,Župa Dubrovačka,Mlini,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/dvosobni-stan-novogradnji-mlini-oglas-38478026
151,10000.0,59.0,42.64110471066648,18.108616899226522,Dubrovačko-neretvanska,Dubrovnik,Stari grad,0,1,3,2,1,1,https://www.njuskalo.hr/nekretnine/trosobni-stan-starom-gradu-oglas-39448881
152,10000.0,110.0,42.6249342083178,18.2087657497822,Dubrovačko-neretvanska,Župa Dubrovačka,Mlini,0,1,3,3,1,3,https://www.njuskalo.hr/nekretnine/novogradnja-penthouse-mlinima-oglas-38494735
164,10000.0,65.0,42.6249342083178,18.2087657497822,Dubrovačko-neretvanska,Župa Dubrovačka,Mlini,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/novogradnja-dvosobni-stan-mlinima-zupa-dubrovacka-oglas-38478025
165,10000.0,71.0,42.65632844287215,18.077929365325442,Dubrovačko-neretvanska,Dubrovnik,Lapad,0,1,3,2,1,1,https://www.njuskalo.hr/nekretnine/prostrani-obiteljski-stan-tik-uvale-lapad-oglas-38180734
41,10000.0,115.0,42.64110471066648,18.108616899226522,Dubrovačko-neretvanska,Dubrovnik,Stari grad,1,2,4,4,1,0,https://www.njuskalo.hr/nekretnine/stan-prodaja-dubrovnik-115m2-oglas-38685843
40,10000.0,89.0,42.65314530726539,18.09043787146746,Dubrovačko-neretvanska,Dubrovnik,Šipčine,0,1,3,1,1,1,https://www.njuskalo.hr/nekretnine/prostrani-stan-mirnom-dijelu-grada-oglas-40964780
96,11000.0,62.0,42.6249342083178,18.2087657497822,Dubrovačko-neretvanska,Župa Dubrovačka,Mlini,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/stan-prodaja-mlini-62.33m2-oglas-36617897
95,11000.0,72.0,42.6249342083178,18.2087657497822,Dubrovačko-neretvanska,Župa Dubrovačka,Mlini,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/stan-prodaja-mlini-72.31m2-oglas-36617898
91,11000.0,145.0,42.667262994540216,18.157406785490014,Dubrovačko-neretvanska,Konavle,Cavtat,1,2,4,3,1,1,https://www.njuskalo.hr/nekretnine/dvoetazni-stan-poluganju-cavtat-oglas-41540836
241,11000.0,109.0,42.6249342083178,18.2087657497822,Dubrovačko-neretvanska,Župa Dubrovačka,Mlini,0,1,3,3,1,4,https://www.njuskalo.hr/nekretnine/stan-prodaja-mlini-90.93m2-oglas-36617895
315,11000.0,62.0,42.6249342083178,18.2087657497822,Dubrovačko-neretvanska,Župa Dubrovačka,Mlini,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/stan-prodaja-mlini-62.24m2-oglas-36617899
328,11000.0,75.0,42.64332676266102,18.115816590098188,Dubrovačko-neretvanska,Dubrovnik,Ploče,0,1,3,2,1,0,https://www.njuskalo.hr/nekretnine/dvosobni-stan-plocama-oglas-41646059
314,11000.0,90.0,42.65979757106479,18.074617250693517,Dubrovačko-neretvanska,Dubrovnik,Babin kuk,0,1,3,2,1,1,https://www.njuskalo.hr/nekretnine/trosobni-stan-babin-kuk-oglas-37589420
