linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
1,300.000,72,42.653831885751,18.092158454557,Dubrovačko-neretvanska,Dubrovnik,Gruž,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,5.,https://www.njuskalo.hr/nekretnine/stan-gruzu-oglas-41708595
2,165.000,54,42.94815368271478,17.1331797351421,Dubrovačko-neretvanska,Korčula,Korčula,U stambenoj zgradi,Jednoetažni,1-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/korcula-domince-jednosoban-stan-novogradnja-54m-oglas-40399204
3,165.000,43,42.658924,18.091072,Dubrovačko-neretvanska,Dubrovnik,Gruž,U stambenoj zgradi,Jednoetažni,2-sobni,1,,8.,https://www.njuskalo.hr/nekretnine/stan-dubrovnik-gruz-43.19m-oglas-41365970
4,3.300,94,42.82643087897,17.700380757378,Dubrovačko-neretvanska,Ston,Ston,U stambenoj zgradi,Jednoetažni,3-sobni,2,3,1.,https://www.njuskalo.hr/nekretnine/stan-ston-94.00-m2-novogradnja-oglas-42326434
5,3.300,67,42.838232615163,17.691858631865,Dubrovačko-neretvanska,Ston,Ston,U stambenoj zgradi,Jednoetažni,2-sobni,1,2,1.,https://www.njuskalo.hr/nekretnine/ston-novogradnja-dvosobni-stanovi-povrsine-67m2-odlicna-lokacija-oglas-42326371
6,3.300,42,42.838232615163,17.691858631865,Dubrovačko-neretvanska,Ston,Ston,U stambenoj zgradi,Jednoetažni,1-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/ston-novogradnja-jednosobni-stanovi-42-56m2-vrhunska-lokacija-oglas-42326336
7,369.000,129,42.947760472629,17.167760689105,Dubrovačko-neretvanska,Korčula,Korčula,U stambenoj zgradi,Jednoetažni,4-sobni,2,1,,https://www.njuskalo.hr/nekretnine/korcula-dvoetazni-penthouse-novogradnji-pogled-more-129-m2-oglas-40513702
8,829.000,178,42.638729049561,18.107794160502,Dubrovačko-neretvanska,Dubrovnik,Gorica,U kući,Višeetažni,5+ sobni,3,,,https://www.njuskalo.hr/nekretnine/dubrovnik-elitni-troetazni-stan-vili-1-red-mora-oglas-32651296
9,120.000,37,42.945654,17.133677,Dubrovačko-neretvanska,Korčula,Žrnovo,U stambenoj zgradi,Jednoetažni,1-sobni,,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-zrnovu-korcula-moguca-kupnja-putem-kredita-oglas-42324914
10,153.000,90,42.945709,17.145225,Dubrovačko-neretvanska,Korčula,Korčula,U kući,Jednoetažni,4-sobni,,,1.,https://www.njuskalo.hr/nekretnine/veliki-stan-pogledom-prirodu-korcula-90-m2-oglas-42324911
11,315.000,99,42.981085,17.489409,Dubrovačko-neretvanska,Slivno,Duba,U kući,Jednoetažni,4-sobni,,,3.,https://www.njuskalo.hr/nekretnine/prodaja-stan-duba-duba-1-6-4s-99m2-oglas-42324908
12,380.000,72,42.788392,17.885075,Dubrovačko-neretvanska,Dubrovačko Primorje,Slano,U kući,Jednoetažni,3-sobni,,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-pogledom-pored-plaze-72.54-m2-dubrovacko-primorje-slano-oglas-42324903
13,239.925,68,42.9592365,16.7191104,Dubrovačko-neretvanska,Vela Luka,Vela Luka,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/dvosoban-stan-bazenom-vela-luka-oglas-42324582
