linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
100,320000.0,113.0,44.8666232,13.8495788,Istarska,Pula,Veli vrh,1,Jednoetažni,5,1,1,0,https://www.njuskalo.hr/nekretnine/4-sobni-stan-apartman-garaza-velika-okucnica-oglas-40421067
101,206000.0,37.0,45.0811661,13.6387067,Istarska,Rovinj,Rovinj,0,Jednoetažni,2,1,1,1,https://www.njuskalo.hr/nekretnine/rovinj-jednosobni-stan-centru-oglas-40420978
102,143000.0,80.0,44.8666232,13.8495788,Istarska,Pula,Centar,0,Jednoetažni,5,1,1,0,https://www.njuskalo.hr/nekretnine/cetvorosobni-stan-centru-pule-oglas-40420954
103,625000.0,177.0,45.2343251,13.6088923,Istarska,Poreč,Poreč,0,Jednoetažni,5,2,1,2,https://www.njuskalo.hr/nekretnine/porec-vrsarska-cetverosoban-stan-terasa-parking-oglas-40064052
104,298000.0,119.0,44.8595412,13.8667601,Istarska,Pula,Monte Magno,0,Jednoetažni,3,1,1,0,https://www.njuskalo.hr/nekretnine/pula-monte-magno-dvosoban-stan-vrtom-parking-oglas-40064050
105,203000.0,40.0,44.92545724818786,13.818632234900173,Istarska,Fažana,Fažana,0,Jednoetažni,2,1,1,1,https://www.njuskalo.hr/nekretnine/fazana-prodaja-stana-mirna-lokacija-oglas-41586760
106,895000.0,167.0,45.0771955112125,13.666201928923307,Istarska,Rovinj,Rovinj,0,Jednoetažni,4,1,1,1,https://www.njuskalo.hr/nekretnine/rovinj-luksuzni-stan-pogledom-more-samo-280m-plaze-oglas-40028943
107,197595.0,56.0,45.23226018444964,13.602535216134045,Istarska,Poreč,Poreč,0,Jednoetažni,3,1,1,2,https://www.njuskalo.hr/nekretnine/porec-kvalitetan-stan-56.22m2-top-lokaciji-oglas-39705515
108,215096.0,73.0,44.82207276456462,13.91878500479212,Istarska,Medulin,Medulin,0,Jednoetažni,3,1,1,1,https://www.njuskalo.hr/nekretnine/istra-medulin-stan-novogradnji-73m2-1-kat-oglas-39817487
109,148000.0,35.0,45.273362199056,13.599492617626,Istarska,Poreč,Červar-Porat,0,Jednoetažni,2,1,1,2,https://www.njuskalo.hr/nekretnine/istra-porec-stan-35m2-1s-db-balkon-oglas-41147894
110,296000.0,101.0,44.854715848982,13.83975988898,Istarska,Pula,Veruda,0,Jednoetažni,4,1,1,2,https://www.njuskalo.hr/nekretnine/istra-pula-veruda-101.09m2-3s-db-oglas-40474038
111,174500.0,53.0,45.230602861508,13.597324057502,Istarska,Poreč,Poreč,0,Jednoetažni,3,1,1,2,https://www.njuskalo.hr/nekretnine/istra-porec-okolica-53.46m2-2s-db-oglas-41646364
112,187000.0,79.0,44.856136852634,13.842460088498,Istarska,Pula,Veruda,0,Jednoetažni,3,1,1,2,https://www.njuskalo.hr/nekretnine/istra-pula-veruda-79.08m2-2s-db-loda-oglas-41646359
113,185000.0,59.0,44.868614191801264,13.84991471129572,Istarska,Pula,Vidikovac,0,Jednoetažni,2,1,1,3,https://www.njuskalo.hr/nekretnine/pula-vidikovac-dvosoban-stan-59.45m2-liftom-oglas-42110257
114,179900.0,69.0,44.868614191801264,13.84991471129572,Istarska,Pula,Centar,0,Jednoetažni,3,1,1,2,https://www.njuskalo.hr/nekretnine/pula-valdebek-stan-69.53m2-2ss-db-prodaja-oglas-41810567
115,162000.0,53.0,44.82207276456462,13.91878500479212,Istarska,Medulin,Medulin,0,Jednoetažni,3,1,1,1,https://www.njuskalo.hr/nekretnine/istra-medulin-lijepi-trosobni-stan-okucnicom-prodaja-oglas-41066160
116,192000.0,77.0,44.868614191801264,13.84991471129572,Istarska,Pula,Centar,0,Jednoetažni,3,1,1,0,https://www.njuskalo.hr/nekretnine/istra-pula-stan-dvije-spavace-sobe-nedaleko-marine-veruda-oglas-41057580
117,255000.0,77.0,44.868614191801264,13.84991471129572,Istarska,Pula,Centar,0,Jednoetažni,4,1,1,3,https://www.njuskalo.hr/nekretnine/pula-siri-centar-komforni-obiteljski-stan-odlicnoj-lokaciji-prod-oglas-41050701
118,370000.0,70.0,44.82207276456462,13.91878500479212,Istarska,Medulin,Premantura,0,Jednoetažni,3,2,1,1,https://www.njuskalo.hr/nekretnine/istra-premantura-apartman-70.52m2-100m-mora-oglas-39876709
119,350000.0,74.0,44.868614191801264,13.84991471129572,Istarska,Pula,Centar,1,Jednoetažni,5,1,1,1,https://www.njuskalo.hr/nekretnine/istra-pula-renovirani-stan-2ss-db-74.62-m2-centru-oglas-38728692
120,208000.0,52.0,44.868614191801264,13.84991471129572,Istarska,Pula,Nova Veruda,0,Jednoetažni,3,1,1,0,https://www.njuskalo.hr/nekretnine/pula-veruda-porat-obiteljski-stan-dvije-spavace-sobe-nedaleko-ma-oglas-41878907
121,93500.0,31.0,44.868614191801264,13.84991471129572,Istarska,Pula,Centar,0,Jednoetažni,2,1,1,3,https://www.njuskalo.hr/nekretnine/pula-stan-potkrovlju-1ss-db-31.78m2-prodaja-oglas-41890465
122,139000.0,37.0,45.23226018444964,13.602535216134045,Istarska,Poreč,Červar-Porat,0,Jednoetažni,2,1,1,1,https://www.njuskalo.hr/nekretnine/istra-porec-cervar-porat-stan-1s-db-37.11-m2-prodaja-oglas-41870931
