linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
1,115.000 €,41,44.87118841379783,13.859438630632972,Istarska,Pula,Monvidal,U stambenoj zgradi,Jednoetažni,1-sobni,1,,Potkrovlje,https://www.njuskalo.hr/nekretnine/stan-pula-41.00-m2-novogradnja-oglas-41920717
2,129.000 €,45,44.857092729975,13.865989824986,Istarska,Pula,Monte Magno,U stambenoj zgradi,Jednoetažni,1-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-pula-45.00-m2-novogradnja-oglas-41988574
3,312.000 €,130,45.340402422266,13.59016938902,Istarska,Novigrad,Bužinija,U kući,Dvoetažni,5+ sobni,3,,Prizemlje,https://www.njuskalo.hr/nekretnine/novigrad-stan-130m2-oglas-41326290
4,97.000 €,37,44.855797,13.843444,Istarska,Pula,Veruda,U stambenoj zgradi,Jednoetažni,2-sobni,1,,3.,https://www.njuskalo.hr/nekretnine/pula-stan-mansardi-37.00-m2-oglas-41590166
5,174.400 €,51,44.85389,13.839553,Istarska,Pula,Veruda,U stambenoj zgradi,Jednoetažni,2-sobni,1,,4.,https://www.njuskalo.hr/nekretnine/pula-renoviran-stan-verudi-51.71-m2-oglas-41962339
6,190.000 €,66,44.87200947325019,13.860060351536568,Istarska,Pula,Monvidal,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-garazom-liftom-66.00-m2-novogradnja-oglas-41975744
7,115.000 €,41,44.87153967459797,13.864002334671552,Istarska,Pula,Kaštanjer,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-pula-41.00-m2-novogradnja-oglas-41527714
8,150.000 €,59,44.856487650562,13.831255669121,Istarska,Pula,Sv. Polikarp / Sisplac,U stambenoj zgradi,Jednoetažni,1-sobni,1,,7.,https://www.njuskalo.hr/nekretnine/stan-pula-veruda-komforan-lift-terasa-oglas-42210048
9,203.000 €,80,44.884089083664,13.880210297371,Istarska,Pula,Šijana,U stambenoj zgradi,Jednoetažni,3-sobni,2,,4.,https://www.njuskalo.hr/nekretnine/stan-pula-tri-spavace-dvije-kupaone-lijep-obiteljski-stan-oglas-42229944
10,115.000 €,45,44.881263920354,13.876405179883,Istarska,Pula,Šijana,U stambenoj zgradi,Jednoetažni,1-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-gradnji-useljenje-proljece-2024-oglas-42112570
