linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
2180,113.000,38,44.86048,13.83981,Istarska,Pula,Centar,U stambenoj zgradi,Jednoetažni,1-sobni,1,1,5.,https://www.njuskalo.hr/nekretnine/istra-pula-jednosoban-stan-38-m2-oglas-42058047
2181,130.000,54,44.871357157318,13.847324678984,Istarska,Pula,Centar,U stambenoj zgradi,Jednoetažni,1-sobni,1,,5.,https://www.njuskalo.hr/nekretnine/stan-pula-54.00-m2-oglas-42011364
2182,186.000,60,44.97547510110303,13.780727173375451,Istarska,Vodnjan,Peroj,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-peroj-60.00-m2-oglas-42278508
2183,1.047.000,209,,,Istarska,Rovinj,Rovinj,U stambenoj zgradi,Dvoetažni,5+ sobni,,,1.,https://www.njuskalo.hr/nekretnine/rovinj-dvoetazni-stan-novogradnji-pogled-more-150m-plaze-oglas-38876267
2184,164.000,62,,,Istarska,Kanfanar,Kanfanar,U stambenoj zgradi,Jednoetažni,3-sobni,,,Prizemlje,https://www.njuskalo.hr/nekretnine/kanfanar-stan-novogradnji-prizemlje-vrt-59.58m2-oglas-38857393
2185,296.225,84,45.2268187,13.5944023,Istarska,Poreč,Poreč,U stambenoj zgradi,Jednoetažni,3-sobni,,,3.,https://www.njuskalo.hr/nekretnine/istra-porec-moderan-stambeni-projekt-800-m-mora-pogled-more-oglas-41471049
2186,146.800,53,44.860518,13.89963,Istarska,Pula,Šikići,U stambenoj zgradi,Jednoetažni,1-sobni,,,Prizemlje,https://www.njuskalo.hr/nekretnine/pula-sikici-novogradnja-1ss-vrt-parking-oglas-41471140
2187,270.000,60,44.875701,13.8851619,Istarska,Pula,Monteserpo - Komunal,U stambenoj zgradi,Jednoetažni,2-sobni,,,2.,https://www.njuskalo.hr/nekretnine/pula-kvalitetan-stan-2ss-parking-nkp-60.49-m2-oglas-41471120
2188,296.225,81,45.2268187,13.5944023,Istarska,Poreč,Poreč,U stambenoj zgradi,Jednoetažni,3-sobni,,,3.,https://www.njuskalo.hr/nekretnine/istra-porec-moderan-stambeni-projekt-800-m-mora-pogled-more-oglas-41471074
2189,296.225,84,45.2268187,13.5944023,Istarska,Poreč,Poreč,U stambenoj zgradi,Jednoetažni,3-sobni,,,3.,https://www.njuskalo.hr/nekretnine/istra-porec-moderan-stambeni-projekt-800-m-mora-pogled-more-oglas-41471046
2190,301.305,91,45.2268187,13.5944023,Istarska,Poreč,Poreč,U stambenoj zgradi,Jednoetažni,3-sobni,,,1.,https://www.njuskalo.hr/nekretnine/istra-porec-moderan-stambeni-projekt-800-m-mora-a-104-1-kat-n-oglas-41463265
2191,196.800,52,45.2268187,13.5944023,Istarska,Poreč,Poreč,U stambenoj zgradi,Jednoetažni,2-sobni,,,1.,https://www.njuskalo.hr/nekretnine/istra-porec-moderan-stambeni-projekt-800-m-mora-a-103-1-kat-n-oglas-41463200
2192,280.193,124,45.3819854,13.8242022,Istarska,Oprtalj,Oprtalj,U stambenoj zgradi,Višeetažni,4-sobni,,,Prizemlje,https://www.njuskalo.hr/nekretnine/istra-oprtalj-troetazni-stan-kuca-nizu-jedinstvena-nekretnina-oglas-41631770
2193,137.100,42,44.8735242,13.8597616,Istarska,Pula,Monvidal,U stambenoj zgradi,Višeetažni,2-sobni,,,2.,https://www.njuskalo.hr/nekretnine/pula-dvosoban-stan-novogradnja-odlicnoj-poziciji-stan-nkp-42.58-oglas-41127837
2194,152.940,47,44.8735242,13.8597616,Istarska,Pula,Monvidal,U stambenoj zgradi,Višeetažni,2-sobni,,,2.,https://www.njuskalo.hr/nekretnine/pula-dvosoban-stan-novogradnja-odlicnoj-poziciji-stan-nkp-47.86-oglas-41127823
2195,240.000,58,44.8620716,13.8422582,Istarska,Pula,Monte Zaro,U stambenoj zgradi,Višeetažni,2-sobni,,,1.,https://www.njuskalo.hr/nekretnine/pula-monte-zaro-prekrasni-dvosoban-stan-centru-grada-nkp-58-m2-oglas-41127785
2196,157.900,58,44.8536639,13.8824783,Istarska,Pula,Valdebek,U stambenoj zgradi,Jednoetažni,2-sobni,,,1.,https://www.njuskalo.hr/nekretnine/pula-valdebek-dvosoban-stan-trazenoj-lokaciji-novogradnja-58.46-oglas-42089348
2197,158.500,58,44.8536639,13.8824783,Istarska,Pula,Valdebek,U stambenoj zgradi,Jednoetažni,2-sobni,,,1.,https://www.njuskalo.hr/nekretnine/pula-valdebek-dvosoban-stan-trazenoj-lokaciji-novogradnja-58.70-oglas-42089339
