linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
1,93.000,105,45.263485102594,15.208864095282,Karlovačka,Ogulin,Ogulin,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/ogulin-centar-stan-2-sb-db-okucnicom-oglas-40977661
2,114.000,62,,,Karlovačka,Karlovac,Grabrik,U stambenoj zgradi,Jednoetažni,3-sobni,,,4.,https://www.njuskalo.hr/nekretnine/novoureden-stan-dobra-lokacija-oglas-42324492
3,99.000,46,45.485160217602,15.55374377006,Karlovačka,Karlovac,Rakovac,U stambenoj zgradi,Jednoetažni,2-sobni,,,Prizemlje,https://www.njuskalo.hr/nekretnine/novoureden-stan-blizina-sadrzaja-oglas-42324491
4,75.500,69,45.490481795674,15.54618702874,Karlovačka,Karlovac,Novi Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,2.,https://www.njuskalo.hr/nekretnine/karlovac-adaptirani-stan-2s-db-oglas-41971280
5,75.500,69,45.489915639946,15.545638273169,Karlovačka,Karlovac,Novi Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,2.,https://www.njuskalo.hr/nekretnine/karlovac-adaptirani-stan-2s-db-oglas-41971276
6,116.000,82,45.259552,15.231255,Karlovačka,Ogulin,Ogulin,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,3.,https://www.njuskalo.hr/nekretnine/zamjena-stana-ogulin-zagreb-oglas-41220683
8,119.999,133,45.49733375882272,15.546305082896382,Karlovačka,Karlovac,Zvijezda,U stambenoj zgradi,Dvoetažni,5+ sobni,2,2,3.,https://www.njuskalo.hr/nekretnine/stan-korzo-centar-133-kvadrata-oglas-38871322
9,108.000,62,45.482315822997,15.551311802226,Karlovačka,Karlovac,Grabrik,U stambenoj zgradi,Jednoetažni,3-sobni,1,,4.,https://www.njuskalo.hr/nekretnine/stan-karlovac-62.00-m2-oglas-42293472
10,60.000,27,45.480268657914,15.543701750585,Karlovačka,Karlovac,Švarča,U stambenoj zgradi,Jednoetažni,Garsonijera,1,,3.,https://www.njuskalo.hr/nekretnine/stan-svarca-karlovac-oglas-41684705
11,130.000,103,,,Karlovačka,Karlovac,Zvijezda,U stambenoj zgradi,Dvoetažni,4-sobni,1,1,3.,https://www.njuskalo.hr/nekretnine/stan-strogom-centru-karlovca-oglas-40534021
12,56.000,42,45.501775,15.54652,Karlovačka,Karlovac,Banija,U stambenoj zgradi,Jednoetažni,1-sobni,,,Prizemlje,https://www.njuskalo.hr/nekretnine/prodaja-stan-banija-matka-laginje-1.5s-42m2-oglas-42290384
13,110.000,50,45.46102516443594,15.56921619784086,Karlovačka,Karlovac,Turanj,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,2.,https://www.njuskalo.hr/nekretnine/stan-karlovac-50.00-m2-oglas-42279913
14,160.000,94,45.496254220567,15.544461424903,Karlovačka,Karlovac,Banija,U kući,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-karlovac-101.00-m2-oglas-41065768
15,58.000,54,45.500663912686,15.558223598729,Karlovačka,Karlovac,Gaza,U stambenoj zgradi,Jednoetažni,2-sobni,1,,4.,https://www.njuskalo.hr/nekretnine/stan-karlovac-54.10-m2-p-filipca-oglas-41610612
16,330.000,177,,,Karlovačka,Karlovac,Mala Švarča,U stambenoj zgradi,Dvoetažni,4-sobni,,,,https://www.njuskalo.hr/nekretnine/stan-177m2-bukovac-4-sobni-oglas-39877002
17,245.000,258,45.494915944448,15.546556969606,Karlovačka,Karlovac,Banija,U stambenoj zgradi,Jednoetažni,5+ sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/karlovac-centar-predivan-salonski-stan-260m2-top-lokaciji-oglas-42267065
18,60.000,70,45.264859724942,15.209489276121,Karlovačka,Ogulin,Ogulin,U stambenoj zgradi,Jednoetažni,2-sobni,1,,,https://www.njuskalo.hr/nekretnine/stan-centru-ogulina-oglas-41386664
19,200.800,77,45.47983243073,15.550747091927,Karlovačka,Karlovac,Grabrik,U stambenoj zgradi,Jednoetažni,3-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-s1-karlovac-grabrik-4-77.47-m2-novogradnja-oglas-40911496
20,290.000,110,45.47983243073,15.550747091927,Karlovačka,Karlovac,Grabrik,U stambenoj zgradi,Jednoetažni,4-sobni,2,,1.,https://www.njuskalo.hr/nekretnine/stan-s8-karlovac-grabrik-4-110.38-m2-novogradnja-oglas-40949493
