linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
69,23000.0,58,46.02647003985713,16.541765303193596,Koprivničko-križevačka,Križevci,Križevci,0,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/stan-krizevci-ulica-ante-starcevica-2-58.68-m2-oglas-39442204
126,55000.0,49,46.0303004,16.54130251,Koprivničko-križevačka,Križevci,Križevci,1,1,1,1,1,1,https://www.njuskalo.hr/nekretnine/stan-oglas-38102796
74,55000.0,45,46.165122093256,16.831484399165,Koprivničko-križevačka,Koprivnica,Banovac,1,2,1,1,1,2,https://www.njuskalo.hr/nekretnine/stan-dvoristem-45m2-koprivnica-oglas-38783768
130,60000.0,62,-0.0018420309680222,0.0012891054481191,Koprivničko-križevačka,Križevci,Križevci,1,1,3,1,1,2,https://www.njuskalo.hr/nekretnine/stan-krizevci-62-m2-oglas-24569704
53,60000.0,116,46.032343696048,16.54135001314,Koprivničko-križevačka,Križevci,Karane,0,1,3,1,1,1,https://www.njuskalo.hr/nekretnine/trosobni-stan-katu-centru-krizevaca-116-m-oglas-38372922
1,82000.0,54,46.0303004,16.54130251,Koprivničko-križevačka,Križevci,Križevci,0,1,2,1,1,3,https://www.njuskalo.hr/nekretnine/stan-dvosobni-oglas-40909456
80,87500.0,50,46.0304225569,16.544536064768,Koprivničko-križevačka,Križevci,Križevci,0,1,1,1,1,2,https://www.njuskalo.hr/nekretnine/stan-krizevci-45.00-m2-novogradnja-oglas-40181092
75,93000.0,62,46.163075896429405,16.82298333387982,Koprivničko-križevačka,Koprivnica,Banovac,0,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/stan-koprivnica-62.00-m2-oglas-37357000
48,95000.0,51,46.16291951877159,16.82794890041029,Koprivničko-križevačka,Koprivnica,Centar,0,1,2,1,1,4,https://www.njuskalo.hr/nekretnine/stan-51.25-m2-koprivnica-oglas-42279714
4,96000.0,73,46.024971083962434,16.545144687221153,Koprivničko-križevačka,Križevci,Križevci,1,1,3,1,1,1,https://www.njuskalo.hr/nekretnine/stan-krizevci-73.76-m2-oglas-36877721
15,99900.0,47,46.163155,16.84095,Koprivničko-križevačka,Koprivnica,Lenišće,0,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/lenisce-2-soban-stan-47-m2-lift-oglas-40126247
125,100000.0,103,46.026745,16.548952,Koprivničko-križevačka,Križevci,Križevci,0,1,4,1,1,1,https://www.njuskalo.hr/nekretnine/stan-krizevci-103.00-m2-oglas-40287989
