linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
1,82.000,54,46.0303004,16.54130251,Koprivničko-križevačka,Križevci,Križevci,U stambenoj zgradi,Jednoetažni,2-sobni,1,,3.,https://www.njuskalo.hr/nekretnine/stan-dvosobni-oglas-40909456
2,143.000,86,46.145617136315,16.81339377138,Koprivničko-križevačka,Koprivnica,Cinderišče,U stambenoj zgradi,Dvoetažni,4-sobni,2,1,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-oglas-40143581
3,110.000,120,46.029129314217,16.54161164881659,Koprivničko-križevačka,Križevci,Križevci,U kući,Dvoetažni,3-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-oglas-39918902
4,96.000,73,46.024971083962434,16.545144687221153,Koprivničko-križevačka,Križevci,Križevci,U kući,Jednoetažni,3-sobni,1,,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/stan-krizevci-73.76-m2-oglas-36877721
5,134.990,51,46.148702238754,16.818585493857,Koprivničko-križevačka,Koprivnica,Pri Magdaleni,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/ekskluzivan-stan-cetvrt-pri-sv-magdaleni-oglas-41688373
6,159.900,69,46.156902,16.837769,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-3-sobni-vrtom-oglas-42128974
7,101.000,47,46.155823,16.8333,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/pored-stadiona-stan-2-sobni-47-m2-oglas-42105018
8,159.750,69,46.16329,16.828672,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/3-sobni-stan-69.44-m2-podno-grijanje-oglas-42092889
9,156.750,67,46.16165,16.827345,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-podno-grijanje-vrt-parkirno-mjesto-oglas-42065205
10,162.750,70,46.16454,16.835781,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/stan-3-sobni-podno-grijanje-oglas-42129090
11,217.565,93,46.164696,16.832079,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,4-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/93.54-m2-4-sobni-stan-kat-novogradnja-oglas-42092297
12,118.200,47,46.16429,16.830505,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/1-kat-47-28-m2-novogradnja-a-razred-spremiste-parkirno-mjesto-oglas-41811933
13,138.525,55,46.16015,16.84003,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/energetski-a-razred-novogradnja-55.41-m2-1-kat-parkirno-mjesto-oglas-41811893
14,149.990,58,46.17798,16.816061,Koprivničko-križevačka,Koprivnica,Taraščice,U stambenoj zgradi,Jednoetažni,3-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/3-soban-stan-lift-garaza-parkirno-mjesto-oglas-41047320
15,99.900,47,46.163155,16.84095,Koprivničko-križevačka,Koprivnica,Lenišće,U stambenoj zgradi,Jednoetažni,2-sobni,1,,,https://www.njuskalo.hr/nekretnine/lenisce-2-soban-stan-47-m2-lift-oglas-40126247
16,187.000,72,46.1556,16.822489,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/odmah-useljiv-3-sobni-stan-1-kat-71-m2-oglas-39238696
17,159.780,69,46.15824604272,16.834805359032,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-koprivnica-69.00-m2-novogradnja-centar-oglas-42175438
18,162.750,70,46.15824604272,16.834805359032,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/stan-koprivnica-70.00-m2-novogradnja-centar-oglas-42175223
19,159.750,69,46.15824604272,16.834805359032,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,,,2.,https://www.njuskalo.hr/nekretnine/stan-koprivnica-66.00-m2-novogradnja-centar-oglas-41663092
20,217.565,93,46.15824604272,16.834805359032,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,4-sobni,,,1.,https://www.njuskalo.hr/nekretnine/stan-koprivnica-90.00-m2-novogradnja-oglas-41610483
21,122.700,61,46.04294962603,17.064442107837,Koprivničko-križevačka,Đurđevac,Đurđevac,U stambenoj zgradi,Jednoetažni,3-sobni,,,,https://www.njuskalo.hr/nekretnine/stan-durdevac-61.00-m2-novogradnja-oglas-40291657
22,156.750,67,46.15824604272,16.834805359032,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-koprivnica-65.00-m2-novogradnja-oglas-41610305
23,122.500,61,46.04294962603,17.064442107837,Koprivničko-križevačka,Đurđevac,Đurđevac,U stambenoj zgradi,Jednoetažni,3-sobni,,,2.,https://www.njuskalo.hr/nekretnine/stan-durdevac-62.05-m2-novogradnja-oglas-39182689
24,315.507,123,46.158775,16.839642,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,,https://www.njuskalo.hr/nekretnine/komforan-stan-zgradi-liftom-garaznim-mjestom-podrumu-oglas-41555271
25,249.000,90,46.1605,16.829077,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,4-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-koprivnica-72.00-m2-novogradnja-oglas-32531115
26,171.800,79,46.161,16.83996,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/pored-stadiona-3-sobni-stan-79.90-m2-oglas-42105195
27,214.990,85,46.150999989921,16.820041578865,Koprivničko-križevačka,Koprivnica,Pri Magdaleni,U stambenoj zgradi,Jednoetažni,4-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/ekskluzivan-stan-novogradnja-pri-sv-magdaleni-oglas-41688667
28,141.450,57,46.156837,16.837658,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/3-sobni-stan-57-m2-parkirno-mjesto-oglas-41610069
29,145.900,73,46.17142,16.825123,Koprivničko-križevačka,Koprivnica,Taraščice,U stambenoj zgradi,Jednoetažni,4-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/komforan-4-soban-stan-tarascice-73-m2-oglas-40467739
30,118.800,55,46.160280391249,16.836789035352,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-55.30-m2-zel-terasa-48.50-prilagoden-osobama-invaliditetom-oglas-39422662
31,193.700,75,46.15971695520914,16.83041547781647,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,,,,https://www.njuskalo.hr/nekretnine/stanovi-novogradnja-koprivnica-centar-florijanski-trg-oglas-39116035
32,130.000,62,46.160280391249,16.836789035352,Koprivničko-križevačka,Koprivnica,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/trosobni-stan-62.00-m2-zelena-terasa-novogradnja-koprivnica-oglas-39422905
33,135.000,74,46.16665855384582,16.82009267759824,Koprivničko-križevačka,Koprivnica,Podolice,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,7.,https://www.njuskalo.hr/nekretnine/trosobni-stan-koprivnica-trg-kralja-tomislava-74.54-m2-oglas-41751736
