linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
1,295.000,160,45.996369422922,15.918927176531,Krapinsko-zagorska,Oroslavje,Oroslavje,U kući,Dvoetažni,4-sobni,2,,2.,https://www.njuskalo.hr/nekretnine/stan-prodaja-oroslavje-160-m2-4-soban-oglas-42101756
2,350.000,197,46.02741667747,15.904630728756,Krapinsko-zagorska,Zabok,Zabok,U stambenoj zgradi,Dvoetažni,4-sobni,2,2,,https://www.njuskalo.hr/nekretnine/zabok-stan-197.87-m2-prodaju-oglas-42089551
3,220.000,160,46.082394675159,15.911281259378,Krapinsko-zagorska,Sveti Križ Začretje,Sveti Križ Začretje,U stambenoj zgradi,Jednoetažni,3-sobni,2,,1.,https://www.njuskalo.hr/nekretnine/sveti-kriz-zacretje-stan-prodaju-oglas-40657945
4,145.656,80,45.993079455573,15.833118097381,Krapinsko-zagorska,Veliko Trgovišće,Veliko Trgovišće,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/veliko-trgovisce-stan-92.32-m-novogradnja-oglas-37486762
5,83.500,60,46.094733015,15.8433647,Krapinsko-zagorska,Krapinske Toplice,Krapinske Toplice,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,2.,https://www.njuskalo.hr/nekretnine/stan-krapinske-toplice-60.00-m2-oglas-40973152
6,130.000,150,46.025295603368,15.905574799632,Krapinsko-zagorska,Zabok,Zabok,U stambenoj zgradi,Dvoetažni,2-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/stan-uzem-centru-zaboka-oglas-39127445
7,1.950,60,46.0213836410253,15.91041875286391,Krapinsko-zagorska,Zabok,Lug Zabočki,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-zabok-lug-zabocki-56.00-m2-novogradnja-oglas-39617598
8,1,82,46.018540151649,15.838330417407,Krapinsko-zagorska,Veliko Trgovišće,Družilovec,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-druzilovec-82.00-m2-novogradnja-oglas-41591691
9,88.000,37,,,Krapinsko-zagorska,Stubičke Toplice,Stubičke Toplice,U stambenoj zgradi,Jednoetažni,2-sobni,1,,4.,https://www.njuskalo.hr/nekretnine/prekrasan-novoadaptirani-stan-37.71m2-st-toplice-oglas-41295980
10,155.000,86,,,Krapinsko-zagorska,Donja Stubica,Donja Stubica,U stambenoj zgradi,Jednoetažni,3-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/stan-drugi-kat-87m2-novogradnja-donja-stubica-oglas-41784157
