linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
4,130000.0,43,44.555931339808,14.88922254946,Ličko-senjska,Novalja,Novalja,0,Jednoetažni,2,1,1,2,https://www.njuskalo.hr/nekretnine/prodaja-stan-43.48m2-novalja-oglas-39408859
5,155000.0,75,44.55170568663,14.919957187301,Ličko-senjska,Novalja,Caska,0,Jednoetažni,2,1,1,2,https://www.njuskalo.hr/nekretnine/suncani-apartman-pogledom-more-caski-otok-pag-61.26-m2-oglas-41519586
6,195000.0,40,44.991365775011,14.911357903275,Ličko-senjska,Senj,Senj,0,Jednoetažni,2,1,1,3,https://www.njuskalo.hr/nekretnine/adaptirani-stan-prelijepim-pogledom-more-oglas-40466344
7,115000.0,36,44.739891049108,14.993177853216,Ličko-senjska,Senj,Stinica,0,Jednoetažni,1,1,1,0,https://www.njuskalo.hr/nekretnine/senj-stinica-apartman-terasom-blizu-mora-oglas-41009056
8,340000.0,95,44.554092048306,14.877411608264,Ličko-senjska,Novalja,Novalja,0,Jednoetažni,3,1,1,1,https://www.njuskalo.hr/nekretnine/pag-novalja-dvosobni-apartman-bazenom-urbanoj-vili-oglas-38274920
9,340000.0,89,44.55367584981,14.877855033516,Ličko-senjska,Novalja,Novalja,0,Jednoetažni,3,1,1,1,https://www.njuskalo.hr/nekretnine/novalja-apartman-prizemlju-bazenom-oglas-40984560
10,385000.0,99,44.553343470242,14.87652563272,Ličko-senjska,Novalja,Novalja,0,Jednoetažni,4,2,2,1,https://www.njuskalo.hr/nekretnine/pag-novalja-dvoetazni-penthouse-krovnom-terasom-oglas-38274922
11,312000.0,103,44.554060567617,14.877033646099,Ličko-senjska,Novalja,Novalja,0,Jednoetažni,3,2,1,0,https://www.njuskalo.hr/nekretnine/novalja-trosobni-stan-prizemlju-oglas-42324416
12,160000.0,65,44.999631054696,14.901657452326,Ličko-senjska,Senj,Senj,0,Jednoetažni,2,1,1,0,https://www.njuskalo.hr/nekretnine/stan-senj-65.00-m2-oglas-41982077
13,360000.0,65,44.567390758685285,14.888267115366352,Ličko-senjska,Novalja,Stara Novalja,0,Jednoetažni,3,1,1,1,https://www.njuskalo.hr/nekretnine/stan-stara-novalja-45.00-m2-3-sobni-oglas-41547517
