linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
1,106.154 €,82,46.391457347701,16.474983564672,Međimurska,Pribislavec,Pribislavec,U stambenoj zgradi,Jednoetažni,4-sobni,2,2,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-pribislavec-82.29-m2-novogradnja-oglas-37637977
2,100.000 €,48,,,Međimurska,Čakovec,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/cakovec-stan-48.84-m2-1-kat-oglas-40778962
3,100.000 €,70,,,Međimurska,Čakovec,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,4.,https://www.njuskalo.hr/nekretnine/cakovec-stan-70-m2-oglas-40303543
4,205.000 €,69,,,Međimurska,Čakovec,Centar,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,2.,https://www.njuskalo.hr/nekretnine/cakovec-4s-stan-69m2-oglas-41917669
5,330.000 €,188,46.379383656975,16.441006385448,Međimurska,Čakovec,Jug,U kući,Dvoetažni,5+ sobni,2,,Prizemlje,https://www.njuskalo.hr/nekretnine/cakovec-luksuzna-novogradnja-5-sobni-stan-neto-169.53-m2-80-m2-v-oglas-39511609
6,310.000 €,167,46.379383656975,16.441006385448,Međimurska,Čakovec,Jug,U kući,Dvoetažni,5+ sobni,3,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-cakovec-167.00-m2-novogradnja-oglas-39527886
7,290.000 €,183,46.379383656975,16.441006385448,Međimurska,Čakovec,Jug,U kući,Dvoetažni,5+ sobni,3,,Prizemlje,https://www.njuskalo.hr/nekretnine/cakovec-luksuzna-novogradnja-5-sobni-stan-neto-183.61-m2-oglas-39520043
8,115.400 €,81,46.410030647141355,16.524011418049763,Međimurska,Belica,Belica,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,,https://www.njuskalo.hr/nekretnine/stan-belica-81.61-m2-oglas-41186868
9,49.000 €,72,46.51273293377947,16.43799304962158,Međimurska,Mursko Središće,Mursko Središće,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-mursko-sredisce-72.00-m2-oglas-40340882
10,300.000 €,166,46.378483782512816,16.44251458353307,Međimurska,Čakovec,Jug,U kući,Dvoetažni,5+ sobni,3,,Prizemlje,https://www.njuskalo.hr/nekretnine/pametni-niskoenergetski-stan-166m2-cakovec-oglas-40278162
11,95.000 €,66,46.3879918898081,16.43146819570594,Međimurska,Čakovec,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-66m2-centru-cakovca-oglas-36356568
12,223.275 €,90,46.39174583452202,16.428030761999572,Međimurska,Čakovec,Globetka,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/cakovec-galerija-sjever-novogradnja-oglas-42107032
13,285.740 €,102,46.393496407593396,16.42800092642146,Međimurska,Čakovec,Globetka,U stambenoj zgradi,Jednoetažni,4-sobni,2,2,4.,https://www.njuskalo.hr/nekretnine/cakovec-galerija-sjever-novogradnja-oglas-41875269
14,171.801 €,63,46.39224124927077,16.428232245885454,Međimurska,Čakovec,Globetka,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,2.,https://www.njuskalo.hr/nekretnine/cakovec-galerija-sjever-novogradnja-oglas-41875228
15,262.656 €,97,46.393496407593,16.428000926421,Međimurska,Čakovec,Globetka,U stambenoj zgradi,Jednoetažni,3-sobni,2,2,2.,https://www.njuskalo.hr/nekretnine/cakovec-galerija-sjever-novogradnja-oglas-41875208
16,229.581 €,85,46.393496407593,16.428000926421,Međimurska,Čakovec,Globetka,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,2.,https://www.njuskalo.hr/nekretnine/cakovec-galerija-sjever-novogradnja-oglas-41875188
17,224.484 €,86,46.393496407593,16.428000926421,Međimurska,Čakovec,Globetka,U stambenoj zgradi,Jednoetažni,4-sobni,2,2,1.,https://www.njuskalo.hr/nekretnine/cakovec-galerija-sjever-novogradnja-oglas-41875165
18,112.554 €,43,46.393496407593,16.428000926421,Međimurska,Čakovec,Globetka,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/cakovec-galerija-sjever-novogradnja-oglas-41875150
19,127.010 €,48,46.393496407593,16.428000926421,Međimurska,Čakovec,Globetka,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/cakovec-galerija-sjever-novogradnja-oglas-41875133
20,185.198 €,71,46.393496407593,16.428000926421,Međimurska,Čakovec,Globetka,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/cakovec-galerija-sjever-novogradnja-oglas-41875058
21,165.698 €,63,46.393496407593,16.428000926421,Međimurska,Čakovec,Globetka,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/cakovec-galerija-sjever-novogradnja-oglas-41875036
22,265.590 €,102,46.393496407593,16.428000926421,Međimurska,Čakovec,Globetka,U stambenoj zgradi,Jednoetažni,3-sobni,2,2,1.,https://www.njuskalo.hr/nekretnine/cakovec-galerija-sjever-novogradnja-oglas-41875021
23,151.075 €,60,46.390678419413,16.426713546738,Međimurska,Čakovec,Globetka,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,Prizemlje,https://www.njuskalo.hr/nekretnine/cakovec-galerija-sjever-novogradnja-oglas-41874995
24,190.900 €,76,46.390678419413,16.426713546738,Međimurska,Čakovec,Globetka,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,Prizemlje,https://www.njuskalo.hr/nekretnine/cakovec-galerija-sjever-novogradnja-oglas-41874975
25,143.575 €,57,46.390678419413,16.426713546738,Međimurska,Čakovec,Globetka,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-cakovec-56.00-m2-novogradnja-oglas-41874880
26,195.000 €,140,46.406864643421,16.438740145212,Međimurska,Čakovec - Okolica,Mihovljan,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/penthouse-safran-breg-uporabnom-dozvolom-oglas-42288678
27,147.000 €,84,46.398514,16.450281,Međimurska,Čakovec - Okolica,Mihovljan,U stambenoj zgradi,Jednoetažni,3-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-cakovec-oglas-34056189
28,175.000 €,98,,,Međimurska,Čakovec,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,,,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/impresivan-stan-privatnom-penthouse-terasom-oglas-41652714
29,106.154 €,82,46.397000011035,16.488357851922,Međimurska,Čakovec - Okolica,Pribislavec,U stambenoj zgradi,Jednoetažni,4-sobni,2,2,Prizemlje,https://www.njuskalo.hr/nekretnine/pribislavec-cetverosobni-stan-urbanoj-vili-oglas-38487565
30,2.500 €,40,,,Međimurska,Čakovec,Globetka,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,Prizemlje,https://www.njuskalo.hr/nekretnine/bez-provizije-jedinstvena-novogradnja-cakovcu-stanovi-38-230-m2-oglas-42283242
31,162.000 €,107,46.391846605515,16.422120456409,Međimurska,Čakovec,Globetka,U stambenoj zgradi,Dvoetažni,4-sobni,2,,1.,https://www.njuskalo.hr/nekretnine/stan-cakovec-115-m2-novogradnja-oglas-1358768
32,197.500 €,169,46.3831313140206,16.430315881196833,Međimurska,Čakovec,Martane,U kući,Višeetažni,5+ sobni,2,,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/stan-cakovec-169.00-m2-oglas-41473034
33,1.350 €,82,46.39342748902928,16.480693019755762,Međimurska,Pribislavec,Pribislavec,U stambenoj zgradi,Jednoetažni,4-sobni,2,2,1.,https://www.njuskalo.hr/nekretnine/stan-pribislavec-82.29-m2-novogradnja-oglas-39455478
34,2.500 €,55,46.390721393297,16.426103458821,Međimurska,Čakovec,Globetka,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/novogradnja-cakovec-galerija-sjever-pretprodaja-dvosoban-stan-55.8m-oglas-42089552
35,137.690 €,49,46.39086964488346,16.42710048769005,Međimurska,Čakovec,Globetka,U stambenoj zgradi,Jednoetažni,1-sobni,1,1,4.,https://www.njuskalo.hr/nekretnine/cakovec-galerija-sjever-novogradnja-oglas-41918550
36,155.272 €,59,46.391124641209444,16.422549675292494,Međimurska,Čakovec,Globetka,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/cakovec-galerija-sjever-novogradnja-oglas-41918503
37,205.465 €,79,46.392922256385596,16.42823892479706,Međimurska,Čakovec,Globetka,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/cakovec-galerija-sjever-novogradnja-oglas-41918515
38,330.000 €,169,,,Međimurska,Čakovec,Jug,U stambenoj zgradi,Dvoetažni,5+ sobni,3,3,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-prodaja-cakovec-luksuzna-izvedba-oprema-170-m2-330.000-oglas-39660667
39,330.000 €,167,,,Međimurska,Čakovec,Jug,U stambenoj zgradi,Dvoetažni,5+ sobni,3,3,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-prodaja-cakovec-luksuzna-izvedba-oprema-168-m2-330.000-oglas-39660670
40,330.000 €,166,,,Međimurska,Čakovec,Jug,U stambenoj zgradi,Dvoetažni,5+ sobni,3,3,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-prodaja-cakovec-luksuzna-izvedba-oprema-168-m2-330.000-oglas-39660668
41,83.000 €,76,,,Međimurska,Prelog,Prelog,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/dvosobni-stan-centru-preloga-oglas-41147702
42,169.750 €,97,,,Međimurska,Čakovec - Okolica,Mihovljan,U kući,Dvoetažni,4-sobni,1,2,Prizemlje,https://www.njuskalo.hr/nekretnine/kuca-3-stana-pasivna-kuca-mihovljanu-oglas-37082819
43,76.000 €,63,,,Međimurska,Čakovec,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/prodaje-se-stan-centru-cakovca-oglas-37025949
44,115.000 €,72,46.389724781843,16.434701286054,Međimurska,Čakovec,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,,,1.,https://www.njuskalo.hr/nekretnine/stan-centru-grada-spustena-cijena-oglas-5003145
45,128.150 €,84,,,Međimurska,Štrigova,Štrigova,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/useljivi-namjesteni-stan-centru-strigove-oglas-28055516
46,315.000 €,167,,,Međimurska,Čakovec,Jug,U stambenoj zgradi,Dvoetažni,5+ sobni,3,,,https://www.njuskalo.hr/nekretnine/vrhunski-dvoetazni-stan-cakovec-jug-useljivo-oglas-40526934
47,225.000 €,138,46.390517618175,16.433486779678,Međimurska,Čakovec,Centar,U stambenoj zgradi,Jednoetažni,5+ sobni,2,2,Prizemlje,https://www.njuskalo.hr/nekretnine/cakovec-moderno-opremljen-stan-oglas-41581504
48,75.000 €,75,46.390517618175,16.433486779678,Međimurska,Čakovec,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,,https://www.njuskalo.hr/nekretnine/cakovec-trosoban-stan-renovaciju-oglas-41345046
49,269.660 €,117,46.380781450843,16.431675708253,Međimurska,Čakovec,Martane,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/cakovec-urbana-vila-travnicka-s4-oglas-41995769
50,250.820 €,105,46.380781450843,16.431675708253,Međimurska,Čakovec,Martane,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/cakovec-urbana-vila-travnicka-s3-oglas-41995747
51,298.620 €,121,46.380781450843,16.431675708253,Međimurska,Čakovec,Martane,U stambenoj zgradi,Jednoetažni,4-sobni,2,2,Prizemlje,https://www.njuskalo.hr/nekretnine/cakovec-urbana-vila-travnicka-s2-oglas-41995714
52,330.000 €,169,,,Međimurska,Čakovec,Jug,U stambenoj zgradi,Dvoetažni,5+ sobni,3,,,https://www.njuskalo.hr/nekretnine/vrhunski-arhitektonski-projekt-vrhunska-izvedba-vrhunska-lokacija-oglas-38454738
53,149.000 €,75,46.381927,16.44042,Međimurska,Čakovec,Centar,U stambenoj zgradi,Dvoetažni,3-sobni,1,2,Prizemlje,https://www.njuskalo.hr/nekretnine/prodajem-stan-75m2-oglas-41913944
54,154.000 €,75,46.385452,16.429771,Međimurska,Čakovec,Centar,U stambenoj zgradi,Dvoetažni,3-sobni,1,2,Prizemlje,https://www.njuskalo.hr/nekretnine/prodajem-stan-75m2-oglas-41913734
55,90.000 €,54,,,Međimurska,Čakovec,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,5.,https://www.njuskalo.hr/nekretnine/stan-centru-cakovca-54.04m2-oglas-42244298
56,106.000 €,82,,,Međimurska,Pribislavec,Pribislavec,U stambenoj zgradi,Jednoetažni,4-sobni,2,2,Prizemlje,https://www.njuskalo.hr/nekretnine/novogradnja-stan-pribislavcu-82.29m2-oglas-40421065
57,106.000 €,82,,,Međimurska,Pribislavec,Pribislavec,U stambenoj zgradi,Jednoetažni,4-sobni,2,2,1.,https://www.njuskalo.hr/nekretnine/novogradnja-stan-pribislavcu-82.29m2-oglas-40421064
58,60.000 €,71,46.39574876341739,16.445224837125952,Međimurska,Čakovec,Vojni Vrtovi,U stambenoj zgradi,Jednoetažni,2-sobni,,,1.,https://www.njuskalo.hr/nekretnine/stan-cakovec-71-m2-oglas-22192148
59,63.000 €,63,46.343198843164124,16.739941946401295,Međimurska,Sveta Marija,Sveta Marija,U stambenoj zgradi,Jednoetažni,3-sobni,1,,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/stan-sveta-marija-63.49-m2-oglas-41588668
60,91.000 €,54,46.38717047713573,16.437375299550464,Međimurska,Čakovec,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,5.,https://www.njuskalo.hr/nekretnine/stan-cakovec-54.04-m2-oglas-41747664
61,160.000 €,130,46.386614775132024,16.43660647908248,Međimurska,Čakovec,Centar,U stambenoj zgradi,Dvoetažni,4-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/stan-cakovec-130.73-m2-oglas-41743393
62,59.000 €,71,46.53502166882487,16.364857723804217,Međimurska,Sveti Martin Na Muri,Sveti Martin na Muri,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,2.,https://www.njuskalo.hr/nekretnine/stan-sveti-martin-muri-71.29-m2-oglas-40395220
63,169.000 €,104,46.38617369746468,16.434671239253145,Međimurska,Čakovec,Centar,U stambenoj zgradi,Dvoetažni,4-sobni,2,,2.,https://www.njuskalo.hr/nekretnine/stan-cakovec-104.80-m2-oglas-40104973
