linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
72,40000.0,48,46.499921328762,16.285326814851,Međimurska,Štrigova,Štrigova,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/prodaja-stana-strigova-48.00-m2-oglas-42203169
9,49000.0,72,46.51273293377947,16.43799304962158,Međimurska,Mursko Središće,Mursko Središće,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-mursko-sredisce-72.00-m2-oglas-40340882
62,59000.0,71,46.53502166882487,16.364857723804217,Međimurska,Sveti Martin Na Muri,Sveti Martin na Muri,0,1,3,1,1,2,https://www.njuskalo.hr/nekretnine/stan-sveti-martin-muri-71.29-m2-oglas-40395220
58,60000.0,71,46.39574876341739,16.445224837125952,Međimurska,Čakovec,Vojni Vrtovi,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-cakovec-71-m2-oglas-22192148
59,63000.0,63,46.34319884316413,16.739941946401295,Međimurska,Sveta Marija,Sveta Marija,0,1,3,1,1,1,https://www.njuskalo.hr/nekretnine/stan-sveta-marija-63.49-m2-oglas-41588668
48,75000.0,75,46.390517618175,16.433486779678,Međimurska,Čakovec,Centar,0,1,3,1,1,2,https://www.njuskalo.hr/nekretnine/cakovec-trosoban-stan-renovaciju-oglas-41345046
43,76000.0,63,46.387855399641325,16.435458277312595,Međimurska,Čakovec,Centar,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/prodaje-se-stan-centru-cakovca-oglas-37025949
67,78990.0,40,46.387855399641325,16.435458277312595,Međimurska,Čakovec,Centar,0,1,1,1,1,2,https://www.njuskalo.hr/nekretnine/stan-cakovec-40-m2-2-spremista-parking-renoviran-namjesten-oglas-41181827
146,79000.0,79,46.387855399641325,16.435458277312595,Međimurska,Čakovec,Centar,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/dvosoban-stan-cakovcu-oglas-41187846
69,79943.0,46,46.38675161068164,16.448241837145183,Međimurska,Čakovec,Sajmište,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-cakovec-46.00-m2-oglas-42220708
124,88000.0,137,46.51273293377947,16.43799304962158,Međimurska,Mursko Središće,Mursko Središće,0,1,3,2,1,1,https://www.njuskalo.hr/nekretnine/stan-mursko-sredisce-137.00-m2-oglas-40340852
55,90000.0,54,46.387855399641325,16.435458277312595,Međimurska,Čakovec,Centar,0,1,2,1,1,5,https://www.njuskalo.hr/nekretnine/stan-centru-cakovca-54.04m2-oglas-42244298
60,91000.0,54,46.38717047713573,16.437375299550464,Međimurska,Čakovec,Centar,0,1,2,1,1,5,https://www.njuskalo.hr/nekretnine/stan-cakovec-54.04-m2-oglas-41747664
11,95000.0,66,46.3879918898081,16.43146819570594,Međimurska,Čakovec,Centar,0,1,3,1,1,1,https://www.njuskalo.hr/nekretnine/stan-66m2-centru-cakovca-oglas-36356568
79,95000.0,66,46.387855399641325,16.435458277312595,Međimurska,Čakovec,Centar,0,2,3,2,1,1,https://www.njuskalo.hr/nekretnine/top-lokacija-cakovec-stan-66m2-centar-2-parkirna-mjesta-oglas-39230566
120,97500.0,49,46.39007740236985,16.432461859199602,Međimurska,Čakovec,Centar,0,1,2,1,1,5,https://www.njuskalo.hr/nekretnine/stan-cakovec-49.00-m2-oglas-41922546
3,100000.0,70,46.387855399641325,16.435458277312595,Međimurska,Čakovec,Centar,0,1,3,1,1,4,https://www.njuskalo.hr/nekretnine/cakovec-stan-70-m2-oglas-40303543
30,100000.0,40,46.392398758133005,16.42603916155825,Međimurska,Čakovec,Globetka,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/bez-provizije-jedinstvena-novogradnja-cakovcu-stanovi-38-230-m2-oglas-42283242
2,100000.0,48,46.387855399641325,16.435458277312595,Međimurska,Čakovec,Centar,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/cakovec-stan-48.84-m2-1-kat-oglas-40778962
66,102000.0,49,46.385624222505,16.440923135569,Međimurska,Čakovec,Centar,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-cakovec-49.90-m2-oglas-42238883
56,106000.0,82,46.39290407085843,16.478319448636586,Međimurska,Pribislavec,Pribislavec,0,1,4,2,2,0,https://www.njuskalo.hr/nekretnine/novogradnja-stan-pribislavcu-82.29m2-oglas-40421065
57,106000.0,82,46.39290407085843,16.478319448636586,Međimurska,Pribislavec,Pribislavec,0,1,4,2,2,1,https://www.njuskalo.hr/nekretnine/novogradnja-stan-pribislavcu-82.29m2-oglas-40421064
29,106154.0,82,46.397000011035,16.488357851922,Međimurska,Čakovec - Okolica,Pribislavec,0,1,4,2,2,0,https://www.njuskalo.hr/nekretnine/pribislavec-cetverosobni-stan-urbanoj-vili-oglas-38487565
1,106154.0,82,46.391457347701,16.474983564672,Međimurska,Pribislavec,Pribislavec,0,1,4,2,2,0,https://www.njuskalo.hr/nekretnine/stan-pribislavec-82.29-m2-novogradnja-oglas-37637977
105,106154.0,82,46.396481315553,16.484707399222,Međimurska,Čakovec - Okolica,Pribislavec,0,1,4,2,2,0,https://www.njuskalo.hr/nekretnine/pribislavec-cetverosobni-stan-urbanoj-vili-oglas-38487567
106,106154.0,82,46.397069540751,16.489157461246,Međimurska,Čakovec - Okolica,Pribislavec,0,1,4,2,2,0,https://www.njuskalo.hr/nekretnine/pribislavec-cetverosobni-stan-urbanoj-vili-oglas-38487566
138,106154.0,82,46.396130062227,16.484281135042,Međimurska,Čakovec - Okolica,Pribislavec,0,1,4,2,2,2,https://www.njuskalo.hr/nekretnine/pribislavec-cetverosobni-stan-urbanoj-vili-idealan-mladu-obitelj-oglas-36529547
137,106154.0,82,46.393827375845,16.479281761482,Međimurska,Pribislavec,Pribislavec,0,1,4,2,2,0,https://www.njuskalo.hr/nekretnine/stan-pribislavec-87.09-m2-novogradnja-oglas-35681927
68,108000.0,40,46.38717803921545,16.42913254632216,Međimurska,Čakovec,Globetka,0,1,2,1,1,4,https://www.njuskalo.hr/nekretnine/prodaje-se-dvosoban-stan-centru-cakovca-oglas-42065160
145,110000.0,103,46.38352321866722,16.4459901463662,Međimurska,Čakovec,Buzovec,0,1,4,1,1,1,https://www.njuskalo.hr/nekretnine/4-sobni-stan-cakovcu-s1-oglas-41520678
143,110000.0,59,46.414453976487,16.40878612971,Međimurska,Šenkovec,Šenkovec,0,1,3,1,1,1,https://www.njuskalo.hr/nekretnine/trosobni-stan-senkovcu-s4-oglas-41732228
33,110700.0,82,46.39342748902928,16.480693019755762,Međimurska,Pribislavec,Pribislavec,0,1,4,2,2,1,https://www.njuskalo.hr/nekretnine/stan-pribislavec-82.29-m2-novogradnja-oglas-39455478
18,112554.0,43,46.393496407593,16.428000926421,Međimurska,Čakovec,Globetka,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/cakovec-galerija-sjever-novogradnja-oglas-41875150
82,113100.0,43,46.391585358334,16.426170301403,Međimurska,Čakovec,Globetka,0,1,1,1,1,1,https://www.njuskalo.hr/nekretnine/novogradnja-cakovec-kod-galerije-sjever-oglas-42179216
117,113100.0,43,46.394382623227,16.423033175218,Međimurska,Čakovec,Globetka,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/cakovec-galerija-sjever-2-sobni-stan-43.50-m2-novogradnja-oglas-41979195
123,113425.0,43,46.391316896637,16.425814688592,Međimurska,Čakovec,Globetka,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/novogradnja-cakovec-kod-galerije-sjever-oglas-41911831
107,113425.0,45,46.394382623227,16.423033175218,Međimurska,Čakovec,Globetka,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/cakovec-top-lokacija-2-sobni-stan-43.5-m2-novogradnja-galerija-sjever-oglas-42069928
85,113425.0,43,46.391129428909,16.423536738004,Međimurska,Čakovec,Globetka,0,1,1,1,1,1,https://www.njuskalo.hr/nekretnine/novogradnja-cakovec-kod-galerije-sjever-oglas-42179188
44,115000.0,72,46.389724781843,16.434701286054,Međimurska,Čakovec,Centar,0,1,3,1,1,1,https://www.njuskalo.hr/nekretnine/stan-centru-grada-spustena-cijena-oglas-5003145
8,115400.0,81,46.41003064714136,16.524011418049763,Međimurska,Belica,Belica,0,1,3,1,1,2,https://www.njuskalo.hr/nekretnine/stan-belica-81.61-m2-oglas-41186868
113,118000.0,65,46.381916038365,16.4475372506,Međimurska,Čakovec,Jug,0,2,2,1,1,4,https://www.njuskalo.hr/nekretnine/stan-cakovec-118.000-oglas-42003793
64,120000.0,174,46.388229743613,16.437915072849,Međimurska,Čakovec,Centar,0,1,4,1,1,1,https://www.njuskalo.hr/nekretnine/stan-cakovec-174.27-m2-oglas-37329620
147,120000.0,297,46.387764565051,16.437784531583,Međimurska,Čakovec,Centar,1,1,3,2,2,1,https://www.njuskalo.hr/nekretnine/stan-dvoristem-cakovcu-s41-oglas-34369809
19,127010.0,48,46.393496407593,16.428000926421,Međimurska,Čakovec,Globetka,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/cakovec-galerija-sjever-novogradnja-oglas-41875133
80,127855.0,50,46.394382623227,16.423033175218,Međimurska,Čakovec,Globetka,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/cakovec-top-lokacia-2-sobni-stan-49.18-m2-novogradnja-galerija-sjever-oglas-42183519
45,128150.0,84,46.49992048552767,16.287112801144332,Međimurska,Štrigova,Štrigova,0,1,4,1,1,1,https://www.njuskalo.hr/nekretnine/useljivi-namjesteni-stan-centru-strigove-oglas-28055516
89,128150.0,102,46.49992048552767,16.287112801144332,Međimurska,Štrigova,Štrigova,0,2,4,2,1,1,https://www.njuskalo.hr/nekretnine/stan-novogradnja-strigova-102.52m2-oglas-38470968
100,128150.0,102,46.499181888883,16.287730232266,Međimurska,Štrigova,Štrigova,0,2,4,2,1,2,https://www.njuskalo.hr/nekretnine/novogradnja-izvrsne-kvalitete-strigovi-oglas-36011150
65,130000.0,169,46.38650646956,16.436374021735,Međimurska,Čakovec,Centar,1,2,3,1,1,1,https://www.njuskalo.hr/nekretnine/cakovec-strogi-centar-komotan-stan-prvom-katu-kod-crkve-oglas-32761117
98,135000.0,100,46.39359118207114,16.422089902704712,Međimurska,Čakovec,Globetka,0,2,4,1,1,1,https://www.njuskalo.hr/nekretnine/cakovec-globetka-dvoetazan-stan-100m-oglas-42130739
140,135000.0,100,46.387954207268,16.423213278084,Međimurska,Čakovec,Globetka,0,2,4,1,1,1,https://www.njuskalo.hr/nekretnine/jedinstveni-dvoetazni-stan-zadnjem-katu-100-m2-oglas-41062536
34,137500.0,55,46.390721393297,16.426103458821,Međimurska,Čakovec,Globetka,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/novogradnja-cakovec-galerija-sjever-pretprodaja-dvosoban-stan-55.8m-oglas-42089552
