linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
1,205.000 €,87,45.565553135715,18.665714266987,Osječko-baranjska,Osijek,Gornji grad / Centar,U stambenoj zgradi,Jednoetažni,4-sobni,2,,2.,https://www.njuskalo.hr/nekretnine/vrhunski-ekskluzivini-cetverosoban-stan-2-apartmana-splavarska-ul-oglas-36703202
2,132.000 €,67,45.5539,18.718178,Osječko-baranjska,Osijek,Donji grad,U stambenoj zgradi,Jednoetažni,2-sobni,1,,4.,https://www.njuskalo.hr/nekretnine/dvosoban-renoviran-namjesten-stan-67m2-centar-donjeg-grada-oglas-41696039
3,101.000 €,58,45.55793,18.673897,Osječko-baranjska,Osijek,Gornji grad / Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,,5.,https://www.njuskalo.hr/nekretnine/dvosoban-stan-58.17-m2-5-kat-gradsko-grijanje-centar-oglas-42052828
4,1.850 €,112,45.534035178846,18.634753589938,Osječko-baranjska,Osijek,Cvjetno naselje,U stambenoj zgradi,Jednoetažni,4-sobni,2,,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/stanovi-izgradnji-cetverosobni-112m2-132m2-vrt-parking-ul-oglas-42211001
5,214.920 €,108,45.544811973789,18.700612241348,Osječko-baranjska,Osijek,Jug I,U stambenoj zgradi,Jednoetažni,4-sobni,2,,Prizemlje,https://www.njuskalo.hr/nekretnine/vrhunska-novogradnja-cetverosoban-stan-108.82-m2-vrt-63.04-m2-oglas-40529110
6,97.000 €,42,45.55677447446041,18.64838701778305,Osječko-baranjska,Osijek,Retfala,U stambenoj zgradi,Jednoetažni,2-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/dvosoban-stan-42.45m2-novije-gradnje-namjesten-vij-dinare-oglas-41786700
7,89.000 €,31,45.55056701261969,18.693255705726386,Osječko-baranjska,Osijek,Sjenjak,U stambenoj zgradi,Jednoetažni,1-sobni,1,1,10.,https://www.njuskalo.hr/nekretnine/stan-osijek-31.00-m2-oglas-42329342
8,130.000 €,65,45.552197,18.724545,Osječko-baranjska,Osijek,Donji grad,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,3.,https://www.njuskalo.hr/nekretnine/prodaja-stan-osijek-vukovarska-103-oglas-40690998
9,340.000 €,110,45.560451123451,18.667600447534,Osječko-baranjska,Osijek,Gornji grad / Centar,U stambenoj zgradi,Jednoetažni,4-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-osijek-110.00-m2-novogradnja-velikom-terasom-garazom-oglas-42329284
10,161.700 €,92,45.55728405822768,18.648476895700327,Osječko-baranjska,Osijek,Retfala,U stambenoj zgradi,Jednoetažni,4-sobni,2,2,1.,https://www.njuskalo.hr/nekretnine/stan-osijek-92.40-m2-novogradnja-oglas-40701872
11,170.000 €,104,45.56265175803,18.643820285797,Osječko-baranjska,Osijek,Retfala,U stambenoj zgradi,Jednoetažni,5+ sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/stan-osijek-peterosobni-104.00-m2-novogradnja-oglas-41626363
12,167.500 €,101,45.56265175803,18.643820285797,Osječko-baranjska,Osijek,Retfala,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,Prizemlje,https://www.njuskalo.hr/nekretnine/stanovi-osijek-83.00-m2-104-m2-novogradnja-useljenje-2024-oglas-41086378
13,214.920 €,108,45.549493489811,18.708239292069923,Osječko-baranjska,Osijek,Jug II,U stambenoj zgradi,Jednoetažni,4-sobni,2,2,Prizemlje,https://www.njuskalo.hr/nekretnine/prodaja-luksuznog-stana-prizemlje-oglas-42112363
14,126.000 €,75,45.551181213622,18.741702319754,Osječko-baranjska,Osijek,Zeleno polje,U stambenoj zgradi,Jednoetažni,3-sobni,1,,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/stan-osijek-75.00-m2-novogradnja-oglas-41913493
15,72.100 €,125,,,Osječko-baranjska,Osijek,Gornji grad / Centar,U kući,Dvoetažni,3-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/centar-grada-4-sobni-dvorisni-stan-cca125m2.1-kat-oglas-32546872
16,233.000 €,156,45.567718802788,18.690395431445,Osječko-baranjska,Osijek - Okolica,Tvrđavica,U stambenoj zgradi,Jednoetažni,5+ sobni,2,,1.,https://www.njuskalo.hr/nekretnine/luksuzni-stan-urbanoj-vili-156m2-oglas-40318691
17,94.000 €,49,45.55374990989531,18.68150442156924,Osječko-baranjska,Osijek,Gornji grad / Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,,5.,https://www.njuskalo.hr/nekretnine/dvosoban-stan-reisnerova-ulica-34c-peti-kat-zatvorena-loda-oglas-42052135
18,221.540 €,100,45.55656091208909,18.72637762257033,Osječko-baranjska,Osijek,Donji grad,U stambenoj zgradi,Jednoetažni,4-sobni,2,2,,https://www.njuskalo.hr/nekretnine/luksuzni-4-sobni-101m2-drugi-kat-solar-dizalice-topline-parking-oglas-40821008
19,105.000 €,57,45.545762644564036,18.724066209207933,Osječko-baranjska,Osijek,Jug II,U stambenoj zgradi,Jednoetažni,2-sobni,1,,4.,https://www.njuskalo.hr/nekretnine/dvosoban-stan-57m2-jug-ii-kastelanska-ulica-oglas-42282910
20,187.910 €,98,45.560970594966,18.642572556707,Osječko-baranjska,Osijek,Retfala,U stambenoj zgradi,Jednoetažni,4-sobni,2,2,2.,https://www.njuskalo.hr/nekretnine/cetverosobni-stanovi-95.42m2-parkingom-mirna-zona-retfala-oglas-33299206
21,200.000 €,100,45.56334281807353,18.67159724235535,Osječko-baranjska,Osijek,Gornji grad / Centar,U stambenoj zgradi,Jednoetažni,4-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stambeno-poslovni-prostor-stan-100m2-strogom-centru-osijeka-oglas-40613465
22,84.000 €,68,45.65791,18.420017,Osječko-baranjska,Valpovo,Valpovo,U stambenoj zgradi,Jednoetažni,3-sobni,,,,https://www.njuskalo.hr/nekretnine/prodaja-stana-oglas-40547328
23,93.000 €,42,45.560103252491,18.645830470298,Osječko-baranjska,Osijek,Retfala,U stambenoj zgradi,Jednoetažni,2-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/prodaja-stan-osijek-vij-dinare-42.45-m2-oglas-41723762
24,264.900 €,135,,,Osječko-baranjska,Osijek,Gornji grad / Centar,U stambenoj zgradi,Jednoetažni,5+ sobni,2,2,4.,https://www.njuskalo.hr/nekretnine/peterosoban-stan-centar-osijeka-a-hebranga-2-gpm-135-m2-4-kat-oglas-40950308
25,214.990 €,124,45.55726085285718,18.720407011425124,Osječko-baranjska,Osijek,Donji grad,U stambenoj zgradi,Jednoetažni,5+ sobni,2,2,1.,https://www.njuskalo.hr/nekretnine/donji-grad-centar-noviji-peterosoban-124m2-gradsko-grijanje-1-kat-oglas-41401244
