linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
183,17280.0,62.0,45.63353851327547,18.695335190766983,Osječko-baranjska,Darda,Švajcarnica,1,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/stan-svajcarnica-62.00-m2-oglas-42269077
501,30000.0,105.0,45.57035469772777,18.60721020986605,Osječko-baranjska,Osijek - Okolica,Višnjevac,1,1,3,1,1,0,https://www.njuskalo.hr/nekretnine/3-sobni-stan-visnjevac-105.00-m2-oglas-40944327
204,32000.0,24.0,45.54818643140294,18.67994477408425,Osječko-baranjska,Osijek,Bosutsko naselje,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-osijek-27.00-m2-oglas-41757679
239,38000.0,44.0,45.544988553662,18.700333825405,Osječko-baranjska,Osijek,Jug I,1,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/stan-osijek-44.14-m2-oglas-38004220
359,38500.0,62.0,45.6215598044865,18.632865787365,Osječko-baranjska,Darda,Darda,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/dvosobni-stanovi-darda-oglas-41561966
327,39999.0,44.0,45.66361560978165,18.42190588661601,Osječko-baranjska,Valpovo,Valpovo,0,1,1,1,1,3,https://www.njuskalo.hr/nekretnine/stan-potkrovlju-valpovo-oglas-40550062
305,39999.0,38.0,45.55911476488631,18.671850612824407,Osječko-baranjska,Osijek,Gornji grad / Centar,1,1,1,1,1,0,https://www.njuskalo.hr/nekretnine/jednosoban-stan-kuci-osijek-centar-oglas-40582543
182,40000.0,65.0,45.55221724865345,18.707966901923616,Osječko-baranjska,Osijek,Novi Grad,1,1,3,1,1,0,https://www.njuskalo.hr/nekretnine/dvorisni-stan-prizemlju-garaza-centar-osijek-65-m-oglas-39712819
432,44000.0,51.0,45.621008800291,18.633720969836,Osječko-baranjska,Darda,Darda,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/stan-prodaju-51-m-prizemlje-dvosoban-darda-centar-oglas-40596428
358,44900.0,72.0,45.6215598044865,18.632865787365,Osječko-baranjska,Darda,Darda,0,1,3,1,1,1,https://www.njuskalo.hr/nekretnine/trosobni-stanovi-darda-oglas-41561967
343,45000.0,27.0,45.56815,18.67245,Osječko-baranjska,Osijek,Gornji grad / Centar,0,1,1,1,1,0,https://www.njuskalo.hr/nekretnine/dvorisni-stan-27m2-190m2-dvoriste-centar-dubrovacka-32-oglas-40430977
315,46000.0,62.0,45.680891839122,18.404285882508,Osječko-baranjska,Belišće,Belišće,0,1,2,1,1,4,https://www.njuskalo.hr/nekretnine/stan-centru-belisca-62-m2-oglas-38505690
457,48000.0,42.0,45.746590986557,18.607208310995,Osječko-baranjska,Beli Manastir,Beli Manastir,0,1,1,1,1,2,https://www.njuskalo.hr/nekretnine/stan-prodaja-beli-manastir-42m2-oglas-41729304
162,50000.0,21.0,45.560889122881,18.669364822327,Osječko-baranjska,Osijek,Gornji grad / Centar,0,1,0,1,1,0,https://www.njuskalo.hr/nekretnine/prodaja-stan-osijek-gunduliceva-21.49-m2-oglas-42277877
436,50000.0,22.0,45.561417,18.676453,Osječko-baranjska,Osijek,Gornji grad / Centar,0,1,0,1,1,0,https://www.njuskalo.hr/nekretnine/prodaja-stana-oglas-41760992
504,50000.0,50.0,45.55684025898991,18.672052398625254,Osječko-baranjska,Osijek,Gornji grad / Centar,1,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/stan-osijek-50.00-m2-oglas-40638710
383,50000.0,24.0,45.54719493921381,18.71855762637509,Osječko-baranjska,Osijek,Jug II,0,1,1,1,1,4,https://www.njuskalo.hr/nekretnine/garsonjera-24.45-m2-jug-ii-osijek-oglas-42025862
517,52000.0,50.0,45.542,18.050684,Osječko-baranjska,Đurđenovac,Đurđenovac,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/prodajem-stan-durdenovcu-oglas-39927676
483,52000.0,34.0,45.54997609066727,18.68893078583445,Osječko-baranjska,Osijek,Bosutsko naselje,0,1,1,1,1,0,https://www.njuskalo.hr/nekretnine/jednosobni-stan-bosutsko-naselje-oglas-40620453
206,52000.0,36.0,45.746590986557,18.607208310995,Osječko-baranjska,Beli Manastir,Beli Manastir,0,1,2,1,1,3,https://www.njuskalo.hr/nekretnine/prekrasan-stan-belom-manastiru-oglas-40604219
112,54000.0,22.0,45.54788328768663,18.68692593048632,Osječko-baranjska,Osijek,Bosutsko naselje,0,1,0,1,1,2,https://www.njuskalo.hr/nekretnine/stan-osijek-22.00-m2-oglas-41292910
185,55000.0,26.0,45.55911476488631,18.671850612824407,Osječko-baranjska,Osijek,Gornji grad / Centar,0,1,1,1,1,0,https://www.njuskalo.hr/nekretnine/garsonjera-strogom-centru-grada-osijek-oglas-41631910
418,55000.0,22.0,45.559684573288,18.668006415594,Osječko-baranjska,Osijek,Gornji grad / Centar,0,1,0,1,1,0,https://www.njuskalo.hr/nekretnine/prodaja-stan-osijek-radica-26.07-m2-oglas-41321095
131,55000.0,45.0,45.55533,18.67084,Osječko-baranjska,Osijek,Gornji grad / Centar,0,1,1,1,1,1,https://www.njuskalo.hr/nekretnine/stan-osijeku-1sobni-37m2-centar-zgradi-oglas-40763417
281,55200.0,109.0,45.6544946496546,18.432609600642035,Osječko-baranjska,Valpovo,Valpovo,1,1,3,1,1,2,https://www.njuskalo.hr/nekretnine/stan-valpovo-109.66-m2-oglas-40571314
145,55500.0,30.0,45.561026102009,18.645786080768,Osječko-baranjska,Osijek,Retfala,0,1,0,1,1,0,https://www.njuskalo.hr/nekretnine/osijek-retfala-stan-30m2-oglas-42153878
