linenum,url
1,https://www.njuskalo.hr/nekretnine/stan-gradiska-57-m2-oglas-9857630
2,https://www.njuskalo.hr/nekretnine/stan-pozega-92.00-m2-mirnom-kvartu-oglas-41173661
3,https://www.njuskalo.hr/nekretnine/stan-pozega-centar-4-sobni-oglas-39549508
4,https://www.njuskalo.hr/nekretnine/stan-marino-selo-76.00-m2-p-r-l-k-a-oglas-38906335
5,https://www.njuskalo.hr/nekretnine/stan-kutjevo-89.00-m2-oglas-32222609
6,https://www.njuskalo.hr/nekretnine/stan-pozega-65.67-m2-oglas-32229795
7,https://www.njuskalo.hr/nekretnine/stan-pozega-antuna-gustava-matosa-30-p-58.69-m2-oglas-39442557
8,https://www.njuskalo.hr/nekretnine/stan-pozega-antuna-gustava-matosa-30-p-58.69-m2-oglas-40503692
9,https://www.njuskalo.hr/nekretnine/stan-pozega-90.00-m2-oglas-34359583
10,https://www.njuskalo.hr/nekretnine/stan-pozega-63.00-m2-domobranska-10-oglas-41910735
11,https://www.njuskalo.hr/nekretnine/stan-lipik-71.02-m2-oglas-40373425
