linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
1,173.000 €,60,45.381033424958,14.325144527997,Primorsko-goranska,Matulji,Jušići,U stambenoj zgradi,Jednoetažni,3-sobni,,,1.,https://www.njuskalo.hr/nekretnine/jusici-novogradnja-2sb-db-oglas-39401407
2,297.000 €,90,,,Primorsko-goranska,Rijeka,Belveder,U stambenoj zgradi,Jednoetažni,4-sobni,4,,1.,https://www.njuskalo.hr/nekretnine/centar-belveder-stan-cetiri-stambene-jedinice-oglas-39401410
3,190.000 €,76,45.38143792755,14.322205026226,Primorsko-goranska,Matulji,Jušići,U stambenoj zgradi,Jednoetažni,3-sobni,,,Prizemlje,https://www.njuskalo.hr/nekretnine/jusici-novogradnja-2sb-db-oglas-39401403
4,145.500 €,65,,,Primorsko-goranska,Rijeka,Mlaka,U stambenoj zgradi,Jednoetažni,3-sobni,,,5.,https://www.njuskalo.hr/nekretnine/siri-centar-grada-stan-investiciju-oglas-40331314
5,270.000 €,79,45.313792125223,14.285887921317,Primorsko-goranska,Opatija - Okolica,Ičići,U stambenoj zgradi,Jednoetažni,3-sobni,2,,1.,https://www.njuskalo.hr/nekretnine/icici-stan-novogradnji-oglas-39255678
6,350.000 €,108,45.349023191903,14.320829626709,Primorsko-goranska,Opatija,Volosko,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,Prizemlje,https://www.njuskalo.hr/nekretnine/volosko-stan-investiciju-108m2-oglas-39401392
7,223.000 €,82,45.386582480581,14.410695315971,Primorsko-goranska,Viškovo,Saršoni,U stambenoj zgradi,Jednoetažni,3-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/sarsoni-stan-s4-1-katu-novogradnji-oglas-39800605
8,400.000 €,100,45.315450899396,14.286780399167,Primorsko-goranska,Opatija - Okolica,Ičići,U stambenoj zgradi,Jednoetažni,3-sobni,2,,Prizemlje,https://www.njuskalo.hr/nekretnine/icici-stan-novogradnji-oglas-39255680
9,480.000 €,92,45.316039687252,14.466968544679,Primorsko-goranska,Rijeka,Pećine,U stambenoj zgradi,Jednoetažni,4-sobni,,,Prizemlje,https://www.njuskalo.hr/nekretnine/pecine-prvi-red-mora-oglas-39970972
10,173.000 €,60,45.381859549134,14.323630324157,Primorsko-goranska,Matulji,Jušići,U stambenoj zgradi,Jednoetažni,3-sobni,,,2.,https://www.njuskalo.hr/nekretnine/jusici-novogradnja-2sb-db-oglas-39401404
11,173.000 €,60,45.38113237047,14.326436218264,Primorsko-goranska,Matulji,Jušići,U stambenoj zgradi,Jednoetažni,3-sobni,,,1.,https://www.njuskalo.hr/nekretnine/jusici-novogradnja-2sb-db-oglas-39401406
12,190.000 €,76,45.379964288353,14.324409471578,Primorsko-goranska,Matulji,Jušići,U stambenoj zgradi,Jednoetažni,3-sobni,,,Prizemlje,https://www.njuskalo.hr/nekretnine/jusici-novogradnja-2sb-db-oglas-39401402
13,380.000 €,100,45.29951372528,14.502083747703,Primorsko-goranska,Kostrena,Doričići,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/kostrena-doricici-stan-prodaju-oglas-39134677
