linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
1459,10000.0,74.0,45.374235217421,14.377261920505,Primorsko-goranska,Viškovo,Viškovo,0,1,4,1,1,0,https://www.njuskalo.hr/nekretnine/viskovo-74.70m2-novogradnja-3s-db-balkon-oglas-41471029
8882,10000.0,153.0,45.330257444237766,14.457599945469937,Primorsko-goranska,Rijeka,Trsat,0,1,3,2,3,3,https://www.njuskalo.hr/nekretnine/trsat-moderna-luksuzna-novogradnja-3-db-penthouse-oglas-40234983
1464,10000.0,74.0,45.375909875685,14.379584470759,Primorsko-goranska,Viškovo,Viškovo,0,1,4,1,1,2,https://www.njuskalo.hr/nekretnine/viskovo-74.70m2-novogradnja-3s-db-balkon-oglas-41471023
1463,10000.0,74.0,45.378173382514,14.378437472384,Primorsko-goranska,Viškovo,Viškovo,0,1,4,1,1,2,https://www.njuskalo.hr/nekretnine/viskovo-74.70m2-novogradnja-3s-db-balkon-oglas-41471025
1462,10000.0,74.0,45.37693606005,14.378285941618,Primorsko-goranska,Viškovo,Viškovo,0,1,4,1,1,1,https://www.njuskalo.hr/nekretnine/viskovo-74.70m2-novogradnja-3s-db-balkon-oglas-41471026
1461,10000.0,74.0,45.377580828127,14.378091560911,Primorsko-goranska,Viškovo,Viškovo,0,1,4,1,1,1,https://www.njuskalo.hr/nekretnine/viskovo-74.70m2-novogradnja-3s-db-balkon-oglas-41471027
1460,10000.0,74.0,45.375896095036,14.378768779343,Primorsko-goranska,Viškovo,Viškovo,0,1,4,1,1,0,https://www.njuskalo.hr/nekretnine/viskovo-74.70m2-novogradnja-3s-db-balkon-oglas-41471028
416,10000.0,169.0,45.29294011891292,14.272701460388783,Primorsko-goranska,Lovran,Lovran,0,1,3,2,3,2,https://www.njuskalo.hr/nekretnine/lovran-penthouse-krovnom-terasom-oglas-36806525
3176,10000.0,123.0,45.29316203552133,14.511262165299646,Primorsko-goranska,Kostrena,Kostrena,0,1,4,2,1,1,https://www.njuskalo.hr/nekretnine/kostrena-vrhunska-novogradnja-3s-db-oglas-41594652
3614,10000.0,125.0,45.29316203552133,14.511262165299646,Primorsko-goranska,Kostrena,Kostrena,0,1,4,1,1,2,https://www.njuskalo.hr/nekretnine/kostrena-vrhunska-novogradnja-3s-db-okucnica-oglas-41578694
4794,10000.0,171.0,45.29294011891292,14.272701460388783,Primorsko-goranska,Lovran,Lovran,0,1,3,2,3,2,https://www.njuskalo.hr/nekretnine/lovran-penthouse-krovnom-terasom-171-m2-oglas-36806524
4012,10000.0,142.0,45.34552296630459,14.315442994090347,Primorsko-goranska,Opatija,Volosko,0,1,5,2,3,3,https://www.njuskalo.hr/nekretnine/opatija-peterosoban-stan-137.30-m2-luksuzna-novogradnja-oglas-35248517
4013,10000.0,79.0,45.34552296630459,14.315442994090347,Primorsko-goranska,Opatija,Volosko,0,1,3,1,1,0,https://www.njuskalo.hr/nekretnine/opatija-trosoban-stan-78.05-m2-luksuzna-novogradnja-oglas-35177288
4014,10000.0,57.0,45.34552296630459,14.315442994090347,Primorsko-goranska,Opatija,Volosko,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/opatija-dvosoban-stan-52.80-m2-luksuzna-novogradnja-oglas-35177287
4015,10000.0,50.0,45.34552296630459,14.315442994090347,Primorsko-goranska,Opatija,Volosko,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/opatija-dvosoban-stan-45.73-m2-luksuzna-novogradnja-oglas-35177286
