linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
1,306.000 €,102,43.745865536918,15.82341839521,Šibensko-kninska,Vodice,Srima,U stambenoj zgradi,Jednoetažni,3-sobni,2,,1.,https://www.njuskalo.hr/nekretnine/srima-novogradnja-luksuzni-2s-db-stan-oglas-41986148
2,442.470 €,147,43.744446209216,15.825724746204,Šibensko-kninska,Vodice,Srima,U stambenoj zgradi,Jednoetažni,4-sobni,2,,2.,https://www.njuskalo.hr/nekretnine/srima-novogradnja-luksuzni-penthouse-3s-db-oglas-41986143
3,265.000 €,99,,,Šibensko-kninska,Šibenik - Okolica,Podsolarsko,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,Prizemlje,https://www.njuskalo.hr/nekretnine/podsolarsko-predivan-stan-elitnom-naselju-oglas-41078230
4,165.000 €,62,,,Šibensko-kninska,Šibenik - Okolica,Podsolarsko,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/podsolarsko-odlican-1s-db-stan-vrtom-izvrsnoj-lokacniji-oglas-39216524
5,150.000 €,53,,,Šibensko-kninska,Šibenik - Okolica,Podsolarsko,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/podsolarsko-predivan-stan-okucnicom-oglas-37637102
6,393.030 €,131,43.746379314493,15.826387220165,Šibensko-kninska,Vodice,Srima,U stambenoj zgradi,Jednoetažni,4-sobni,3,,Prizemlje,https://www.njuskalo.hr/nekretnine/srima-novogradnja-luksuzni-3s-db-stan-oglas-41986146
7,370.000 €,139,43.686092316646,15.921338118269,Šibensko-kninska,Šibenik - Okolica,Brodarica,U kući,Jednoetažni,4-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/brodarica-novogradnja-odlican-3s-db-stan-oglas-40896931
8,420.000 €,141,43.685390347987,15.924030640275,Šibensko-kninska,Šibenik - Okolica,Brodarica,U kući,Jednoetažni,4-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/brodarica-novogradnja-odlican-3s-db-stan-bazenom-oglas-40896929
9,235.000 €,97,,,Šibensko-kninska,Šibenik - Okolica,Podsolarsko,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/podsolarsko-predivan-stan-okucnicom-oglas-37637103
10,155.000 €,56,43.760079416447695,15.779303276453248,Šibensko-kninska,Vodice,Vodice,U stambenoj zgradi,Jednoetažni,3-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/vodice-dvosoban-stan-1-kat-parking-miran-kvart-oglas-42328089
11,259.000 €,61,43.824066423753,15.591013072161,Šibensko-kninska,Murter,Murter,U kući,Dvoetažni,3-sobni,1,,,https://www.njuskalo.hr/nekretnine/dvoetazni-stan-novogradnja-murter-oglas-40811231
12,220.800 €,98,43.75986906827715,15.779771642792412,Šibensko-kninska,Vodice,Vodice,U stambenoj zgradi,Jednoetažni,4-sobni,2,,2.,https://www.njuskalo.hr/nekretnine/vodice-tri-spavace-sobe-pogled-more-2-kat-terasa-oglas-42327568
13,299.432 €,111,43.7611122,15.7787599,Šibensko-kninska,Vodice,Vodice,U stambenoj zgradi,Jednoetažni,3-sobni,2,,Prizemlje,https://www.njuskalo.hr/nekretnine/vodice-stan-prizemlju-blizini-centra-s2-oglas-37790280
14,273.146 €,101,43.763083822048,15.777100017672,Šibensko-kninska,Vodice,Vodice,U stambenoj zgradi,Jednoetažni,3-sobni,2,,,https://www.njuskalo.hr/nekretnine/vodice-stan-prvom-katu-blizini-centra-s4-oglas-37790278
15,220.000 €,95,,,Šibensko-kninska,Vodice,Vodice,U kući,Jednoetažni,2-sobni,,,Potkrovlje,https://www.njuskalo.hr/nekretnine/prodaja-stan-vodice-95-m2-blizina-plave-plaze-oglas-41646132
16,175.000 €,81,43.764016456449,15.776838530025,Šibensko-kninska,Vodice,Vodice,U stambenoj zgradi,Jednoetažni,3-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/vodice-db-2-spavace-sobe-pogledom-prodaja-oglas-41478661
17,185.000 €,84,43.764016456449,15.776838530025,Šibensko-kninska,Vodice,Vodice,U stambenoj zgradi,Jednoetažni,3-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/vodice-db-2-spavace-sobe-pogledom-prodaja-oglas-41478660
18,185.000 €,84,43.764016456449,15.776838530025,Šibensko-kninska,Vodice,Vodice,U stambenoj zgradi,Jednoetažni,3-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/vodice-db-2-spavace-sobe-pogledom-prodaja-oglas-41478659
