linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
2147,50000.0,48.0,44.042496,16.199583,Šibensko-kninska,Knin,Knin,0,1,2,1,1,5,https://www.njuskalo.hr/nekretnine/stan-kninu-oglas-29248287
736,54000.0,17.0,43.734074267901995,15.895611143259385,Šibensko-kninska,Šibenik,Grad,1,1,1,1,1,0,https://www.njuskalo.hr/nekretnine/studio-apartman-nedaleko-centra-grada-sibenik-17-m2-oglas-41616184
597,55000.0,83.0,43.819913438826,15.922096967697,Šibensko-kninska,Skradin,Skradin,1,1,3,1,1,2,https://www.njuskalo.hr/nekretnine/stan-skradin-83.13-m2-terasa-28.51-m2-oglas-33378438
1713,60000.0,70.0,43.86124900473082,16.153162558088315,Šibensko-kninska,Drniš,Drniš,0,1,3,1,1,0,https://www.njuskalo.hr/nekretnine/stan-drnis-70.00-m2-oglas-40473958
1944,65000.0,55.0,43.67204457781435,16.10452888923577,Šibensko-kninska,Šibenik - Okolica,Perković,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-perkovic-55.00-m2-oglas-41408355
363,70000.0,88.0,44.041118215801,16.207770128901,Šibensko-kninska,Knin,Kovačić,1,3,3,1,1,1,https://www.njuskalo.hr/nekretnine/stan-kovacic-88.19-m2-potkrovlje-134m2-oglas-42138415
598,75000.0,96.0,43.819913438826,15.922096967697,Šibensko-kninska,Skradin,Skradin,1,1,3,1,1,1,https://www.njuskalo.hr/nekretnine/stan-skradin-96.41-m2-oglas-33378414
1584,75000.0,42.0,43.78706368694954,15.897498857377618,Šibensko-kninska,Šibenik - Okolica,Bilice,1,1,0,1,1,0,https://www.njuskalo.hr/nekretnine/neuredeno-potkrovlje-kuci-sibenik-predgrade-110-m2-oglas-41738429
1307,75000.0,50.0,44.04428149651852,16.199512332918488,Šibensko-kninska,Knin,Knin,0,1,2,1,1,4,https://www.njuskalo.hr/nekretnine/jednosobni-stan-centar-knina-50-m2-oglas-40339233
1985,75000.0,49.0,44.04030321288788,16.198000228698874,Šibensko-kninska,Knin,Knin,0,1,1,1,1,4,https://www.njuskalo.hr/nekretnine/stan-49.50m2-kninu-oglas-41127638
