linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
1,77.000 €,94,,,Sisačko-moslavačka,Kutina,Kutina,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-kutina-94.00-m2-3-soban-terasa-garaza-vrt-prodaja-oglas-40445259
2,150.000 €,94,45.293448644436,15.978699211904,Sisačko-moslavačka,Topusko,Topusko,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/topusko-trosobni-stan-centru-94.4-m2-oglas-41631580
3,157.587 €,79,45.465157688074,16.756452445685,Sisačko-moslavačka,Kutina,Kutina,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/stan-kutina-novogradnja-79-m2-vpr-3.5-sprem-vpm-oglas-40473256
4,159.425 €,79,45.465004142612,16.757728240102,Sisačko-moslavačka,Kutina,Kutina,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/stan-kutina-novogradnja-79-m2-1-kat-3.5-sprem-vpm-oglas-40473255
5,65.000 €,60,45.445472173724,16.3818023825,Sisačko-moslavačka,Sisak,Caprag/Željezara,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,3.,https://www.njuskalo.hr/nekretnine/stan-oglas-40945359
6,11.146,36,45.49408910461,16.374019966795,Sisačko-moslavačka,Sisak,Zeleni brijeg,U stambenoj zgradi,Jednoetažni,1-sobni,,,,https://www.njuskalo.hr/nekretnine/stan-sisak-36.90-m2-drazba-oglas-42147191
7,84.999 €,65,45.43949,16.274515,Sisačko-moslavačka,Petrinja,Petrinja,U stambenoj zgradi,Jednoetažni,2-sobni,,,3.,https://www.njuskalo.hr/nekretnine/stan-petrinja-65.00-m2-oglas-41308495
8,85.000 €,60,,,Sisačko-moslavačka,Sisak,Brzaj,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,5.,https://www.njuskalo.hr/nekretnine/stan-sisku-60.05-m2-brzaj-oglas-41638892
9,74.000 €,80,45.473245646823,16.761649847031,Sisačko-moslavačka,Kutina,Kutina,U stambenoj zgradi,Dvoetažni,3-sobni,1,,Potkrovlje,https://www.njuskalo.hr/nekretnine/stan-kutina-prvi-kat-oglas-40292257
10,87.000 €,67,45.48257745741113,16.36559217891045,Sisačko-moslavačka,Sisak,Zibel,U stambenoj zgradi,Dvoetažni,3-sobni,1,,3.,https://www.njuskalo.hr/nekretnine/stan-sisak-67.00-m2-oglas-41997385
11,150.000 €,75,45.564367123491,16.622972109515,Sisačko-moslavačka,Popovača,Popovača,U stambenoj zgradi,Jednoetažni,2-sobni,2,2,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-popovaca-7520.00-m2-novogradnja-oglas-41988410
12,50.000 €,49,45.474716392281,16.371781519943,Sisačko-moslavačka,Sisak,Viktorovac,U stambenoj zgradi,Jednoetažni,2-sobni,,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-sisak-49.00-m2-oglas-41105344
13,93.500 €,58,45.45706674569668,16.384107410443587,Sisačko-moslavačka,Sisak,Caprag/Željezara,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/stan-sisak-58.00-m2-oglas-41815596
14,85.000 €,51,,,Sisačko-moslavačka,Sisak,Brzaj,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/predivan-stan-sisku-51.4-m2-99.500-oglas-40889146
15,98.000 €,70,45.45329881378305,16.377181305224013,Sisačko-moslavačka,Sisak,Caprag/Željezara,U stambenoj zgradi,Jednoetažni,3-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/3-sobni-stan-sisak-capragu-zeljezara-oglas-41735467
16,60.000 €,46,45.50098191278226,16.364425401124294,Sisačko-moslavačka,Sisak,Zeleni brijeg,U stambenoj zgradi,Jednoetažni,2-sobni,1,,3.,https://www.njuskalo.hr/nekretnine/stan-sisak-46.00-m2-oglas-41722528
17,79.000 €,57,45.45499464675041,16.38057595243441,Sisačko-moslavačka,Sisak,Caprag/Željezara,U stambenoj zgradi,Jednoetažni,3-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/stan-sisak-57.00-m2-oglas-41670381
18,90.000 €,69,45.49122099346,16.379360541356,Sisačko-moslavačka,Sisak,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,4.,https://www.njuskalo.hr/nekretnine/stan-sisak-oglas-41137136
19,105.000 €,78,,,Sisačko-moslavačka,Sisak,Zibel,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/prodaje-se-dvosobni-stan-sisku-odlicnoj-lokaciji-oglas-41624274
20,80.600 €,62,45.483681410173,16.384219716002,Sisačko-moslavačka,Sisak,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,,,3.,https://www.njuskalo.hr/nekretnine/prodajem-stan-62-m2-sisak-trg-mestrovica-22-tel-0955885718-oglas-41505842
21,52.500 €,35,45.47285886248192,16.36902368187752,Sisačko-moslavačka,Sisak,Viktorovac,U stambenoj zgradi,Jednoetažni,1-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-sisak-35.00-m2-oglas-41574719
22,162.049 €,80,45.46518203047,16.757815857256,Sisačko-moslavačka,Kutina,Kutina,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/stan-kutina-novogradnja-80.30-m2-vpr-3.5-sprem-vpm-oglas-40473257
23,179.812 €,81,45.464653008504,16.758624786946,Sisačko-moslavačka,Kutina,Kutina,U stambenoj zgradi,Jednoetažni,3-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-kutina-novogradnja-81.70-m2-dvoetazni-2.5-sprem-vpm-oglas-40473254
24,52.000 €,48,,,Sisačko-moslavačka,Sisak,Centar,U stambenoj zgradi,Jednoetažni,1-sobni,1,1,4.,https://www.njuskalo.hr/nekretnine/dvosoban-stan-sisak-centar-48-m2-4-kat-oglas-41281571
25,106.000 €,62,45.337968223204,16.977187730983,Sisačko-moslavačka,Novska,Brestača,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-novska-62.09-m2-oglas-41130212
26,70.000 €,105,45.48234836236001,16.36782646179199,Sisačko-moslavačka,Sisak,Pogorelac,U stambenoj zgradi,Dvoetažni,4-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/prodajem-stan-105m2-crvena-naljepnica-rusenje-oglas-39458261
27,64.000 €,80,45.48332434040886,16.377259758523184,Sisačko-moslavačka,Sisak,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,3.,https://www.njuskalo.hr/nekretnine/stan-sisak-80.00-m2-oglas-41061909
28,19.000 €,32,45.48631250586961,16.377290012651912,Sisačko-moslavačka,Sisak,Centar,U kući,Jednoetažni,1-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-sisak-32.00-m2-oglas-40884696
29,73.000 €,49,45.45503,16.37988,Sisačko-moslavačka,Sisak,Caprag/Željezara,U stambenoj zgradi,Jednoetažni,2-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/stan-zeljezara-49-m2-oglas-40641109
30,72.000 €,63,45.486129904141,16.373388452887,Sisačko-moslavačka,Sisak,Zibel,U stambenoj zgradi,Jednoetažni,3-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/trosobni-stan-prizemlju-63m2-oglas-40433314
31,140.000 €,80,45.46523614499999,16.75673382,Sisačko-moslavačka,Kutina,Kutina,U stambenoj zgradi,Jednoetažni,3-sobni,2,1,1.,https://www.njuskalo.hr/nekretnine/stan-kutina-80.00-m2-novogradnja-oglas-40377871
32,28.000 €,44,45.437640666457,16.265473365784,Sisačko-moslavačka,Petrinja,Petrinja,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-petrinja-44.00-m2-oglas-40246658
33,70.600 €,54,45.48704389522912,16.37998623090114,Sisačko-moslavačka,Sisak,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,,4.,https://www.njuskalo.hr/nekretnine/stan-sisak-54.00-m2-oglas-39607871
34,80.000 €,74,45.48596159092602,16.376919844422464,Sisačko-moslavačka,Sisak,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,4.,https://www.njuskalo.hr/nekretnine/stan-sisak-74.00-m2-oglas-39463138
35,60.000 €,58,45.424408523194955,16.30700707052277,Sisačko-moslavačka,Petrinja,Petrinja,U stambenoj zgradi,Jednoetažni,2-sobni,1,,3.,https://www.njuskalo.hr/nekretnine/stan-petrinja-58.00-m2-oglas-38629296
36,47.500 €,51,45.4546568,16.390371,Sisačko-moslavačka,Sisak,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-prodaja-centar-51.5m2-oglas-34830008
37,100.000 €,167,45.489779670819104,16.375212586398508,Sisačko-moslavačka,Sisak,Centar,U stambenoj zgradi,Jednoetažni,5+ sobni,,,2.,https://www.njuskalo.hr/nekretnine/stan-sisak-167.90-m2-oglas-26492151
38,165.000 €,154,45.48314298727239,16.377513785286087,Sisačko-moslavačka,Sisak,Centar,U stambenoj zgradi,Jednoetažni,4-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-sisak-154.00-m2-oglas-30299995
39,40.500 €,80,,,Sisačko-moslavačka,Sisak,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,,,1.,https://www.njuskalo.hr/nekretnine/stan-sisak-80.58-m2-oglas-27516883
40,18.336 €,61,,,Sisačko-moslavačka,Sisak,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,,,1.,https://www.njuskalo.hr/nekretnine/stan-sisak-61.12-m2-oglas-27517179
