linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
6,11146.0,36,45.49408910461,16.374019966795,Sisačko-moslavačka,Sisak,Zeleni brijeg,0,1,1,1,1,2,https://www.njuskalo.hr/nekretnine/stan-sisak-36.90-m2-drazba-oglas-42147191
40,18336.0,61,45.48279157712867,16.379792608393476,Sisačko-moslavačka,Sisak,Centar,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-sisak-61.12-m2-oglas-27517179
28,19000.0,32,45.48631250586961,16.377290012651912,Sisačko-moslavačka,Sisak,Centar,1,1,1,1,1,1,https://www.njuskalo.hr/nekretnine/stan-sisak-32.00-m2-oglas-40884696
32,28000.0,44,45.437640666457,16.265473365784,Sisačko-moslavačka,Petrinja,Petrinja,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/stan-petrinja-44.00-m2-oglas-40246658
39,40500.0,80,45.48279157712867,16.379792608393476,Sisačko-moslavačka,Sisak,Centar,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-sisak-80.58-m2-oglas-27516883
36,47500.0,51,45.4546568,16.390371,Sisačko-moslavačka,Sisak,Centar,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-prodaja-centar-51.5m2-oglas-34830008
12,50000.0,49,45.474716392281,16.371781519943,Sisačko-moslavačka,Sisak,Viktorovac,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/stan-sisak-49.00-m2-oglas-41105344
24,52000.0,48,45.48279157712867,16.379792608393476,Sisačko-moslavačka,Sisak,Centar,0,1,1,1,1,4,https://www.njuskalo.hr/nekretnine/dvosoban-stan-sisak-centar-48-m2-4-kat-oglas-41281571
21,52500.0,35,45.47285886248192,16.36902368187752,Sisačko-moslavačka,Sisak,Viktorovac,0,1,1,1,1,1,https://www.njuskalo.hr/nekretnine/stan-sisak-35.00-m2-oglas-41574719
35,60000.0,58,45.42440852319496,16.30700707052277,Sisačko-moslavačka,Petrinja,Petrinja,0,1,2,1,1,3,https://www.njuskalo.hr/nekretnine/stan-petrinja-58.00-m2-oglas-38629296
16,60000.0,46,45.50098191278226,16.364425401124294,Sisačko-moslavačka,Sisak,Zeleni brijeg,0,1,2,1,1,3,https://www.njuskalo.hr/nekretnine/stan-sisak-46.00-m2-oglas-41722528
27,64000.0,80,45.48332434040886,16.377259758523184,Sisačko-moslavačka,Sisak,Centar,0,1,3,1,1,3,https://www.njuskalo.hr/nekretnine/stan-sisak-80.00-m2-oglas-41061909
5,65000.0,60,45.445472173724,16.3818023825,Sisačko-moslavačka,Sisak,Caprag/Željezara,0,1,3,1,1,3,https://www.njuskalo.hr/nekretnine/stan-oglas-40945359
26,70000.0,105,45.48234836236001,16.36782646179199,Sisačko-moslavačka,Sisak,Pogorelac,0,2,4,1,1,2,https://www.njuskalo.hr/nekretnine/prodajem-stan-105m2-crvena-naljepnica-rusenje-oglas-39458261
33,70600.0,54,45.48704389522912,16.37998623090114,Sisačko-moslavačka,Sisak,Centar,0,1,2,1,1,4,https://www.njuskalo.hr/nekretnine/stan-sisak-54.00-m2-oglas-39607871
30,72000.0,63,45.486129904141,16.373388452887,Sisačko-moslavačka,Sisak,Zibel,0,1,3,1,1,0,https://www.njuskalo.hr/nekretnine/trosobni-stan-prizemlju-63m2-oglas-40433314
29,73000.0,49,45.45503,16.37988,Sisačko-moslavačka,Sisak,Caprag/Željezara,0,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/stan-zeljezara-49-m2-oglas-40641109
9,74000.0,80,45.473245646823,16.761649847031,Sisačko-moslavačka,Kutina,Kutina,0,2,3,1,1,3,https://www.njuskalo.hr/nekretnine/stan-kutina-prvi-kat-oglas-40292257
1,77000.0,94,45.46641311024717,16.758167499503333,Sisačko-moslavačka,Kutina,Kutina,0,1,3,1,1,0,https://www.njuskalo.hr/nekretnine/stan-kutina-94.00-m2-3-soban-terasa-garaza-vrt-prodaja-oglas-40445259
17,79000.0,57,45.45499464675041,16.38057595243441,Sisačko-moslavačka,Sisak,Caprag/Željezara,0,1,3,1,1,2,https://www.njuskalo.hr/nekretnine/stan-sisak-57.00-m2-oglas-41670381
34,80000.0,74,45.48596159092602,16.376919844422464,Sisačko-moslavačka,Sisak,Centar,0,1,3,1,1,4,https://www.njuskalo.hr/nekretnine/stan-sisak-74.00-m2-oglas-39463138
20,80600.0,62,45.483681410173,16.384219716002,Sisačko-moslavačka,Sisak,Centar,0,1,2,1,1,3,https://www.njuskalo.hr/nekretnine/prodajem-stan-62-m2-sisak-trg-mestrovica-22-tel-0955885718-oglas-41505842
7,84999.0,65,45.43949,16.274515,Sisačko-moslavačka,Petrinja,Petrinja,0,1,2,1,1,3,https://www.njuskalo.hr/nekretnine/stan-petrinja-65.00-m2-oglas-41308495
10,87000.0,67,45.48257745741113,16.36559217891045,Sisačko-moslavačka,Sisak,Zibel,0,2,3,1,1,3,https://www.njuskalo.hr/nekretnine/stan-sisak-67.00-m2-oglas-41997385
18,90000.0,69,45.49122099346,16.379360541356,Sisačko-moslavačka,Sisak,Centar,0,1,3,1,1,4,https://www.njuskalo.hr/nekretnine/stan-sisak-oglas-41137136
13,93500.0,58,45.45706674569668,16.384107410443587,Sisačko-moslavačka,Sisak,Caprag/Željezara,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-sisak-58.00-m2-oglas-41815596
15,98000.0,70,45.45329881378305,16.377181305224013,Sisačko-moslavačka,Sisak,Caprag/Željezara,0,1,3,1,1,2,https://www.njuskalo.hr/nekretnine/3-sobni-stan-sisak-capragu-zeljezara-oglas-41735467
37,100000.0,167,45.489779670819104,16.375212586398508,Sisačko-moslavačka,Sisak,Centar,0,1,5,1,1,2,https://www.njuskalo.hr/nekretnine/stan-sisak-167.90-m2-oglas-26492151
19,105000.0,78,45.48435368077607,16.369490315898723,Sisačko-moslavačka,Sisak,Zibel,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/prodaje-se-dvosobni-stan-sisku-odlicnoj-lokaciji-oglas-41624274
25,106000.0,62,45.337968223204,16.977187730983,Sisačko-moslavačka,Novska,Brestača,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-novska-62.09-m2-oglas-41130212
31,140000.0,80,45.46523614499999,16.75673382,Sisačko-moslavačka,Kutina,Kutina,0,1,3,2,1,1,https://www.njuskalo.hr/nekretnine/stan-kutina-80.00-m2-novogradnja-oglas-40377871
2,150000.0,94,45.293448644436,15.978699211904,Sisačko-moslavačka,Topusko,Topusko,0,1,4,1,1,1,https://www.njuskalo.hr/nekretnine/topusko-trosobni-stan-centru-94.4-m2-oglas-41631580
11,150000.0,75,45.564367123491,16.622972109515,Sisačko-moslavačka,Popovača,Popovača,0,1,2,2,2,0,https://www.njuskalo.hr/nekretnine/stan-popovaca-7520.00-m2-novogradnja-oglas-41988410
3,157587.0,79,45.465157688074,16.756452445685,Sisačko-moslavačka,Kutina,Kutina,0,1,4,1,1,1,https://www.njuskalo.hr/nekretnine/stan-kutina-novogradnja-79-m2-vpr-3.5-sprem-vpm-oglas-40473256
4,159425.0,79,45.465004142612,16.757728240102,Sisačko-moslavačka,Kutina,Kutina,0,1,4,1,1,1,https://www.njuskalo.hr/nekretnine/stan-kutina-novogradnja-79-m2-1-kat-3.5-sprem-vpm-oglas-40473255
22,162049.0,80,45.46518203047,16.757815857256,Sisačko-moslavačka,Kutina,Kutina,0,1,4,1,1,1,https://www.njuskalo.hr/nekretnine/stan-kutina-novogradnja-80.30-m2-vpr-3.5-sprem-vpm-oglas-40473257
38,165000.0,154,45.48314298727239,16.377513785286087,Sisačko-moslavačka,Sisak,Centar,0,1,4,1,1,1,https://www.njuskalo.hr/nekretnine/stan-sisak-154.00-m2-oglas-30299995
