linenum,url
1,https://www.njuskalo.hr/nekretnine/split-centar-novorenoviran-turizam-3-jedinice-stanovanje-oglas-39255193
2,https://www.njuskalo.hr/nekretnine/stan-pogledom-more-nedaleko-rive-oglas-42329638
3,https://www.njuskalo.hr/nekretnine/studio-apartman-kamenoj-kuci-nedaleko-rive-oglas-42329560
4,https://www.njuskalo.hr/nekretnine/luksuzni-apartman-tri-spavace-sobe-oglas-42329468
5,https://www.njuskalo.hr/nekretnine/morska-vila-75.63-m2-novogradnja-dvosoban-stan-pogledom-more-oglas-42329408
6,https://www.njuskalo.hr/nekretnine/podstrana-strozanac-pogled-more-100m2-komforanstan-citaj-opis-oglas-40806978
7,https://www.njuskalo.hr/nekretnine/centar-manus-adaptiran-apartman-dobra-lokacija-citaj-opis-oglas-42055425
8,https://www.njuskalo.hr/nekretnine/moderan-stan-pogledom-more-garaza-oglas-42329212
9,https://www.njuskalo.hr/nekretnine/stan-split-kocunar-2sdb-64.00-m2-loggia-oglas-42326648
10,https://www.njuskalo.hr/nekretnine/stan-split-62.00-m2-novogradnja-oglas-42328938
11,https://www.njuskalo.hr/nekretnine/stan-split-60.00-m2-oglas-42328846
12,https://www.njuskalo.hr/nekretnine/prigoda-renovirani-jednosobni-stan-kod-skole-pazara-plokite-oglas-42284467
13,https://www.njuskalo.hr/nekretnine/stan-prodaja-podstrana-108.33-m2-novogradnja-oglas-41756100
14,https://www.njuskalo.hr/nekretnine/stan-prodaja-podstrana-84-m2-novogradnja-oglas-41756102
15,https://www.njuskalo.hr/nekretnine/stan-prodaja-podstrana-74.49-m2-novogradnja-oglas-41756101
16,https://www.njuskalo.hr/nekretnine/spinut-trosobni-80m2-visoko-prizemlje-oglas-41376486
17,https://www.njuskalo.hr/nekretnine/split-strogi-centar-komforni-gradanski-peterosobni-stan-151m2-oglas-42065803
18,https://www.njuskalo.hr/nekretnine/stan-prodaja-firule-80-m2-oglas-42110626
19,https://www.njuskalo.hr/nekretnine/kastel-luksic-jednosoban-namjesten-stan-45.00-m2-150-m-mora-oglas-42328399
20,https://www.njuskalo.hr/nekretnine/apartman-split-gripe-oglas-41896079
21,https://www.njuskalo.hr/nekretnine/stan-makarska-98.00-m2-oglas-42328314
22,https://www.njuskalo.hr/nekretnine/trstenik-moderan-stan-adaptiran-opremljen-video-citaj-opis-oglas-38589646
23,https://www.njuskalo.hr/nekretnine/sucidar-velebitsku-2s-stan-adaptaciju-citaj-opis-video-oglas-42094737
24,https://www.njuskalo.hr/nekretnine/split-centar-grada-odlican-4s-db-stan-oglas-40643539
25,https://www.njuskalo.hr/nekretnine/plokite-dvosoban-stan-60-m2-2-kat-zapad-loda-oglas-42229457
26,https://www.njuskalo.hr/nekretnine/radunica-trosoban-renoviran-luksuzno-namjesten-oglas-42275382
27,https://www.njuskalo.hr/nekretnine/varos-93-m2-dvoriste-125-m2-pogled-more-oglas-41917757
28,https://www.njuskalo.hr/nekretnine/bacvice-98-m2-2-kat-naravi-dva-apartmana-oglas-39485898
29,https://www.njuskalo.hr/nekretnine/jednosoban-stan-centru-grada-oglas-41910957
30,https://www.njuskalo.hr/nekretnine/ciovo-luksuzni-stanovi-privatnim-bazenom-oglas-41891006
31,https://www.njuskalo.hr/nekretnine/split-area-dva-stana-stambenoj-kuci-oglas-41889954
32,https://www.njuskalo.hr/nekretnine/marjan-trosoban-stan-velikim-vrtom-novogradnja-oglas-41891671
33,https://www.njuskalo.hr/nekretnine/stan-makarska-80.00-m2-novogradnja-oglas-40961342
34,https://www.njuskalo.hr/nekretnine/makarska-luksuzno-namjesten-dvosoban-stan-terasa-pogled-oglas-41917710
35,https://www.njuskalo.hr/nekretnine/stan-oglas-39132059
36,https://www.njuskalo.hr/nekretnine/stan-oglas-40937926
37,https://www.njuskalo.hr/nekretnine/stan-oglas-40928451
38,https://www.njuskalo.hr/nekretnine/stan-podstrana-projekt-2-spavace-dobra-lokacija-oglas-40928234
39,https://www.njuskalo.hr/nekretnine/stan-oglas-39132980
40,https://www.njuskalo.hr/nekretnine/sta-oglas-39132000
41,https://www.njuskalo.hr/nekretnine/stan-oglas-39131816
42,https://www.njuskalo.hr/nekretnine/stan-oglas-40937884
43,https://www.njuskalo.hr/nekretnine/stan-oglas-40928812
44,https://www.njuskalo.hr/nekretnine/stan-oglas-40928661
45,https://www.njuskalo.hr/nekretnine/stan-oglas-39132749
46,https://www.njuskalo.hr/nekretnine/stan-oglas-40928741
47,https://www.njuskalo.hr/nekretnine/stan-oglas-40928700
48,https://www.njuskalo.hr/nekretnine/stan-oglas-40928607
49,https://www.njuskalo.hr/nekretnine/stan-oglas-40938045
50,https://www.njuskalo.hr/nekretnine/stan-oglas-40937977
51,https://www.njuskalo.hr/nekretnine/stan-oglas-40928264
52,https://www.njuskalo.hr/nekretnine/stan-oglas-39867017
