linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
4633,10000.0,137.0,43.501468405412,16.540421247482,Splitsko-dalmatinska,Podstrana,Strožanac,0,1,4,3,1,2,https://www.njuskalo.hr/nekretnine/prodaja-cetverosobni-stan-oglas-32943256
4750,10000.0,101.0,43.492419,16.540545,Splitsko-dalmatinska,Split - Okolica,Stobreč,0,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/penthouse-luksuzno-ureden-pogledom-more-oglas-27838802
4493,10000.0,141.0,43.50101517175322,16.54079991474231,Splitsko-dalmatinska,Podstrana,Strožanac,0,1,3,3,1,0,https://www.njuskalo.hr/nekretnine/stan-prodaja-podstrana-141.5m2-oglas-40483123
4632,11000.0,69.0,43.560898237015415,16.33890829967372,Splitsko-dalmatinska,Kaštela,Kaštel Stari,0,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/k-stari-dvosobni-stan-krovnom-terasom-50-m2-6.20-m2-54-m2-oglas-39284481
4631,11000.0,137.0,43.560898237015415,16.33890829967372,Splitsko-dalmatinska,Kaštela,Kaštel Stari,0,1,3,2,1,2,https://www.njuskalo.hr/nekretnine/k-stari-trosobni-penthouse-krovnom-terasom-96-m2-23-m2-103-m2-oglas-39284482
57,19850.0,113.0,43.559748860957,16.524526003648,Splitsko-dalmatinska,Solin,Rupotina,0,1,2,1,2,1,https://www.njuskalo.hr/nekretnine/klis-akcija-novogradnja-stan-81m2.10-24-parking-sprema-investitor-oglas-42278516
2078,60000.0,20.0,43.553630102010764,16.398352596053982,Splitsko-dalmatinska,Kaštela,Kaštel Gomilica,0,1,0,1,1,0,https://www.njuskalo.hr/nekretnine/k-gomilica-garsonjera-20m2-prizemlju-zgrade-novogradnja-oglas-41738207
4156,60000.0,100.0,43.517256066803,16.439619865393,Splitsko-dalmatinska,Split,Skalice,0,1,3,1,1,2,https://www.njuskalo.hr/nekretnine/stan-split-100.00-m2-oglas-41227744
1820,65000.0,35.0,43.38409981361325,16.478815935665057,Splitsko-dalmatinska,Sutivan,Sutivan,0,1,1,1,1,0,https://www.njuskalo.hr/nekretnine/stan-sutivan-35.00-m2-oglas-31672293
3979,72000.0,120.0,43.641952129082,16.582689992994,Splitsko-dalmatinska,Dicmo,Kraj,1,2,5,1,1,1,https://www.njuskalo.hr/nekretnine/stan-kraj-120.00-m2-oglas-41801463
