linenum,url
1,https://www.njuskalo.hr/nekretnine/varazdin-5-sobni-stan-100-m2-novija-gradnja-2021-2-parkinga-oglas-42175107
2,https://www.njuskalo.hr/nekretnine/varazdin-3-soban-stan-95.94-m2-blizina-centra-naslovna-oglas-41982361
3,https://www.njuskalo.hr/nekretnine/varazdin-3-sobni-stan-72.70-m2-blizina-bolnice-a-en-certifikat-oglas-41427067
4,https://www.njuskalo.hr/nekretnine/varazdin-centar-2-sobni-stan-44.50-m2-novija-gradnja-2006-oglas-40993374
5,https://www.njuskalo.hr/nekretnine/varazdin-gradska-jezgra-5-sobni-stan-180-m2-pogodan-ured-oglas-38901922
6,https://www.njuskalo.hr/nekretnine/varazdin-centar-3-sobni-stan-84-m2-novogradnja-pretprodaja-oglas-36676680
7,https://www.njuskalo.hr/nekretnine/varazdin-dvosobni-stan-48.80-m2-oglas-41891919
8,https://www.njuskalo.hr/nekretnine/varazdin-centar-blizina-ii-osnovne-skole-dvosobni-stan-56-m2-oglas-42105905
9,https://www.njuskalo.hr/nekretnine/varazdin-v-novaka-trosobni-stan-58.60-m2-oglas-41872073
10,https://www.njuskalo.hr/nekretnine/varazdin-centar-cetverosobni-stan-96.00-m2-oglas-41481335
11,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-centar-58-m2-oglas-41917645
12,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-49m2-oglas-41763219
13,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-centar-66.45-m2-oglas-41594116
14,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-centar-70.50-m2-oglas-36498958
15,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-152.40-m2-oglas-36322167
16,https://www.njuskalo.hr/nekretnine/stan-varazdin-centar-46.3-m2-oglas-41463015
17,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-86-m2-ekskluzivna-lokacija-oglas-39468596
18,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-57-m2-centar-namjesteno-oglas-42216912
19,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-64-m2-bronx-oglas-41570336
20,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-centar-69-m2-oglas-40964868
21,https://www.njuskalo.hr/nekretnine/trosoban-komforan-stan-77-m2-varazdin-centar-oglas-40643502
22,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-centar-98-m2-oglas-40444870
23,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-96-m2-150.000-oglas-39216443
24,https://www.njuskalo.hr/nekretnine/stan-varazdin-novogradnja-146.27-m2-154.23-m2-91.02-m2-oglas-39463059
