linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
1,215.000,115,46.3091067837801,16.34307877838993,Varaždinska,Varaždin,Centar,U stambenoj zgradi,Jednoetažni,4-sobni,2,,1.,https://www.njuskalo.hr/nekretnine/varazdin-5-sobni-stan-100-m2-novija-gradnja-2021-2-parkinga-oglas-42175107
2,115.128,95,46.305827140508,16.339443048468,Varaždinska,Varaždin,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,2,,Prizemlje,https://www.njuskalo.hr/nekretnine/varazdin-3-soban-stan-95.94-m2-blizina-centra-naslovna-oglas-41982361
3,164.000,72,46.310254446374,16.340329892247,Varaždinska,Varaždin,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,Visoko potkrovlje,https://www.njuskalo.hr/nekretnine/varazdin-3-sobni-stan-72.70-m2-blizina-bolnice-a-en-certifikat-oglas-41427067
4,114.000,44,46.31012040385219,16.339129541606013,Varaždinska,Varaždin,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/varazdin-centar-2-sobni-stan-44.50-m2-novija-gradnja-2006-oglas-40993374
5,200.000,180,46.306207878636,16.338288119802,Varaždinska,Varaždin,Centar,U stambenoj zgradi,Jednoetažni,5+ sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/varazdin-gradska-jezgra-5-sobni-stan-180-m2-pogodan-ured-oglas-38901922
6,228.696,82,46.307557563045,16.343429020115,Varaždinska,Varaždin,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,5.,https://www.njuskalo.hr/nekretnine/varazdin-centar-3-sobni-stan-84-m2-novogradnja-pretprodaja-oglas-36676680
7,110.000,48,46.30408285762577,16.347549626461596,Varaždinska,Varaždin,Vilka Novaka,U stambenoj zgradi,Dvoetažni,2-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/varazdin-dvosobni-stan-48.80-m2-oglas-41891919
8,103.000,56,46.30705253563785,16.337293146192298,Varaždinska,Varaždin,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Potkrovlje,https://www.njuskalo.hr/nekretnine/varazdin-centar-blizina-ii-osnovne-skole-dvosobni-stan-56-m2-oglas-42105905
9,115.000,58,46.29959567303065,16.34713236344133,Varaždinska,Varaždin,Vilka Novaka,U stambenoj zgradi,Jednoetažni,3-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/varazdin-v-novaka-trosobni-stan-58.60-m2-oglas-41872073
10,175.000,96,46.309338303155045,16.34028424444432,Varaždinska,Varaždin,Centar,U stambenoj zgradi,Dvoetažni,4-sobni,2,,2.,https://www.njuskalo.hr/nekretnine/varazdin-centar-cetverosobni-stan-96.00-m2-oglas-41481335
12,110.000,49,,,Varaždinska,Varaždin,Vilka Novaka,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-49m2-oglas-41763219
13,120.000,66,,,Varaždinska,Varaždin,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,3.,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-centar-66.45-m2-oglas-41594116
14,129.000,70,46.3110849,16.3327344,Varaždinska,Varaždin,Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-centar-70.50-m2-oglas-36498958
15,88.888,152,46.305746,16.3366066,Varaždinska,Varaždin,Centar,U kući,Dvoetažni,4-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-152.40-m2-oglas-36322167
