linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
6,228696.0,82.0,46.307557563045,16.343429020115,Varaždinska,Varaždin,Centar,0,Jednoetažni,3,1,1,5,https://www.njuskalo.hr/nekretnine/varazdin-centar-3-sobni-stan-84-m2-novogradnja-pretprodaja-oglas-36676680
7,110000.0,48.0,46.30408285762577,16.347549626461596,Varaždinska,Varaždin,Vilka Novaka,0,Dvoetažni,2,1,1,0,https://www.njuskalo.hr/nekretnine/varazdin-dvosobni-stan-48.80-m2-oglas-41891919
8,103000.0,56.0,46.30705253563785,16.337293146192298,Varaždinska,Varaždin,Centar,0,Jednoetažni,2,1,1,4,https://www.njuskalo.hr/nekretnine/varazdin-centar-blizina-ii-osnovne-skole-dvosobni-stan-56-m2-oglas-42105905
9,115000.0,58.0,46.29959567303065,16.34713236344133,Varaždinska,Varaždin,Vilka Novaka,0,Jednoetažni,3,1,1,2,https://www.njuskalo.hr/nekretnine/varazdin-v-novaka-trosobni-stan-58.60-m2-oglas-41872073
10,175000.0,96.0,46.309338303155045,16.34028424444432,Varaždinska,Varaždin,Centar,0,Dvoetažni,4,2,1,2,https://www.njuskalo.hr/nekretnine/varazdin-centar-cetverosobni-stan-96.00-m2-oglas-41481335
12,110000.0,49.0,46.305244035705634,16.33584636881857,Varaždinska,Varaždin,Vilka Novaka,0,Jednoetažni,3,1,1,0,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-49m2-oglas-41763219
13,120000.0,66.0,46.305244035705634,16.33584636881857,Varaždinska,Varaždin,Centar,0,Jednoetažni,3,1,1,3,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-centar-66.45-m2-oglas-41594116
14,129000.0,70.0,46.3110849,16.3327344,Varaždinska,Varaždin,Centar,0,Jednoetažni,3,1,1,1,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-centar-70.50-m2-oglas-36498958
15,88888.0,152.0,46.305746,16.3366066,Varaždinska,Varaždin,Centar,1,Dvoetažni,4,1,1,1,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-152.40-m2-oglas-36322167
17,300000.0,86.0,46.305244035705634,16.33584636881857,Varaždinska,Varaždin,Centar,1,Jednoetažni,3,1,2,1,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-86-m2-ekskluzivna-lokacija-oglas-39468596
18,138000.0,56.0,46.305244035705634,16.33584636881857,Varaždinska,Varaždin,Centar,0,Jednoetažni,2,1,1,2,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-57-m2-centar-namjesteno-oglas-42216912
19,134000.0,63.0,46.305244035705634,16.33584636881857,Varaždinska,Varaždin,Bronx,0,Jednoetažni,3,1,1,1,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-64-m2-bronx-oglas-41570336
20,136000.0,68.0,46.305244035705634,16.33584636881857,Varaždinska,Varaždin,Centar,0,Jednoetažni,3,1,1,6,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-centar-69-m2-oglas-40964868
22,130000.0,97.0,46.305244035705634,16.33584636881857,Varaždinska,Varaždin,Centar,1,Dvoetažni,3,1,1,0,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-centar-98-m2-oglas-40444870
23,134400.0,95.0,46.305244035705634,16.33584636881857,Varaždinska,Varaždin,Centar,0,Jednoetažni,4,2,2,0,https://www.njuskalo.hr/nekretnine/stan-prodaja-varazdin-96-m2-150.000-oglas-39216443
24,550000.0,146.0,46.298212970408,16.337276986236,Varaždinska,Varaždin,Đurek,0,Jednoetažni,4,2,2,0,https://www.njuskalo.hr/nekretnine/stan-varazdin-novogradnja-146.27-m2-154.23-m2-91.02-m2-oglas-39463059
26,349000.0,145.0,46.305244035705634,16.33584636881857,Varaždinska,Varaždin,Centar,0,Višeetažni,3,1,2,0,https://www.njuskalo.hr/nekretnine/ekskluzivni-stan-blizini-centra-grada-146m2-oglas-41578591
27,382000.0,153.0,46.305244035705634,16.33584636881857,Varaždinska,Varaždin,Centar,0,Višeetažni,3,2,1,0,https://www.njuskalo.hr/nekretnine/ekskluzivni-stan-blizini-centra-grada-153m2-oglas-41578590
28,284000.0,138.0,46.305244035705634,16.33584636881857,Varaždinska,Varaždin,Centar,0,Višeetažni,4,2,2,0,https://www.njuskalo.hr/nekretnine/ekskluzivni-stan-blizini-centra-grada-139m2-oglas-41570441
29,483000.0,210.0,46.305244035705634,16.33584636881857,Varaždinska,Varaždin,Centar,0,Višeetažni,5,2,3,0,https://www.njuskalo.hr/nekretnine/dvoetazni-stan-blizini-centra-grada-210m2-oglas-41533833
30,130000.0,70.0,46.305244035705634,16.33584636881857,Varaždinska,Varaždin,Centar,0,Jednoetažni,3,1,1,1,https://www.njuskalo.hr/nekretnine/3-soban-stan-pogledom-stari-grad-varazdin-oglas-40421044
31,349560.0,145.0,46.305244035705634,16.33584636881857,Varaždinska,Varaždin,Centar,0,Jednoetažni,3,1,2,3,https://www.njuskalo.hr/nekretnine/centar-varazdina-dvoetazni-stan-vrtom-oglas-41533722
32,382575.0,153.0,46.305244035705634,16.33584636881857,Varaždinska,Varaždin,Centar,0,Jednoetažni,3,1,2,3,https://www.njuskalo.hr/nekretnine/centar-varazdina-stan-prekrasnom-vrtom-oglas-41533719
33,112620.0,36.0,46.30916,16.343035,Varaždinska,Varaždin,Centar,0,Jednoetažni,0,1,1,3,https://www.njuskalo.hr/nekretnine/stan-varazdin-36.00-m2-novogradnja-oglas-42326598
34,182520.0,81.0,46.310254446374,16.340329892247,Varaždinska,Varaždin,Centar,0,Jednoetažni,3,1,1,1,https://www.njuskalo.hr/nekretnine/varazdin-3-sobni-stan-81.50-m2-blizina-bolnice-a-en-certifikat-oglas-41426944
35,151368.0,54.0,46.306185512717,16.34214791466,Varaždinska,Varaždin,Centar,0,Jednoetažni,2,1,1,2,https://www.njuskalo.hr/nekretnine/varazdin-novogradnja-2-sobni-54.06-m2-a-energetski-razred-prodaja-oglas-42211123
36,107294.0,48.0,46.31421884198,16.328397533895,Varaždinska,Varaždin,Texas,0,Jednoetažni,2,1,1,1,https://www.njuskalo.hr/nekretnine/varazdin-2-sobni-stan-48.77-m2-temeljito-renoviran-oglas-42205440
37,197600.0,89.0,46.310254446374,16.340329892247,Varaždinska,Varaždin,Centar,0,Jednoetažni,4,1,1,1,https://www.njuskalo.hr/nekretnine/varazdin-4-sobni-stan-89.60-m2-blizina-bolnice-a-en-certifikat-oglas-41426041
38,160000.0,70.0,46.319551389618,16.342829755159,Varaždinska,Varaždin,Banfica,0,Jednoetažni,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-varazdin-62.00-m2-oglas-38886690
39,237056.0,74.0,46.309327039374,16.337605283785,Varaždinska,Varaždin,Centar,0,Jednoetažni,3,1,1,4,https://www.njuskalo.hr/nekretnine/varazdin-3-sobni-stan-74.08-m2-visokokvalitetnoj-novoradnji-oglas-38732476
