linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
1,140.000,80,45.298876481789,18.807067744259,Vukovarsko-srijemska,Vinkovci,Nazorov Blok,U stambenoj zgradi,Jednoetažni,3-sobni,1,2,,https://www.njuskalo.hr/nekretnine/stan-vinkovci-80.26-m2-novogradnja-oglas-42212746
2,53.000,44,45.35547013948,18.99273276329,Vukovarsko-srijemska,Vukovar,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,,4.,https://www.njuskalo.hr/nekretnine/126-vukovar-olajnica-17-25-stan-44.20-m2-4-kat-bez-lifta-zatvoreno-oglas-41481257
3,53.000,54,45.37734472606843,18.95613670349121,Vukovarsko-srijemska,Vukovar,Borovo Naselje,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,5.,https://www.njuskalo.hr/nekretnine/119-vukovar-vijenac-rudera-boskovica-3-26-stan-54.50-m2-5-kat-zg-oglas-39690663
4,140.000,71,45.29297346307321,18.807961638785564,Vukovarsko-srijemska,Vinkovci,Centar,U stambenoj zgradi,Dvoetažni,3-sobni,1,1,2.,https://www.njuskalo.hr/nekretnine/prodajem-stan-76.92-m2-strogi-centar-grada-oglas-41370924
5,47.000,54,45.374870153866,18.965086516182,Vukovarsko-srijemska,Vukovar,Borovo Naselje,U stambenoj zgradi,Dvoetažni,3-sobni,1,1,Prizemlje,https://www.njuskalo.hr/nekretnine/trosoban-stan-borovo-naselje-oglas-40065661
6,98.000,257,45.290267614517,18.806535929662,Vukovarsko-srijemska,Vinkovci,Centar,U kući,Jednoetažni,4-sobni,2,,,https://www.njuskalo.hr/nekretnine/stan-vinkovci-centar-anina-ulica-257.00-m2-oglas-42052884
7,60.000,0,45.348490077075,19.011753356146,Vukovarsko-srijemska,Vukovar,Mitnica,U stambenoj zgradi,Jednoetažni,Garsonijera,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/jarun-ulica-ante-pandakovica-oglas-41127056
8,119.000,74,45.085043250263,18.728563049623,Vukovarsko-srijemska,Županja,Županja,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,2.,https://www.njuskalo.hr/nekretnine/stan-zupanja-74.00-m2-oglas-41180442
9,86.000,72,45.3532571,18.9938366,Vukovarsko-srijemska,Vukovar,Olajnica,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/vukovar-prodaja-3-soban-stan-72-m2-1-kat-oglas-41103589
10,52.000,53,45.333406082468,18.993462324142,Vukovarsko-srijemska,Vukovar,Sajmište,U stambenoj zgradi,Dvoetažni,2-sobni,1,1,Prizemlje,https://www.njuskalo.hr/nekretnine/117-vukovar-vijeca-europe-1-1-odlican-dvoetazni-stan-53.80-m2-prize-oglas-39009258
11,79.000,59,,,Vukovarsko-srijemska,Vinkovci,Lapovci,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-vinkovcima-59m2-visoko-prizemlje-lapovci-oglas-41785432
12,114.256,58,45.287893507046,18.793283700943,Vukovarsko-srijemska,Vinkovci,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/stan-vinkovci-53.00-m2-novogradnja-oglas-38459883
13,79.500,65,45.35703827548252,18.99117708206177,Vukovarsko-srijemska,Vukovar,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/114-vukovar-centar-m-drzica-17-s4-odlican-stan-65.38-m2-1-kat-par-oglas-41371779
14,82.500,66,45.30707313821722,18.80563813439983,Vukovarsko-srijemska,Vinkovci,Kolodvor Kvart,U stambenoj zgradi,Jednoetažni,3-sobni,1,,3.,https://www.njuskalo.hr/nekretnine/stan-vinkovci-66.09-m2-oglas-40769805
15,93.000,93,45.07277808609404,18.6986231803894,Vukovarsko-srijemska,Županja,Županja,U stambenoj zgradi,Jednoetažni,4-sobni,1,,3.,https://www.njuskalo.hr/nekretnine/stan-zupanja-93.00-m2-oglas-40042683
16,37.000,75,,,Vukovarsko-srijemska,Vinkovci,Centar,U kući,Jednoetažni,3-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/vinkovci-blizina-centra-stan-oglas-41295873
18,71.000,69,45.37459390782963,18.95417332649231,Vukovarsko-srijemska,Vukovar,Borovo Naselje,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,Prizemlje,https://www.njuskalo.hr/nekretnine/125-vukovar-blage-zadre-175-2-predivan-trosoban-stan-69.40-m2-priz-oglas-41052739
19,65.000,68,45.35246663213775,18.99906043974454,Vukovarsko-srijemska,Vukovar,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,1,,3.,https://www.njuskalo.hr/nekretnine/90-vukovar-j-j-strossmayera-5b-23-stan-68-m2-3-kat-zgradi-bez-li-oglas-35378017
21,62.000,85,,,Vukovarsko-srijemska,Vinkovci,Centar,U stambenoj zgradi,Jednoetažni,2-sobni,,,Potkrovlje,https://www.njuskalo.hr/nekretnine/stan-centru-grada-pjesacka-zona-prodaja-oglas-34403995
22,67.000,55,,,Vukovarsko-srijemska,Vinkovci,Lapovci,U stambenoj zgradi,Jednoetažni,2-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/vinkovci-lapovci-stan-56-m-oglas-40603570
24,51.000,73,,,Vukovarsko-srijemska,Županja,Županja,U kući,Jednoetažni,3-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/zupanja-trosoban-stan-73.58-m2-oglas-37403108
25,195.000,220,,,Vukovarsko-srijemska,Vinkovci,Centar,U stambenoj zgradi,Jednoetažni,5+ sobni,,,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/predivan-luksuzan-dvoetazni-stan-vinkovci-220-m2-prodaja-oglas-34403997
26,44.000,60,,,Vukovarsko-srijemska,Vrbanja,Vrbanja,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/vrbanja-stan-centru-60-m-oglas-40420394
27,75.000,90,,,Vukovarsko-srijemska,Vukovar,Centar,U stambenoj zgradi,Jednoetažni,4-sobni,,,,https://www.njuskalo.hr/nekretnine/vukovar-samostojeca-kuca-dvoristem-oglas-42145689
