linenum,url
1,https://www.njuskalo.hr/nekretnine/zadar-poluotok-luksuzan-trosoban-stan-centru-grada-100-m2-5-oglas-42194107
2,https://www.njuskalo.hr/nekretnine/zadar-visnjik-namjesten-jednosoban-stan-52-m2-2-kat-liftom-oglas-42139906
3,https://www.njuskalo.hr/nekretnine/zadar-bili-brig-prekrasn-namjesten-jednosoban-stan-42.54-m2-odmah-use-oglas-42091355
4,https://www.njuskalo.hr/nekretnine/zadar-bulevar-komforan-trosoban-stan-92-m2-pogledom-more-otoke-oglas-41568257
5,https://www.njuskalo.hr/nekretnine/zadar-vostarnica-lijepo-ureden-dvosoban-stan-73-m2-izvrsna-lokacija-oglas-41405552
6,https://www.njuskalo.hr/nekretnine/zadar-maraska-park-prekrasan-novoureden-stan-83.36-m2-oglas-42329762
7,https://www.njuskalo.hr/nekretnine/zaton-penthouse-2-kat-trosoban-142-m2-oglas-42329683
8,https://www.njuskalo.hr/nekretnine/stan-s3-zaton-novogradnja-jednosoban-55.07-m2-oglas-42329637
9,https://www.njuskalo.hr/nekretnine/zaton-novogradnja-1-kat-s2-jednosoban-56.79-m2-oglas-42329570
10,https://www.njuskalo.hr/nekretnine/stan-prvom-redu-mora-zadar-diklo-novogradnja-pogled-more-oglas-38186826
11,https://www.njuskalo.hr/nekretnine/prekrasan-apartman-2-spavace-sobe-novogradnja-2-kat-privlaka-oglas-41895801
12,https://www.njuskalo.hr/nekretnine/prekrasan-apartman-2-spavace-sobe-novogradnja-1-kat-privlaka-oglas-41895800
13,https://www.njuskalo.hr/nekretnine/stan-uredenom-stambenom-kompleksu-novogradnja-lift-zadar-borik-oglas-41127691
14,https://www.njuskalo.hr/nekretnine/stan-uredenom-stambenom-kompleksu-novogradnja-lift-zadar-borik-oglas-41127689
15,https://www.njuskalo.hr/nekretnine/stan-uredenom-stambenom-kompleksu-novogradnja-lift-zadar-borik-oglas-41127688
16,https://www.njuskalo.hr/nekretnine/stan-uredenom-stambenom-kompleksu-novogradnja-lift-zadar-borik-oglas-41127687
17,https://www.njuskalo.hr/nekretnine/stan-sklopu-uredenog-stambenog-kompleksa-novogradnja-zadar-borik-oglas-40984100
18,https://www.njuskalo.hr/nekretnine/penthouse-uredenom-stambenom-kompleksu-novogradnja-lift-zadar-oglas-40984101
19,https://www.njuskalo.hr/nekretnine/stan-novogradnji-top-lokacija-prizemlje-vrt-borik-zadar-oglas-40984099
20,https://www.njuskalo.hr/nekretnine/penthouse-uredenom-stambenom-kompleksu-novogradnja-lift-zadar-oglas-40984098
21,https://www.njuskalo.hr/nekretnine/penthouse-uredenom-stambenom-kompleksu-novogradnja-lift-zadar-oglas-40984097
22,https://www.njuskalo.hr/nekretnine/stan-uredenom-stambenom-kompleksu-novogradnja-lift-zadar-borik-oglas-40984096
23,https://www.njuskalo.hr/nekretnine/stan-uredenom-stambenom-kompleksu-novogradnja-lift-zadar-borik-oglas-40984095
24,https://www.njuskalo.hr/nekretnine/stan-novogradnji-top-lokacija-prizemlje-vrt-borik-zadar-oglas-40984094
25,https://www.njuskalo.hr/nekretnine/stan-uredenom-stambenom-kompleksu-novogradnja-lift-zadar-borik-oglas-40984093
26,https://www.njuskalo.hr/nekretnine/stan-novogradnji-top-lokacija-prizemlje-vrt-borik-zadar-oglas-40984091
27,https://www.njuskalo.hr/nekretnine/stan-sklopu-uredenog-stambenog-kompleksa-novogradnja-zadar-borik-oglas-40984090
28,https://www.njuskalo.hr/nekretnine/stan-sklopu-uredenog-stambenog-kompleksa-novogradnja-zadar-borik-oglas-40984085
29,https://www.njuskalo.hr/nekretnine/stan-sklopu-uredenog-stambenog-kompleksa-novogradnja-zadar-borik-oglas-40984084
30,https://www.njuskalo.hr/nekretnine/stan-sklopu-uredenog-stambenog-kompleksa-novogradnja-zadar-borik-oglas-40984083
31,https://www.njuskalo.hr/nekretnine/stan-prodaja-biograd-moru-71.67-m2-novogradnja-s1-oglas-40907207
32,https://www.njuskalo.hr/nekretnine/stan-kuci-biograd-moru-126-m2-oglas-40603725
33,https://www.njuskalo.hr/nekretnine/stan-kuci-biograd-moru-91-m2-oglas-40603724
34,https://www.njuskalo.hr/nekretnine/komforan-stan-terasom-dvoristem-oglas-41470816
35,https://www.njuskalo.hr/nekretnine/stan-petrcane-119900-eur-akcija-923eur-m2-oglas-41996457
36,https://www.njuskalo.hr/nekretnine/dugi-otok-sali-stan-pogledom-more-41.00-m2-novogradnja-oglas-42328156
37,https://www.njuskalo.hr/nekretnine/bulevar-zadar-ulica-ivana-zadranina-76-m2-oglas-41678065
38,https://www.njuskalo.hr/nekretnine/stan-zadar-plovanija-89.90-m2-krovnom-terasom-novogradnja-oglas-41654590
39,https://www.njuskalo.hr/nekretnine/stan-zadar-146.19-m2-bazen-krovu-novogradnja-oglas-37855074
40,https://www.njuskalo.hr/nekretnine/plovanija-stan-prizemlje-oglas-42054238
41,https://www.njuskalo.hr/nekretnine/stan-zadar-95.00-m2-vidikovac-novogradnja-oglas-41771628
42,https://www.njuskalo.hr/nekretnine/stan-zadar-plovanija-69.50-m2-novogradnja-oglas-41654693
43,https://www.njuskalo.hr/nekretnine/stan-vinjerac-134.85m2-novogradnja-oglas-36864408
44,https://www.njuskalo.hr/nekretnine/stan-zadar-52.00-m2-borik-vetrenjak-novogradnja-oglas-42181876
45,https://www.njuskalo.hr/nekretnine/stan-biogradu-moru-oglas-42004423
46,https://www.njuskalo.hr/nekretnine/stan-zadar-diklo-prekrasan-pogled-krovna-terasa-250m-mora-123m-oglas-40439290
47,https://www.njuskalo.hr/nekretnine/stan-zadar-diklo-prekrasan-pogled-250m-mora-2s-krovna-terasa-oglas-40418361
48,https://www.njuskalo.hr/nekretnine/stan-zadar-diklo-2sobni-250m-mora-odlicna-kvaliteta-pogled-74m2-oglas-40423653
49,https://www.njuskalo.hr/nekretnine/stan-zadar-diklo-vrtom-250m-mora-top-kvaliteta-99.64m2-oglas-40423493
50,https://www.njuskalo.hr/nekretnine/stan-zadar-diklo-2sobni-penthouse-prekrasan-pogled-kvaliteta-85m2-oglas-40439439
51,https://www.njuskalo.hr/nekretnine/stan-zadar-diklo-trosobni-pogledom-blizu-mora-top-kvaliteta-108m2-oglas-40423591
52,https://www.njuskalo.hr/nekretnine/stan-zadar-diklo-3sobni-vrtom-odlicna-lokacija-kvaliteta-110m2-oglas-40423267
53,https://www.njuskalo.hr/nekretnine/stan-zadar-diklo-prizemlje-vrtom-blizu-mora-top-kvaliteta-103m2-oglas-40423136
54,https://www.njuskalo.hr/nekretnine/stan-zadar-diklo-3sobni-krovna-terasa-otvoren-pogled-oglas-40418285
55,https://www.njuskalo.hr/nekretnine/stan-zadar-diklo-250m-mora-visoka-kvaliteta-2sobni-oglas-40418175
56,https://www.njuskalo.hr/nekretnine/stan-dva-apartmana-ukupno-91-m2-biograd-oglas-42087081
57,https://www.njuskalo.hr/nekretnine/stan-prodaja-zadar-poluotok-48-m2-2-soban-oglas-41994591
58,https://www.njuskalo.hr/nekretnine/zadar-relja-trosoban-stan-96m2-2-kat-mogucnost-kupnje-garaze-oglas-41166822
59,https://www.njuskalo.hr/nekretnine/novogradnja-privlaka-apartman-kat-59m2-oglas-40421070
60,https://www.njuskalo.hr/nekretnine/diklo-novogradnja-stan-101m2-garazom-krovnom-terasom-lift-oglas-42114097
61,https://www.njuskalo.hr/nekretnine/prodaja-stan-186.51m2-vrtom-luksuznoj-novogradnji-kozino-oglas-41090726
62,https://www.njuskalo.hr/nekretnine/prodaja-stan-71.54m2-luksuznoj-novogradnji-kozino-oglas-41090725
63,https://www.njuskalo.hr/nekretnine/prodaja-stan-87.62m2-luksuznoj-novogradnji-kozino-oglas-41090724
64,https://www.njuskalo.hr/nekretnine/prodaja-stan-124m2-krovnom-terasom-95m-mora-kozino-oglas-41084241
65,https://www.njuskalo.hr/nekretnine/prodaja-stan-108m2-95m-mora-kozino-oglas-41084240
66,https://www.njuskalo.hr/nekretnine/prodaja-penthouse-215m2-luksuznoj-novogradnji-kozino-oglas-41090723
67,https://www.njuskalo.hr/nekretnine/prodaja-stan-135m2-vrtom-bazenom-95m-mora-kozino-oglas-41084239
68,https://www.njuskalo.hr/nekretnine/prodaja-stan-novogradnja-73.78-m2-biograd-moru-oglas-39181882
69,https://www.njuskalo.hr/nekretnine/prodaja-stan-novogradnja-76.84-m2-biograd-moru-oglas-39181881
70,https://www.njuskalo.hr/nekretnine/prodaja-stan-luksuznoj-vili-kozino-oglas-36963493
71,https://www.njuskalo.hr/nekretnine/prodaja-stan-luksuznoj-vili-kozino-oglas-36963489
72,https://www.njuskalo.hr/nekretnine/prodaja-stan-63.08m2-zadar-borik-oglas-40603720
73,https://www.njuskalo.hr/nekretnine/prodaja-stan-79.35m2-vrtom-zadar-visnjik-oglas-41090722
74,https://www.njuskalo.hr/nekretnine/prodaja-stan-82m2-zadar-visnjik-oglas-39589459
75,https://www.njuskalo.hr/nekretnine/prodaja-1-kat-50m-mora-diklo-oglas-34322581
76,https://www.njuskalo.hr/nekretnine/prodaja-stan-krovom-terasom-novogradnja-diklo-oglas-34313418
77,https://www.njuskalo.hr/nekretnine/stan-pasman-kraj-80.85-m2-30-metara-mora-oglas-42046433
78,https://www.njuskalo.hr/nekretnine/stan-prizemlju-sv-filip-jakovu-oglas-41985608
79,https://www.njuskalo.hr/nekretnine/stan-zadar-diklo-50.00-m2-novogradnja-prodaje-direktno-investitor-oglas-41888958
80,https://www.njuskalo.hr/nekretnine/stan-zadar-59.00-m2-novogradnja-oglas-41889171
81,https://www.njuskalo.hr/nekretnine/stan-zadar-privlaka-55-m2-2-red-mora-prodaje-investitor-oglas-41890411
82,https://www.njuskalo.hr/nekretnine/trosoban-stan-novogradnji-oglas-40435857
83,https://www.njuskalo.hr/nekretnine/jednosoban-stan-novogradnji-oglas-40435856
84,https://www.njuskalo.hr/nekretnine/luksuzan-trosoban-stan-novogradnji-oglas-40435853
85,https://www.njuskalo.hr/nekretnine/luksuzan-jednosoban-stan-pogledom-more-oglas-40435849
86,https://www.njuskalo.hr/nekretnine/dvosoban-stan-novogradnji-oglas-40435854
87,https://www.njuskalo.hr/nekretnine/luksuzan-trosoban-stan-novogradnji-vidikovac-oglas-40435851
88,https://www.njuskalo.hr/nekretnine/luksuzan-trosoban-stan-pogledom-more-oglas-40435850
89,https://www.njuskalo.hr/nekretnine/luksuzan-trosoban-stan-pogledom-more-otoke-oglas-40435848
90,https://www.njuskalo.hr/nekretnine/stan-zadar-oglas-41127589
91,https://www.njuskalo.hr/nekretnine/luksuzan-stan-bazenom-oglas-41127587
92,https://www.njuskalo.hr/nekretnine/penthouse-bazenom-oglas-41127586
93,https://www.njuskalo.hr/nekretnine/oaza-mira-more-oglas-40347213
94,https://www.njuskalo.hr/nekretnine/zadar-bokanjac-prostran-stan-mirnom-naselju-oglas-41694438
95,https://www.njuskalo.hr/nekretnine/petrcane-troetazni-stan-b3-novogradnji-oglas-41694436
96,https://www.njuskalo.hr/nekretnine/petrcane-troetazni-stan-b4-novogradnji-oglas-41694433
97,https://www.njuskalo.hr/nekretnine/zadar-visnjik-manji-stan-zgradi-oglas-41694430
98,https://www.njuskalo.hr/nekretnine/privlaka-stan-s1-novogradnji-blizini-mora-oglas-41694428
99,https://www.njuskalo.hr/nekretnine/privlaka-stan-s2-novogradnji-blizini-mora-oglas-41694426
100,https://www.njuskalo.hr/nekretnine/jedinstvena-stan-novogradnji-oglas-41694412
101,https://www.njuskalo.hr/nekretnine/jedinstvena-moderan-stan-novogradnji-oglas-41694401
102,https://www.njuskalo.hr/nekretnine/jedinstvena-moderan-stan-novogradnji-oglas-41694399
103,https://www.njuskalo.hr/nekretnine/vir-dalmacija-apartman-e3-92.85m-200m-mora-oglas-39141436
104,https://www.njuskalo.hr/nekretnine/zadar-diklo-prodaja-apartman-a4-250m-more-oglas-40117937
105,https://www.njuskalo.hr/nekretnine/vir-dalmacija-apartman-e5-94m-200m-mora-oglas-39141431
106,https://www.njuskalo.hr/nekretnine/vir-dalmacija-apartman-1-s3-krovnom-terasom-oglas-39066143
107,https://www.njuskalo.hr/nekretnine/stan-zadar-110.00-m2-novogradnja-oglas-41283031
108,https://www.njuskalo.hr/nekretnine/stan-zadar-141.00-m2-novogradnja-oglas-41283241
109,https://www.njuskalo.hr/nekretnine/prodaja-novogradnja-projekt-biograd-moru-73.78m2-oglas-41185012
110,https://www.njuskalo.hr/nekretnine/prodaja-novogradnja-projekt-biograd-moru-71.87m2-oglas-41179056
111,https://www.njuskalo.hr/nekretnine/prodaja-novogradnja-projekt-biograd-moru-76.84m2-oglas-41185043
