linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
1,539.000,105,44.114524996036,15.227059502961,Zadarska,Zadar,Poluotok,U stambenoj zgradi,Jednoetažni,3-sobni,3,,3.,https://www.njuskalo.hr/nekretnine/zadar-poluotok-luksuzan-trosoban-stan-centru-grada-100-m2-5-oglas-42194107
2,200.000,52,44.120162325216,15.237257135314,Zadarska,Zadar,Višnjik,U stambenoj zgradi,Jednoetažni,1-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/zadar-visnjik-namjesten-jednosoban-stan-52-m2-2-kat-liftom-oglas-42139906
3,135.000,42,44.125760057934,15.251096875031,Zadarska,Zadar,Bili brig,U stambenoj zgradi,Jednoetažni,1-sobni,1,,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/zadar-bili-brig-prekrasn-namjesten-jednosoban-stan-42.54-m2-odmah-use-oglas-42091355
4,230.000,92,44.107409364449,15.243635609396,Zadarska,Zadar,Bulevar,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,4.,https://www.njuskalo.hr/nekretnine/zadar-bulevar-komforan-trosoban-stan-92-m2-pogledom-more-otoke-oglas-41568257
5,190.000,73,44.12108027054887,15.236825741534375,Zadarska,Zadar,Voštarnica,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,5.,https://www.njuskalo.hr/nekretnine/zadar-vostarnica-lijepo-ureden-dvosoban-stan-73-m2-izvrsna-lokacija-oglas-41405552
6,380.000,83,44.122288001222444,15.216259828505287,Zadarska,Zadar,Brodarica,U stambenoj zgradi,Jednoetažni,3-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/zadar-maraska-park-prekrasan-novoureden-stan-83.36-m2-oglas-42329762
7,426.000,142,44.223269346619816,15.157105407255528,Zadarska,Nin,Zaton,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,2.,https://www.njuskalo.hr/nekretnine/zaton-penthouse-2-kat-trosoban-142-m2-oglas-42329683
8,165.210,55,44.22107851661383,15.156704727720978,Zadarska,Nin,Zaton,U stambenoj zgradi,Jednoetažni,1-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-s3-zaton-novogradnja-jednosoban-55.07-m2-oglas-42329637
9,170.370,56,44.22117522627528,15.156726767275217,Zadarska,Nin,Zaton,U stambenoj zgradi,Jednoetažni,1-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/zaton-novogradnja-1-kat-s2-jednosoban-56.79-m2-oglas-42329570
10,1,75,44.135174,15.216875,Zadarska,Zadar,Diklo,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/stan-prvom-redu-mora-zadar-diklo-novogradnja-pogled-more-oglas-38186826
11,320.000,89,44.258886,15.119658,Zadarska,Privlaka,Privlaka,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,2.,https://www.njuskalo.hr/nekretnine/prekrasan-apartman-2-spavace-sobe-novogradnja-2-kat-privlaka-oglas-41895801
12,320.000,89,44.258886,15.119658,Zadarska,Privlaka,Privlaka,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/prekrasan-apartman-2-spavace-sobe-novogradnja-1-kat-privlaka-oglas-41895800
13,566.760,119,44.128168,15.222487,Zadarska,Zadar,Borik,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,3.,https://www.njuskalo.hr/nekretnine/stan-uredenom-stambenom-kompleksu-novogradnja-lift-zadar-borik-oglas-41127691
14,581.565,121,44.128168,15.222487,Zadarska,Zadar,Borik,U stambenoj zgradi,Jednoetažni,2-sobni,2,,3.,https://www.njuskalo.hr/nekretnine/stan-uredenom-stambenom-kompleksu-novogradnja-lift-zadar-borik-oglas-41127689
15,331.370,75,44.128168,15.222487,Zadarska,Zadar,Borik,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,2.,https://www.njuskalo.hr/nekretnine/stan-uredenom-stambenom-kompleksu-novogradnja-lift-zadar-borik-oglas-41127688
16,349.068,92,44.128168,15.222487,Zadarska,Zadar,Borik,U stambenoj zgradi,Jednoetažni,2-sobni,2,,1.,https://www.njuskalo.hr/nekretnine/stan-uredenom-stambenom-kompleksu-novogradnja-lift-zadar-borik-oglas-41127687
17,400.940,91,44.128168,15.222487,Zadarska,Zadar,Borik,U stambenoj zgradi,Jednoetažni,2-sobni,2,,2.,https://www.njuskalo.hr/nekretnine/stan-sklopu-uredenog-stambenog-kompleksa-novogradnja-zadar-borik-oglas-40984100
18,485.660,98,44.128168,15.222487,Zadarska,Zadar,Borik,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,3.,https://www.njuskalo.hr/nekretnine/penthouse-uredenom-stambenom-kompleksu-novogradnja-lift-zadar-oglas-40984101
19,309.273,80,44.128168,15.222487,Zadarska,Zadar,Borik,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-novogradnji-top-lokacija-prizemlje-vrt-borik-zadar-oglas-40984099
20,539.385,117,44.128168,15.222487,Zadarska,Zadar,Borik,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,3.,https://www.njuskalo.hr/nekretnine/penthouse-uredenom-stambenom-kompleksu-novogradnja-lift-zadar-oglas-40984098
21,546.680,121,44.128168,15.222487,Zadarska,Zadar,Borik,U stambenoj zgradi,Jednoetažni,2-sobni,1,,3.,https://www.njuskalo.hr/nekretnine/penthouse-uredenom-stambenom-kompleksu-novogradnja-lift-zadar-oglas-40984097
22,390.295,89,44.128168,15.222487,Zadarska,Zadar,Borik,U stambenoj zgradi,Jednoetažni,2-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/stan-uredenom-stambenom-kompleksu-novogradnja-lift-zadar-borik-oglas-40984096
23,338.253,88,44.128168,15.222487,Zadarska,Zadar,Borik,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-uredenom-stambenom-kompleksu-novogradnja-lift-zadar-borik-oglas-40984095
24,319.035,83,44.128168,15.222487,Zadarska,Zadar,Borik,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-novogradnji-top-lokacija-prizemlje-vrt-borik-zadar-oglas-40984094
25,391.305,88,44.128168,15.222487,Zadarska,Zadar,Borik,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,2.,https://www.njuskalo.hr/nekretnine/stan-uredenom-stambenom-kompleksu-novogradnja-lift-zadar-borik-oglas-40984093
26,356.656,93,44.128168,15.222487,Zadarska,Zadar,Borik,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-novogradnji-top-lokacija-prizemlje-vrt-borik-zadar-oglas-40984091
27,288.935,65,44.128168,15.222487,Zadarska,Zadar,Borik,U stambenoj zgradi,Jednoetažni,1-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/stan-sklopu-uredenog-stambenog-kompleksa-novogradnja-zadar-borik-oglas-40984090
28,288.707,65,44.128168,15.222487,Zadarska,Zadar,Borik,U stambenoj zgradi,Jednoetažni,1-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/stan-sklopu-uredenog-stambenog-kompleksa-novogradnja-zadar-borik-oglas-40984085
29,246.135,56,44.128168,15.222487,Zadarska,Zadar,Borik,U stambenoj zgradi,Jednoetažni,1-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/stan-sklopu-uredenog-stambenog-kompleksa-novogradnja-zadar-borik-oglas-40984084
