linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
737,10000.0,159.0,44.134718569309,15.237294800399,Zadarska,Zadar,Vidikovac,0,2,3,2,1,3,https://www.njuskalo.hr/nekretnine/luksuzan-penthouse-galerijom-krovnom-terasom-zadar-vidikovac-oglas-40796713
905,10000.0,159.0,44.135139735511046,15.238828065764489,Zadarska,Zadar,Vidikovac,0,2,3,2,1,3,https://www.njuskalo.hr/nekretnine/vidikovac-luksuzni-penthouse-galerijom-terasom-pogled-more-oglas-40444697
914,10000.0,105.0,44.135139735511046,15.238828065764489,Zadarska,Zadar,Vidikovac,0,1,2,1,1,3,https://www.njuskalo.hr/nekretnine/vidikovac-luksuzni-penthouse-105-m2-krovnom-terasom-pogled-more-oglas-40444696
915,10000.0,159.0,44.135139735511046,15.238828065764489,Zadarska,Zadar,Vidikovac,0,2,3,2,1,3,https://www.njuskalo.hr/nekretnine/vidikovac-luksuzni-penthouse-galerijom-krov-terasom-pogled-more-oglas-40444695
736,10000.0,105.0,44.134718569309,15.237294800399,Zadarska,Zadar,Vidikovac,0,2,2,1,1,3,https://www.njuskalo.hr/nekretnine/luksuzan-penthouse-galerijom-krovnom-terasom-zadar-vidikovac-oglas-40796735
735,10000.0,159.0,44.13471856930871,15.237294800398754,Zadarska,Zadar,Vidikovac,0,2,3,2,1,3,https://www.njuskalo.hr/nekretnine/luksuzan-penthouse-galerijom-krovnom-terasom-zadar-vidikovac-oglas-40796755
3031,21394.0,38.0,43.96219248897,15.431415617085,Zadarska,Sveti Filip I Jakov,Sveti Filip i Jakov,0,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/stan-split-38.40-m2-oglas-42008559
3538,54500.0,53.0,44.156510695,15.201149715,Zadarska,Zadar,Diklo,0,3,2,1,1,0,https://www.njuskalo.hr/nekretnine/stan-zadar-53.00-m2-oglas-39898282
1240,54500.0,53.0,44.156496343587,15.201118403521,Zadarska,Zadar,Diklo,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/adaptaciju-diklo-stan-53m2-oglas-40133094
438,55500.0,13.0,44.12025215305426,15.230557002873857,Zadarska,Zadar,Branimirova obala,0,1,0,1,1,0,https://www.njuskalo.hr/nekretnine/garsonijera-zadar-branimir-13-m2-top-pozicija-oglas-42219244
