linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
1,185.000 €,90,45.825592994153205,15.91413219587414,Grad Zagreb,Podsused - Vrapče,Vrapče,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/zagreb-novoureden-cetverosoban-stan-90.00-m2-oglas-41764505
2,250.000 €,57,45.76998297354604,16.002602956482644,Grad Zagreb,Novi Zagreb - Istok,Travno,U kući,Jednoetažni,3-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/travno-kopernikova-57.07-bez-provizije-kupce-oglas-42321599
3,230.000 €,56,45.81211677712071,16.027953556373152,Grad Zagreb,Peščenica - Žitnjak,Borongaj,U stambenoj zgradi,Jednoetažni,2-sobni,1,,5.,https://www.njuskalo.hr/nekretnine/borongaj-56.76m2-2008-godina-bez-provizije-kupce-oglas-42276976
4,366.000 €,90,45.80545997426,15.981864135126,Grad Zagreb,Donji Grad,Donji grad,U stambenoj zgradi,Jednoetažni,3-sobni,2,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-zagreb-donji-grad-90.45-m2-oglas-42252356
5,112.000 €,48,45.810428925928,15.961350967635,Grad Zagreb,Gornji Grad - Medveščak,Britanac,U stambenoj zgradi,Jednoetažni,3-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-zagreb-britanac-48.48-m2-oglas-42232206
6,209.000 €,78,45.800074291804,15.926352941961,Grad Zagreb,Trešnjevka - Sjever,Voltino,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/voltino-78.56m2-stan-garaza-bez-provizije-kupce-oglas-42232136
7,99.900 €,37,45.776702497905,15.979161076865,Grad Zagreb,Novi Zagreb - Zapad,Siget,U stambenoj zgradi,Jednoetažni,2-sobni,1,,16.,https://www.njuskalo.hr/nekretnine/siget-al-pomoraca-37.85-m2-bez-provizije-kupce-oglas-42169939
8,126.000 €,35,45.809765428774,15.87745102923,Grad Zagreb,Stenjevec,Stenjevec,U stambenoj zgradi,Jednoetažni,1-sobni,1,,5.,https://www.njuskalo.hr/nekretnine/spansko-kosutic-35.00-m2-bez-provizije-kupce-oglas-42130498
9,157.000 €,60,45.831878801345695,15.944189384898692,Grad Zagreb,Črnomerec,Šestinski dol,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,2.,https://www.njuskalo.hr/nekretnine/stan-zagreb-sestinski-dol-60.54-m2-oglas-42073294
10,195.000 €,63,45.79240839408432,15.900155700914006,Grad Zagreb,Trešnjevka - Jug,Prečko,U stambenoj zgradi,Jednoetažni,2-sobni,1,,6.,https://www.njuskalo.hr/nekretnine/precko-63.00-m2-obnovljen-bez-provizije-kupce-oglas-41988791
