linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
1002,278.000,88,45.817425078518,15.961515822754,Grad Zagreb,Gornji Grad - Medveščak,Pantovčak,U stambenoj zgradi,Dvoetažni,3-sobni,,,2.,https://www.njuskalo.hr/nekretnine/pantovcak-trosoban-stan-galerija-panoramskim-pogledom-grad-oglas-40951280
1003,770.400,171,45.844375674429,16.008011529297,Grad Zagreb,Maksimir,Gornji Bukovac,U stambenoj zgradi,Jednoetažni,4-sobni,3,,1.,https://www.njuskalo.hr/nekretnine/maksimir-gornji-bukovac-cetverosoban-stan-luksuzna-novogradnja-oglas-38174396
1006,330.000,177,45.845810627573,16.01067218064,Grad Zagreb,Maksimir,Gornji Bukovac,U stambenoj zgradi,Jednoetažni,4-sobni,2,,2.,https://www.njuskalo.hr/nekretnine/gornji-bukovac-remete-4-sobni-2-pm-4-terase-oglas-33924969
1007,262.240,81,45.848302805229,15.947301876196,Grad Zagreb,Podsljeme,Dedići,U stambenoj zgradi,Jednoetažni,3-sobni,1,2,2.,https://www.njuskalo.hr/nekretnine/sestine-dedici-trosoban-stan-modernoj-novogradnji-oglas-41463541
1008,340.000,113,45.806658985602,15.977289906885,Grad Zagreb,Donji Grad,Donji grad,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,2.,https://www.njuskalo.hr/nekretnine/donji-grad-gajeva-cetverosoban-stan-loda-parking-oglas-40483280
1009,300.000,95,45.80740444245,15.97322920318,Grad Zagreb,Donji Grad,Donji grad,U stambenoj zgradi,Jednoetažni,3-sobni,1,,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/donji-grad-zerjaviceva-trosoban-stan-odlicna-lokacija-oglas-40191380
1010,650.000,150,45.812473324796,15.988598570084,Grad Zagreb,Donji Grad,Donji grad,U stambenoj zgradi,Jednoetažni,5+ sobni,2,2,1.,https://www.njuskalo.hr/nekretnine/donji-grad-marticeva-peterosoban-odlicna-lokacija-oglas-40132756
1011,99.000,27,45.7645533,16.0102095,Grad Zagreb,Novi Zagreb - Istok,Dugave,U stambenoj zgradi,Jednoetažni,1-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/dugave-kamenarka-garsonijera-novija-gradnja-oglas-40109855
1012,329.000,143,45.836654634719,15.997588444458,Grad Zagreb,Maksimir,Maksimir,U stambenoj zgradi,Jednoetažni,4-sobni,2,,1.,https://www.njuskalo.hr/nekretnine/maksimir-ulica-rim-prekrasan-cetverosobni-stan-terasom-2-pm-oglas-39877334
1013,130.000,40,45.82426065377,16.063940598364,Grad Zagreb,Donja Dubrava,Čulinec,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,4.,https://www.njuskalo.hr/nekretnine/dubrava-culinecka-dvosoban-stan-odlicna-lokacija-oglas-39393409
1014,642.750,128,45.844435464882,16.007754037231,Grad Zagreb,Maksimir,Gornji Bukovac,U stambenoj zgradi,Jednoetažni,4-sobni,3,,2.,https://www.njuskalo.hr/nekretnine/maksimir-gornji-bukovac-cetverosoban-stan-luksuzna-novogradnja-oglas-38174395
1015,387.965,99,45.844315883911,16.007668206543,Grad Zagreb,Maksimir,Gornji Bukovac,U stambenoj zgradi,Jednoetažni,3-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/maksimir-gornji-bukovac-trosoban-stan-luksuzna-novogradnja-oglas-38174394
1016,516.285,122,45.844016930359,16.008097359985,Grad Zagreb,Maksimir,Gornji Bukovac,U stambenoj zgradi,Jednoetažni,4-sobni,2,,2.,https://www.njuskalo.hr/nekretnine/maksimir-gornji-bukovac-cetverosoban-stan-luksuzna-novogradnja-oglas-38174391
1017,150.000,38,45.796289677671,15.968818638623,Grad Zagreb,Trnje,Vrbik,U stambenoj zgradi,Jednoetažni,1-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/vrbik-jednosoban-stan-odlicna-lokacija-oglas-42070847
1018,105.000,23,45.808987852276,15.994668647235,Grad Zagreb,Donji Grad,Donji grad,U stambenoj zgradi,Jednoetažni,1-sobni,1,,5.,https://www.njuskalo.hr/nekretnine/donji-grad-crvenog-kriza-garsonijera-odlicna-lokacija-oglas-42070846
1019,278.000,88,45.818543237551,15.960803623804,Grad Zagreb,Gornji Grad - Medveščak,Britanac,U stambenoj zgradi,Dvoetažni,3-sobni,,,2.,https://www.njuskalo.hr/nekretnine/britanac-trosoban-stan-galerija-panoramskim-pogledom-grad-oglas-42062598
1020,466.425,103,45.8038024,15.957926,Grad Zagreb,Trešnjevka - Sjever,Trešnjevka,U stambenoj zgradi,Jednoetažni,4-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/tresnjevka-kranjceviceva-cetverosoban-stan-luksuzna-novogradnja-oglas-41942867
1021,536.985,119,45.8038024,15.957926,Grad Zagreb,Trešnjevka - Sjever,Trešnjevka,U stambenoj zgradi,Jednoetažni,5+ sobni,2,,1.,https://www.njuskalo.hr/nekretnine/tresnjevka-kranjceviceva-peterosoban-stan-luksuzna-novogradnja-oglas-41942866
1022,125.000,39,45.7622599,16.0102506,Grad Zagreb,Novi Zagreb - Istok,Kamenarka,U stambenoj zgradi,Jednoetažni,2-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/dugave-sv-roka-dvosoban-stan-parking-oglas-41942865
1023,412.710,137,45.8453226,16.0077586,Grad Zagreb,Maksimir,Gornji Bukovac,U stambenoj zgradi,Jednoetažni,3-sobni,2,,2.,https://www.njuskalo.hr/nekretnine/maksimir-gornji-bukovac-trosoban-stan-oglas-41748245
