linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
99,197000.0,73.0,45.817892868438,15.890112558032,Grad Zagreb,Podsused - Vrapče,Jačkovina,0,Jednoetažni,3,1,1,3,https://www.njuskalo.hr/nekretnine/vrapce-rasljice-72-m2-namjesten-bez-provizije-kupce-oglas-39062116
100,390000.0,110.0,45.82634904098637,15.995587327134274,Grad Zagreb,Maksimir,Lašćina,0,Jednoetažni,4,1,2,3,https://www.njuskalo.hr/nekretnine/lascina-lascinski-borovec-110.13m2-bez-provizije-kupce-oglas-38946794
101,198000.0,88.0,45.821018784664,15.978160074306,Grad Zagreb,Gornji Grad - Medveščak,Kaptol,0,Jednoetažni,3,1,1,0,https://www.njuskalo.hr/nekretnine/centar-jurjevska-88.00-m2-oglas-37856293
102,535000.0,289.0,45.812251747165,15.933990297334,Grad Zagreb,Črnomerec,Črnomerec,1,Dvoetažni,5,3,1,2,https://www.njuskalo.hr/nekretnine/vrtlarska-289.46-m2-obnovljena-stan-4pm-bez-provizije-oglas-34656704
103,120000.0,58.0,45.814277555342,15.877373830570352,Grad Zagreb,Podsused - Vrapče,Gajnice,0,Jednoetažni,2,1,1,4,https://www.njuskalo.hr/nekretnine/centar-gajnica-dvosoban-stan-oglas-42329823
104,339000.0,133.0,45.83212940670905,15.936401105651226,Grad Zagreb,Črnomerec,Bijenik,0,Jednoetažni,3,1,1,2,https://www.njuskalo.hr/nekretnine/trsje-133.44-m2-bez-provizije-kupce-oglas-42284631
105,99000.0,26.0,45.798050974344,15.952619498355,Grad Zagreb,Trešnjevka - Sjever,Trešnjevka,0,Jednoetažni,2,1,1,1,https://www.njuskalo.hr/nekretnine/tresnjevka-26.57-m2-bez-provizije-kupce-oglas-42269965
106,149000.0,44.0,45.765594115284,15.996165049771,Grad Zagreb,Novi Zagreb - Istok,Dugave,0,Jednoetažni,2,1,1,4,https://www.njuskalo.hr/nekretnine/dugave-44.76-m2-bez-provizije-kupce-oglas-42219662
107,118000.0,30.0,45.76390050988,15.995482822678,Grad Zagreb,Novi Zagreb - Istok,Dugave,0,Jednoetažni,2,1,1,9,https://www.njuskalo.hr/nekretnine/dugave-sv-mateja-30.55m2-bez-provizije-kupce-oglas-42164026
108,159000.0,50.0,45.771474252966,15.962483762112,Grad Zagreb,Novi Zagreb - Zapad,Trnsko,0,Jednoetažni,2,1,1,4,https://www.njuskalo.hr/nekretnine/trnsko-50.05m2-bez-provizije-kupce-oglas-42149288
109,184000.0,64.0,45.767967147701,15.998420740595,Grad Zagreb,Novi Zagreb - Istok,Travno,0,Jednoetažni,3,1,1,6,https://www.njuskalo.hr/nekretnine/travno-b-magovca-adaptiran-64.70-m2-oglas-42147808
110,78000.0,76.0,45.825191881170525,16.10883895879668,Grad Zagreb,Sesvete,Sesvete,1,Jednoetažni,3,1,1,2,https://www.njuskalo.hr/nekretnine/sesvete-ive-kerdica-76.56m2-bez-provizije-kupce-oglas-42129945
111,184000.0,140.0,45.852686007023,16.077465662623,Grad Zagreb,Gornja Dubrava,Novoselec,1,Jednoetažni,3,1,1,0,https://www.njuskalo.hr/nekretnine/novoselec-lektrscica-140m2-bez-provizije-kupce-oglas-42094115
112,260000.0,70.0,45.809145346631,15.962930292339,Grad Zagreb,Gornji Grad - Medveščak,Britanac,0,Jednoetažni,3,1,1,1,https://www.njuskalo.hr/nekretnine/stan-zagreb-britanac-70.00-m2-oglas-42053938
