linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
108,2000.0,1,45.69086127824843,15.695998665944659,Zagrebačka,Jastrebarsko - Okolica,Gornji Desinec,0,3,3,1,1,1,https://www.njuskalo.hr/nekretnine/projekt-novogradnje-17-stanova-liftom-gornji-desinec-50-100-m2-oglas-40354179
1062,9200.0,4,45.885893,16.416262,Zagrebačka,Vrbovec,Vrbovec,0,1,1,1,1,0,https://www.njuskalo.hr/nekretnine/suvlasnicki-udio-roh-bau-stana-etazno-vlasnistvo-e-11-vrbovec-45.6-oglas-42110610
1357,25000.0,47,45.64648532891973,16.140939593811378,Zagrebačka,Velika Gorica - Okolica,Turopolje,1,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/stan-turopolje-47.00-m2-oglas-39703362
844,35000.0,68,45.87852915192462,16.38559341430664,Zagrebačka,Vrbovec,Martinska Ves,1,1,3,1,1,3,https://www.njuskalo.hr/nekretnine/stan-luka-vrbovec-luka-14-68.00-m2-oglas-35492840
1064,55000.0,50,45.71707,16.474394,Zagrebačka,Ivanić-Grad - Okolica,Graberje Ivanićko,0,2,2,2,1,1,https://www.njuskalo.hr/nekretnine/stan-oglas-41066070
1063,55000.0,132,45.952156,16.237444,Zagrebačka,Sveti Ivan Zelina,Sveti Ivan Zelina,0,3,4,1,1,2,https://www.njuskalo.hr/nekretnine/stan-sveti-ivan-zelina-132.00-m2-oglas-38417547
139,60000.0,24,45.856779524955,15.790240572723,Zagrebačka,Zaprešić,Centar,0,1,1,1,1,0,https://www.njuskalo.hr/nekretnine/stan-zapresic-34.00-m2-oglas-37212981
1113,60000.0,44,45.652893,16.541948,Zagrebačka,Križ,Novoselec,0,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/stan-novoselec-44.00-m2-oglas-41282922
392,62000.0,24,45.86121317112827,15.791284503166676,Zagrebačka,Zaprešić,Centar,0,1,1,1,1,0,https://www.njuskalo.hr/nekretnine/jednosobni-stan-centru-zapresica-oglas-41298736
528,65000.0,77,45.663746,16.520397,Zagrebačka,Križ,Križ,0,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/stan-kriz-77m2-oglas-41541128
1110,67000.0,28,45.858978629401,15.790924816532,Zagrebačka,Zaprešić,Centar,0,1,1,1,1,4,https://www.njuskalo.hr/nekretnine/zapresic-garsonjera-28.34-m2-oglas-42004212
481,67000.0,28,45.85902677056,15.790909812877,Zagrebačka,Zaprešić,Centar,0,1,0,1,1,4,https://www.njuskalo.hr/nekretnine/garsonijera-zapresic-28.34-m2-oglas-41431495
513,67000.0,28,45.855372983323,15.806587378089,Zagrebačka,Zaprešić,Centar,0,1,0,1,1,4,https://www.njuskalo.hr/nekretnine/stan-zapresic-28.34-m2-oglas-40466179
1067,69000.0,23,45.858522086322,15.790775755941,Zagrebačka,Zaprešić,Centar,0,1,1,1,1,0,https://www.njuskalo.hr/nekretnine/zapresic-centar-garsonjera-24-m2-oglas-41349140
768,69900.0,24,45.70330024661607,16.386835137610184,Zagrebačka,Ivanić-Grad,Centar ivanić-Grad,0,1,0,1,1,0,https://www.njuskalo.hr/nekretnine/ivanic-grad-centar-garsonijera-30-m2-oglas-41517312
699,71400.0,60,45.671520809536,15.649719615937,Zagrebačka,Jastrebarsko,Centar,0,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/stan-jastrebarsko-60.00-m2-centar-oglas-40374031
149,73000.0,56,45.807668255595566,16.232282922477875,Zagrebačka,Dugo Selo,Dugo Selo - Centar,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/zagreb-dugo-selo-dvosobni-stan-samom-centru-prodaja-oglas-39883904
12,75000.0,33,45.807668255595566,16.232282922477875,Zagrebačka,Dugo Selo,Dugo Selo - Centar,0,1,2,1,1,4,https://www.njuskalo.hr/nekretnine/prodaja-dugo-selo-centar-dvosoban-stan-33.55-m2-77.000-prilik-oglas-40710651
1325,75000.0,45,45.70795,16.479128,Zagrebačka,Ivanić-Grad - Okolica,Graberje Ivanićko,0,1,1,1,1,1,https://www.njuskalo.hr/nekretnine/stan-graberje-ivanicko-45-m2-oglas-23457059
155,76965.0,36,45.8125468,15.8073019,Zagrebačka,Sveta Nedelja,Sveta Nedelja,0,1,1,1,1,0,https://www.njuskalo.hr/nekretnine/sveta-nedelja-novogradnja-moderan-jednosoban-stan-nkp-36-m2-vrtom-oglas-41871274
441,77000.0,28,45.859576510432,15.790651104662,Zagrebačka,Zaprešić,Centar,0,1,0,1,1,2,https://www.njuskalo.hr/nekretnine/zapresic-centar-garsonijera-28.5-m2-oglas-41783009
880,78000.0,30,45.791252,15.782443,Zagrebačka,Sveta Nedelja,Brezje,0,1,1,1,1,0,https://www.njuskalo.hr/nekretnine/prodaja-stana-sveta-nedjelja-oglas-42149246
204,79000.0,23,45.80361846055348,15.71460361657779,Zagrebačka,Samobor,Centar,0,1,0,1,1,3,https://www.njuskalo.hr/nekretnine/garsonjera-samobor-centar-top-pozicija-oglas-42297321
915,79000.0,46,45.812217737067,16.269417729315,Zagrebačka,Dugo Selo - Okolica,Lukarišće,0,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/stan-46.88-m-lukarisce-dugo-selo-oglas-42179520
537,79000.0,50,45.88184,16.26961,Zagrebačka,Sveti Ivan Zelina,Majkovec,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/prodajem-stan-blizini-zagreba-majkovec-oglas-40913456
1006,79000.0,39,45.819552903788,15.813652590191,Zagrebačka,Sveta Nedelja,Orešje,0,1,0,1,1,0,https://www.njuskalo.hr/nekretnine/novogradnja-2200-eur-m2-oglas-41668313
187,80000.0,40,45.724508473892,16.05800506851,Zagrebačka,Velika Gorica,Podbrežnica,0,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/stan-velika-gorica-37.00-m2-oglas-38404497
252,80000.0,34,45.855818080599,15.805892944336,Zagrebačka,Zaprešić,Sjever,0,1,0,1,1,0,https://www.njuskalo.hr/nekretnine/zapresic-centar-studio-apartman-34.00-m2-bez-provizije-oglas-40751272
929,84000.0,56,45.70330024661607,16.386835137610184,Zagrebačka,Ivanić-Grad,Centar ivanić-Grad,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/ivanic-grad-centar-stan-56-m2-oglas-41935154
98,84850.0,32,45.86037323758,15.793428084853,Zagrebačka,Zaprešić,Centar,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-zapresic-37.23-m2-oglas-41654567
233,85000.0,28,45.859516493748,15.791311598404,Zagrebačka,Zaprešić,Centar,0,1,0,1,1,4,https://www.njuskalo.hr/nekretnine/garsonijera-potkrovlju-28m2-zapresic-oglas-41243894
853,85000.0,94,45.907794071486,16.515887911229,Zagrebačka,Gradec,Cugovec,1,2,3,2,1,1,https://www.njuskalo.hr/nekretnine/stan-cugovec-94.00-m2-oglas-42108136
1053,85000.0,60,45.663746,16.520397,Zagrebačka,Križ,Križ,0,1,2,1,1,0,https://www.njuskalo.hr/nekretnine/stan-centar-kriz-oglas-42106210
1184,86000.0,34,45.860214149572,15.79110947559,Zagrebačka,Zaprešić,Centar,0,1,1,1,1,4,https://www.njuskalo.hr/nekretnine/stan-centru-zapresica-34m2-oglas-38392773
450,86220.0,43,45.683550478399,16.139184611747,Zagrebačka,Velika Gorica - Okolica,Gornje Podotočje,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/prodaja-novogradnja-stan-velika-gorica-gornje-podotocje-43.11m2-oglas-42176224
696,86220.0,43,45.67934646404584,16.128160118135078,Zagrebačka,Velika Gorica - Okolica,Gornje Podotočje,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-gornje-podotocje-43.11-m2-novogradnja-oglas-42066626
183,87000.0,38,45.86359049709627,15.79949769081979,Zagrebačka,Zaprešić,Sjever,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-zapresic-38.00-m2-oglas-42302500
848,88000.0,173,45.70271389581328,16.393782019459735,Zagrebačka,Ivanić-Grad,Centar ivanić-Grad,0,2,5,3,1,1,https://www.njuskalo.hr/nekretnine/stan-ivanic-grad-173.00-m2-oglas-42202974
591,88000.0,35,45.807668255595566,16.232282922477875,Zagrebačka,Dugo Selo,Dugo Selo - Centar,0,1,1,1,1,2,https://www.njuskalo.hr/nekretnine/stan-centru-dugog-sela-35m2-oglas-40787148
548,89000.0,52,45.81023775715678,16.237221856198488,Zagrebačka,Dugo Selo,Dugo Selo - Centar,0,1,2,1,1,5,https://www.njuskalo.hr/nekretnine/2-sobni-stan-dugo-selo-52.00-m2-oglas-40439193
938,89196.0,43,45.67851867814783,16.106419017850335,Zagrebačka,Velika Gorica - Okolica,Vukovina,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/vgorica-vukovina-s5-dvosoban-stan-oglas-41685037
653,89196.0,43,45.677925719809,16.107673509659,Zagrebačka,Velika Gorica - Okolica,Vukovina,0,1,2,1,1,2,https://www.njuskalo.hr/nekretnine/stan-vukovina-centar-43.51-m-oglas-41646212
650,89196.0,43,45.67683483188,16.104894675002,Zagrebačka,Velika Gorica - Okolica,Vukovina,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/stan-vukovina-centar-43.51-m-oglas-41646217
940,89196.0,43,45.67851867814783,16.106419017850335,Zagrebačka,Velika Gorica - Okolica,Vukovina,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/velika-gorica-vukovina-s12-dvosoban-oglas-41685033
76,90000.0,64,45.837780595125,15.6886692033655,Zagrebačka,Samobor - Okolica,Bregana,0,1,3,1,1,0,https://www.njuskalo.hr/nekretnine/samobor-64m2-prizemlje-oglas-41295978
266,90000.0,40,45.8083602,16.2534992,Zagrebačka,Dugo Selo,Dugo Selo - Istok,0,1,2,1,1,1,https://www.njuskalo.hr/nekretnine/dugo-selo-lijep-2-sob-stan-40.69m2-1-kat-oglas-42201136
