linenum,price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
1822,1370000.0,45.33659356355636,14.306365176364368,Opatija,0,Jednoetažni,3,2,137.0,https://www.njuskalo.hr/nekretnine/opatija-lux-novogradnja-2s-db-2-kat-vrt-vlastiti-bazen-garaza-oglas-40964903,2,
387,1350000.0,45.33659356355636,14.306365176364368,Opatija,0,Jednoetažni,4,0,175.0,https://www.njuskalo.hr/nekretnine/opatija-luksuzan-3s-db-prizemlje-bazen-top-lokacija-oglas-40148719,1,1
927,1350000.0,45.33659356355636,14.306365176364368,Opatija,0,Jednoetažni,4,0,175.0,https://www.njuskalo.hr/nekretnine/opatija-stan-175-m2-novogradnji-bazenom-oglas-38966758,2,
2416,1350000.0,45.335180420511,14.308028500818,Opatija,0,Jednoetažni,4,0,184.0,https://www.njuskalo.hr/nekretnine/opatija-luksuzni-stan-prizemlje-3s-db-184.69-m2-oglas-39103430,2,2
780,1350000.0,45.33659356355636,14.306365176364368,Opatija,0,Jednoetažni,3,2,161.0,https://www.njuskalo.hr/nekretnine/stan-prodaja-opatija-hrvatska-161-m2-1.350.000.00-eur-oglas-41616299,,
3601,1350000.0,45.298004641849,14.502062157324,Kostrena,0,Jednoetažni,4,0,153.0,https://www.njuskalo.hr/nekretnine/kostrena-luksuzan-stan-bazenom-oglas-41395265,2,
5962,1350000.0,45.352035044453,14.31009482396,Opatija - Okolica,0,Dvoetažni,4,2,365.0,https://www.njuskalo.hr/nekretnine/opatija-pobri-penthouse-477-m2-bazenom-pogledom-oglas-40500862,5+,2
682,1340000.0,45.33659356355636,14.306365176364368,Opatija,0,Jednoetažni,3,1,95.0,https://www.njuskalo.hr/nekretnine/opatija-luksuzan-stan-prvi-red-mora-novogradnji-oglas-42258573,2,
3677,1340000.0,45.33659356355636,14.306365176364368,Opatija,0,Jednoetažni,3,1,95.0,https://www.njuskalo.hr/nekretnine/opatija-luskuzan-stan-ekskluzivnoj-novogradnji-prvi-red-mora-oglas-41879230,2,
4914,1330000.0,45.129278170591,14.529118945101,Malinska-Dubašnica,1,Višeetažni,5,2,220.0,https://www.njuskalo.hr/nekretnine/malinska-apartman-ureden-rustikalnom-stilu-bazenom-oglas-40435918,2,1
