linenum,price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
1,354.000 €,44.86920729667,13.843009471893,Pula,U stambenoj zgradi,Jednoetažni,5+ sobni,1.,121,https://www.njuskalo.hr/nekretnine/stan-pula-121.90-m2-oglas-41886464,4,
2,115.000 €,44.870691700970475,13.855428848408627,Pula,U stambenoj zgradi,Jednoetažni,1-sobni,5.,41,https://www.njuskalo.hr/nekretnine/stan-pula-stan-novogradnji-41m2-oglas-42052098,,
3,395.000 €,44.871701184423,13.846828998043,Pula,U stambenoj zgradi,Jednoetažni,5+ sobni,,125,https://www.njuskalo.hr/nekretnine/stan-pula-stan-velikom-terasom-dvije-odvojene-cjeline-oglas-42022160,,
4,113.000 €,44.86048,13.83981,Pula,U stambenoj zgradi,Jednoetažni,1-sobni,5.,38,https://www.njuskalo.hr/nekretnine/istra-pula-jednosoban-stan-38-m2-oglas-42058047,1,1
5,173.000 €,44.88519,13.86449,Pula,U stambenoj zgradi,Jednoetažni,3-sobni,1.,64,https://www.njuskalo.hr/nekretnine/stan-1-kat-64-m2-sijana-oglas-41569886,1,1
6,145.000 €,44.8545915289,13.877047246432,Pula,U stambenoj zgradi,Jednoetažni,1-sobni,Prizemlje,50,https://www.njuskalo.hr/nekretnine/stan-pula-prizemlje-terasa-premanture-5-minuta-autom-oglas-42176959,1,
7,125.000 €,44.875191069744,13.85053724131,Pula,U stambenoj zgradi,Jednoetažni,Garsonijera,3.,30,https://www.njuskalo.hr/nekretnine/pula-stan-kod-muller-a-centru-oglas-42222241,1,
8,250.000 €,44.87802,13.84852,Pula,U stambenoj zgradi,Jednoetažni,4-sobni,1.,99,https://www.njuskalo.hr/nekretnine/stan-99-m2-1-kat-pula-oglas-42200271,1,2
9,135.000 €,44.86086,13.83402,Pula,U stambenoj zgradi,Jednoetažni,2-sobni,Visoko potkrovlje,49,https://www.njuskalo.hr/nekretnine/pula-stoja-jednosoban-stan-49-m2-renovirano-oglas-41684527,1,1
10,130.000 €,44.871357157318,13.847324678984,Pula,U stambenoj zgradi,Jednoetažni,1-sobni,5.,54,https://www.njuskalo.hr/nekretnine/stan-pula-54.00-m2-oglas-42011364,1,
11,180.000 €,44.85696482179,13.843209337104,Pula,U stambenoj zgradi,Jednoetažni,2-sobni,3.,80,https://www.njuskalo.hr/nekretnine/stan-pula-stan-veruda-gortanove-uvale-4min-oglas-42009282,1,1
12,167.000 €,44.856506537333,13.843409102287,Pula,U stambenoj zgradi,Jednoetažni,2-sobni,,53,https://www.njuskalo.hr/nekretnine/stan-pula-veruda-blizina-marine-veruda-dvije-spavace-oglas-42248175,1,
13,333.000 €,44.874913020169,13.851208235857,Pula,U stambenoj zgradi,Jednoetažni,3-sobni,,114,https://www.njuskalo.hr/nekretnine/stan-pula-centar-tri-spavace-sobe-kvalitetno-adaptirano-oglas-42169940,2,
14,141.000 €,44.874125510205,13.85212504897,Pula,U stambenoj zgradi,Jednoetažni,2-sobni,3.,51,https://www.njuskalo.hr/nekretnine/stan-pula-50.00-m2-oglas-42262525,1,
15,97.000 €,44.856506537333,13.843409102287,Pula,U stambenoj zgradi,Jednoetažni,2-sobni,3.,38,https://www.njuskalo.hr/nekretnine/stan-pula-veruda-kod-rizzijeve-ulice-oglas-42222572,1,
16,129.000 €,44.871890483226,13.851934067589,Pula,U stambenoj zgradi,Jednoetažni,1-sobni,,36,https://www.njuskalo.hr/nekretnine/pula-stan-1-katu-blizina-fakulteta-parking-dvoristu-zgrade-oglas-42213834,1,
17,150.000 €,44.856487650562,13.831255669121,Pula,U stambenoj zgradi,Jednoetažni,1-sobni,7.,59,https://www.njuskalo.hr/nekretnine/stan-pula-veruda-komforan-lift-terasa-oglas-42210048,1,
18,160.000 €,44.874962115843,13.851113910593,Pula,U stambenoj zgradi,Jednoetažni,2-sobni,,60,https://www.njuskalo.hr/nekretnine/pula-prodajete-li-stan-kucu-pula-ili-okolica-oglas-42096627,1,
19,133.000 €,44.874913020169,13.851208235857,Pula,U stambenoj zgradi,Jednoetažni,1-sobni,Visoko prizemlje,46,https://www.njuskalo.hr/nekretnine/stan-pula-centar-kod-ulice-castropola-oglas-42051971,1,
20,113.000 €,44.857507778948,13.842741247957,Pula,U stambenoj zgradi,Jednoetažni,1-sobni,5.,38,https://www.njuskalo.hr/nekretnine/stan-pula-veruda-useljivo-odmah-5-kat-bez-lifta-oglas-42021037,1,
21,354.000 €,44.874913020169,13.851208235857,Pula,U stambenoj zgradi,Jednoetažni,4-sobni,,122,https://www.njuskalo.hr/nekretnine/stan-pula-centar-prvi-kat-blizina-foruma-lijepa-povijesna-terasa-oglas-42105215,,
22,92.000 €,44.852201467047,13.842862681392,Pula,U stambenoj zgradi,Jednoetažni,Garsonijera,Suteren,28,https://www.njuskalo.hr/nekretnine/stan-pula-vidikovac-kod-heningerove-ulice-oglas-42086786,1,
23,249.356 €,45.473903408825,13.511100106107,Umag,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,65,https://www.njuskalo.hr/nekretnine/umag-zambratija-52.00-m2-novogradnja-oglas-42009575,1,1
24,349.000 €,,,Umag,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,63,https://www.njuskalo.hr/nekretnine/stan-vrtom-blizini-mora-okolici-umaga-basanija-oglas-41409770,1,
25,370.000 €,,,Novigrad,U stambenoj zgradi,Jednoetažni,5+ sobni,2.,100,https://www.njuskalo.hr/nekretnine/dvoetazni-stan-blizini-mora-grada-novigradu-oglas-41600648,2,
26,260.000 €,,,Umag,U stambenoj zgradi,Jednoetažni,3-sobni,2.,65,https://www.njuskalo.hr/nekretnine/stan-novogradnji-pogledom-more-okolici-umaga-oglas-42170080,1,
27,260.000 €,,,Novigrad,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,64,https://www.njuskalo.hr/nekretnine/stan-vrtom-modernoj-kvalitetnoj-novogradnji-novigradu-oglas-40746318,1,
28,260.000 €,,,Novigrad,U stambenoj zgradi,Jednoetažni,3-sobni,2.,60,https://www.njuskalo.hr/nekretnine/stan-pogledom-more-kvalitetnoj-novogradnji-novigradu-oglas-40746317,1,
29,290.000 €,,,Novigrad,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,64,https://www.njuskalo.hr/nekretnine/stan-vrtom-kvalitetnoj-novogradnji-novigradu-oglas-40746316,1,
30,165.000 €,,,Novigrad,U stambenoj zgradi,Jednoetažni,2-sobni,1.,45,https://www.njuskalo.hr/nekretnine/stan-pogledom-more-okolici-novigrada-oglas-40746296,1,
31,300.000 €,,,Novigrad,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,81,https://www.njuskalo.hr/nekretnine/kvalitetan-stan-prizemlju-vrtom-okolici-novigrada-oglas-40763704,1,
32,300.000 €,,,Novigrad,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,81,https://www.njuskalo.hr/nekretnine/kvalitetan-stan-vrtom-okolici-novigrada-oglas-40746321,1,
33,155.000 €,,,Umag,U stambenoj zgradi,Jednoetažni,1-sobni,Prizemlje,32,https://www.njuskalo.hr/nekretnine/garsonjera-vrtom-novogradnji-umagu-oglas-41785512,1,
34,199.000 €,,,Poreč,U stambenoj zgradi,Jednoetažni,3-sobni,1.,68,https://www.njuskalo.hr/nekretnine/moderan-stan-novogradnji-okolici-poreca-oglas-41518210,1,
35,205.000 €,,,Umag,U stambenoj zgradi,Jednoetažni,2-sobni,2.,52,https://www.njuskalo.hr/nekretnine/kvalitetan-stan-liftom-garaznim-parkirnim-mjestom-novogradnji-oglas-41889054,1,
36,175.000 €,,,Umag,U stambenoj zgradi,Jednoetažni,2-sobni,3.,40,https://www.njuskalo.hr/nekretnine/simpatican-stan-garaznim-parkirnim-mjestom-umagu-oglas-41872170,1,
37,162.000 €,,,Buje,U stambenoj zgradi,Jednoetažni,2-sobni,2.,52,https://www.njuskalo.hr/nekretnine/kvalitetan-stan-liftom-novogradnji-okolici-buja-kastel-oglas-41237386,1,
38,184.217 €,,,Tar-Vabriga,U stambenoj zgradi,Jednoetažni,2-sobni,2.,49,https://www.njuskalo.hr/nekretnine/stan-liftom-modernoj-novogradnji-okolici-poreca-oglas-42186503,1,
39,207.000 €,,,Umag,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,69,https://www.njuskalo.hr/nekretnine/kvalitetan-stan-izgradnji-vrtom-okolici-umaga-oglas-41115605,3,
40,290.000 €,,,Umag,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,63,https://www.njuskalo.hr/nekretnine/stan-vrtom-garazom-okolici-umaga-savudrija-oglas-40964921,1,
41,265.000 €,,,Umag,U stambenoj zgradi,Jednoetažni,3-sobni,2.,72,https://www.njuskalo.hr/nekretnine/stan-liftom-novogradnji-umagu-oglas-41785513,2,
42,350.000 €,,,Umag,U stambenoj zgradi,Jednoetažni,4-sobni,4.,121,https://www.njuskalo.hr/nekretnine/penthouse-pogledom-more-garaznim-parkirnim-mjestom-umagu-oglas-42237484,2,
43,330.000 €,,,Umag,U stambenoj zgradi,Jednoetažni,4-sobni,4.,121,https://www.njuskalo.hr/nekretnine/prostran-stan-pogledom-more-umagu-oglas-42179344,2,
44,197.000 €,,,Umag,U stambenoj zgradi,Jednoetažni,2-sobni,1.,50,https://www.njuskalo.hr/nekretnine/renoviran-stan-200-m-mora-umagu-oglas-41738216,1,
45,205.000 €,,,Umag,U stambenoj zgradi,Jednoetažni,3-sobni,1.,67,https://www.njuskalo.hr/nekretnine/stan-novogradnji-okolici-umaga-oglas-42179343,1,
46,310.000 €,,,Umag,U stambenoj zgradi,Jednoetažni,4-sobni,2.,100,https://www.njuskalo.hr/nekretnine/komforan-stan-pogledom-more-umagu-oglas-42025775,1,
47,750.000 €,45.08340486394355,13.64411571847354,Rovinj,U kući,Dvoetažni,4-sobni,,150,https://www.njuskalo.hr/nekretnine/rovinj-blizu-centra-dvoetazni-stan-150-m2-privatni-bazen-dvoriste-oglas-42163827,3,
48,255.000 €,44.85869049567371,13.811694429978564,Pula,U kući,Jednoetažni,2-sobni,,127,https://www.njuskalo.hr/nekretnine/stoja-stan-pogledom-more-oglas-40423382,1,
49,345.000 €,45.230716451847,13.595132713729,Poreč,U stambenoj zgradi,Višeetažni,5+ sobni,2.,124,https://www.njuskalo.hr/nekretnine/porec-okolica-dvoetazni-stan-panoramskim-pogledom-oglas-42089399,3,
50,480.000 €,45.230705971268,13.596874855007,Poreč,U stambenoj zgradi,Jednoetažni,4-sobni,Prizemlje,109,https://www.njuskalo.hr/nekretnine/porec-prostrani-stan-vrtom-blizu-mora-oglas-41755626,2,1
51,210.000 €,45.231249265466,13.596995210819,Poreč,U stambenoj zgradi,Jednoetažni,3-sobni,1.,55,https://www.njuskalo.hr/nekretnine/porec-blizina-plaze-stan-par-minuta-hoda-mora-oglas-40907015,1,
52,189.000 €,44.88903580440804,13.814801466872382,Pula,U stambenoj zgradi,Jednoetažni,2-sobni,,66,https://www.njuskalo.hr/nekretnine/stan-novogradnji-spremno-stambeni-kredit-oglas-39922608,1,
53,147.000 €,44.85651288187967,13.843407341511693,Pula,U stambenoj zgradi,Jednoetažni,Garsonijera,,34,https://www.njuskalo.hr/nekretnine/uredan-vlasnicki-list-stan-34m2-oglas-39922403,,
54,139.000 €,44.87323745026226,13.852451989366697,Pula,U stambenoj zgradi,Jednoetažni,Garsonijera,,45,https://www.njuskalo.hr/nekretnine/stan-pula-45.00-m2-oglas-41427914,,
55,93.000 €,44.85169727537314,13.848955088128,Pula,U stambenoj zgradi,Jednoetažni,Garsonijera,,27,https://www.njuskalo.hr/nekretnine/stan-pula-27.00-m2-oglas-41789324,,
56,130.000 €,44.870686475809364,13.858587727880156,Pula,U stambenoj zgradi,Jednoetažni,2-sobni,4.,54,https://www.njuskalo.hr/nekretnine/dvosobni-stan-izgradnji-oglas-41521781,1,
57,180.000 €,44.8655409893,13.865429946338,Pula,U stambenoj zgradi,Jednoetažni,3-sobni,1.,60,https://www.njuskalo.hr/nekretnine/pula-64.00-m2-novogradnja-oglas-41516481,1,
58,145.000 €,44.854105802257,13.838767484862,Pula,U stambenoj zgradi,Jednoetažni,1-sobni,,45,https://www.njuskalo.hr/nekretnine/stan-pula-45.00-m2-novogradnja-balkon-parking-oglas-41873686,1,1
59,123.000 €,44.870527571192,13.855924473733,Pula,U stambenoj zgradi,Jednoetažni,1-sobni,Prizemlje,38,https://www.njuskalo.hr/nekretnine/mali-stan-novogradnji-oglas-40901778,1,
