linenum,url
1,https://www.njuskalo.hr/nekretnine/stan-osijek-50.00-m2-oglas-42272733
2,https://www.njuskalo.hr/nekretnine/stan-osijek-75.00-m2-novogradnja-oglas-41913493
3,https://www.njuskalo.hr/nekretnine/stan-osijek-100.00-m2-oglas-39822849
4,https://www.njuskalo.hr/nekretnine/prodaja-stana-oglas-40547328
5,https://www.njuskalo.hr/nekretnine/dvosoban-stan-58.17-m2-5-kat-gradsko-grijanje-centar-oglas-42052828
6,https://www.njuskalo.hr/nekretnine/trosoban-stan-76m2-novije-gradnje-garazno-mjesto-ind-cetvrt-oglas-40790500
7,https://www.njuskalo.hr/nekretnine/dvosoban-renoviran-namjesten-stan-67m2-centar-donjeg-grada-oglas-41696039
8,https://www.njuskalo.hr/nekretnine/stanovi-izgradnji-cetverosobni-112m2-132m2-vrt-parking-ul-oglas-42211001
9,https://www.njuskalo.hr/nekretnine/vrhunska-novogradnja-cetverosoban-stan-108.82-m2-vrt-63.04-m2-oglas-40529110
10,https://www.njuskalo.hr/nekretnine/dvosoban-stan-42.45m2-novije-gradnje-namjesten-vij-dinare-oglas-41786700
11,https://www.njuskalo.hr/nekretnine/vrhunski-ekskluzivini-cetverosoban-stan-2-apartmana-splavarska-ul-oglas-36703202
12,https://www.njuskalo.hr/nekretnine/visnjevac-dvosobni-trosobni-stanovi-izgradnji-1.600-m2-oglas-39395178
13,https://www.njuskalo.hr/nekretnine/stan-dakovo-1.00-m2-oglas-38209828
14,https://www.njuskalo.hr/nekretnine/dakovo-luksuzna-inovogradnja-strogi-centar-oglas-37651272
15,https://www.njuskalo.hr/nekretnine/stan-stambeno-poslovnoj-zgradi-dakovu-drugi-kat-lift-oglas-40071276
16,https://www.njuskalo.hr/nekretnine/stan-dvoristem-podzemnom-garazom-dakovo-oglas-40549925
17,https://www.njuskalo.hr/nekretnine/stan-poslovni-prostor-dakovackom-korzu-oglas-40738232
18,https://www.njuskalo.hr/nekretnine/trosoban-komforan-stan-osijek-72.50-m2-visoko-prizemlje-oglas-41988355
19,https://www.njuskalo.hr/nekretnine/trosoban-stan-jug-ii-oglas-40352599
20,https://www.njuskalo.hr/nekretnine/dvosoban-stan-75.20m2-gornji-grad-oglas-40319620
21,https://www.njuskalo.hr/nekretnine/dvosoban-stan-vij-mestrovica-oglas-40121569
22,https://www.njuskalo.hr/nekretnine/trosoban-stan-1-kat-novogradnja-gornji-grad-oglas-38521957
23,https://www.njuskalo.hr/nekretnine/prodaja-luksuznog-stana-prizemlje-oglas-42112363
24,https://www.njuskalo.hr/nekretnine/dvosoban-stan-2-kat-novogradnja-gornji-grad-oglas-38522005
25,https://www.njuskalo.hr/nekretnine/trosoban-stan-dvoriste-novogradnja-retfala-oglas-42151246
26,https://www.njuskalo.hr/nekretnine/jednosoban-stan-retfala-oglas-42269612
27,https://www.njuskalo.hr/nekretnine/stan-osijek-cca-300.00-m2-novogradnja-oglas-42053442
28,https://www.njuskalo.hr/nekretnine/prodaja-stan-osijek-vukovarska-103-oglas-40690998
29,https://www.njuskalo.hr/nekretnine/prodaje-se-stan-retfali-zrinske-gore-108m2-oglas-41344324
30,https://www.njuskalo.hr/nekretnine/stan-osijek-stepinceva-120.00-m2-oglas-42148915
31,https://www.njuskalo.hr/nekretnine/stan-osijek-gornji-grad-140-m2-drugi-kat-oglas-41988156
32,https://www.njuskalo.hr/nekretnine/stan-osijek-57.58-m2-dravska-ulica-oglas-41714707
33,https://www.njuskalo.hr/nekretnine/stan-osijek-54.00-m2-vij-k-sutjeske-oglas-41691675
34,https://www.njuskalo.hr/nekretnine/stan-visnjevac-70.00-m2-oglas-39721958
35,https://www.njuskalo.hr/nekretnine/stan-osijek-80.00-m2-centar-ilirska-mala-novogradnja-oglas-38918796
36,https://www.njuskalo.hr/nekretnine/stan-osijek-80.60-m2-centar-novogradnja-oglas-38918658
