linenum,url
1,https://www.njuskalo.hr/nekretnine/stan-trogir-87.00-m2-oglas-41799504
2,https://www.njuskalo.hr/nekretnine/morska-vila-dvosoban-stan-pogledom-more-prodaja-oglas-41146964
3,https://www.njuskalo.hr/nekretnine/stan-kastel-gomilica-64.00-m2-novogradnja-oglas-38531438
4,https://www.njuskalo.hr/nekretnine/stan-split-novogradnja-oglas-42273373
5,https://www.njuskalo.hr/nekretnine/stan-prodaja-firule-80-m2-oglas-42110626
6,https://www.njuskalo.hr/nekretnine/split-centar-novorenoviran-turizam-3-jedinice-stanovanje-oglas-39255193
7,https://www.njuskalo.hr/nekretnine/stan-blizini-centra-grada-60m2-oglas-38036669
8,https://www.njuskalo.hr/nekretnine/stan-centru-trogira-oglas-39355772
9,https://www.njuskalo.hr/nekretnine/jednosobni-stan-centru-trogira-oglas-39355791
10,https://www.njuskalo.hr/nekretnine/solin-mezanovci-trosoban-stan-99m2-oglas-41694698
11,https://www.njuskalo.hr/nekretnine/split-visoka-ekskluzivna-prodaja-novogradnja-jednosoban-39.89-m2-oglas-41029736
12,https://www.njuskalo.hr/nekretnine/solin-japirko-trosoban-stan-104.64m2-oglas-42236789
13,https://www.njuskalo.hr/nekretnine/solin-japirko-dvosoban-stan-vrtom-68.94m2-oglas-42136633
14,https://www.njuskalo.hr/nekretnine/split-lokve-dvosoban-stan-61m2-oglas-42136627
15,https://www.njuskalo.hr/nekretnine/solin-japirko-dvosoban-stan-56.50m2-oglas-42136626
16,https://www.njuskalo.hr/nekretnine/solin-japirko-dvosoban-stan-vrtom-68.65m2-oglas-42136625
17,https://www.njuskalo.hr/nekretnine/solin-japirko-trosoban-stan-104.64m2-oglas-42136619
18,https://www.njuskalo.hr/nekretnine/solin-japirko-trosoban-stan-104.64m2-oglas-42136618
19,https://www.njuskalo.hr/nekretnine/split-visoka-ekskluzivna-prodaja-jednosoban-novogradnja-47.55-m2-oglas-41971214
20,https://www.njuskalo.hr/nekretnine/solin-mezanovci-dvosoban-stan-vrtom-61.88m2-oglas-41694705
21,https://www.njuskalo.hr/nekretnine/solin-mezanovci-dvosoban-stan-55m2-oglas-41694702
22,https://www.njuskalo.hr/nekretnine/solin-mezanovci-dvosoban-stan-vrtom-61.62m2-oglas-41694700
23,https://www.njuskalo.hr/nekretnine/split-visoka-ekskluzivna-prodaja-novogradnja-dvosoban-76.81m2-oglas-41029740
24,https://www.njuskalo.hr/nekretnine/split-visoka-ekskluzivna-prodaja-novogradnja-jednosoban-32.11-m2-oglas-41029738
25,https://www.njuskalo.hr/nekretnine/split-visoka-ekskluzivna-prodaja-novogradnja-dvosoban-74.82m2-oglas-41029734
26,https://www.njuskalo.hr/nekretnine/split-visoka-ekskluzivna-prodaja-dvosoban-stan-novogradnja-56.36-m2-oglas-41971216
27,https://www.njuskalo.hr/nekretnine/split-visoka-ekskluzivna-prodaja-novogradnja-jednosoban-39.89-m2-oglas-41971212
