linenum,price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
1,230.000 €,43.513024834999996,16.252270619999997,Trogir,U stambenoj zgradi,Jednoetažni,4-sobni,Prizemlje,87,https://www.njuskalo.hr/nekretnine/stan-trogir-87.00-m2-oglas-41799504,1,
2,490.000 €,43.508727769877,16.487889437385,Split,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,79,https://www.njuskalo.hr/nekretnine/morska-vila-dvosoban-stan-pogledom-more-prodaja-oglas-41146964,1,
3,230.000 €,43.553204,16.407547,Kaštela,U stambenoj zgradi,Jednoetažni,2-sobni,2.,63,https://www.njuskalo.hr/nekretnine/stan-kastel-gomilica-64.00-m2-novogradnja-oglas-38531438,1,1
4,159.655 €,43.516188146035,16.492544626621,Split,U stambenoj zgradi,Jednoetažni,1-sobni,1.,43,https://www.njuskalo.hr/nekretnine/stan-split-novogradnja-oglas-42273373,1,1
5,335.000 €,,,Split,U stambenoj zgradi,Jednoetažni,4-sobni,2.,79,https://www.njuskalo.hr/nekretnine/stan-prodaja-firule-80-m2-oglas-42110626,1,2
6,320.000 €,43.508022372863,16.444090407605,Split,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,60,https://www.njuskalo.hr/nekretnine/split-centar-novorenoviran-turizam-3-jedinice-stanovanje-oglas-39255193,3,
7,280.000 €,43.527555736304244,16.245575004282173,Trogir,U stambenoj zgradi,Jednoetažni,2-sobni,1.,59,https://www.njuskalo.hr/nekretnine/stan-blizini-centra-grada-60m2-oglas-38036669,1,1
8,230.000 €,43.523661235178395,16.254249780143603,Trogir,U stambenoj zgradi,Jednoetažni,2-sobni,1.,53,https://www.njuskalo.hr/nekretnine/stan-centru-trogira-oglas-39355772,1,
9,320.000 €,43.511307864697,16.244432117528,Trogir,U stambenoj zgradi,Jednoetažni,2-sobni,2.,99,https://www.njuskalo.hr/nekretnine/jednosobni-stan-centru-trogira-oglas-39355791,1,
10,329.616 €,,,Solin,U stambenoj zgradi,Dvoetažni,3-sobni,2.,104,https://www.njuskalo.hr/nekretnine/solin-mezanovci-trosoban-stan-99m2-oglas-41694698,2,
11,171.527 €,,,Split,U stambenoj zgradi,Jednoetažni,1-sobni,1.,39,https://www.njuskalo.hr/nekretnine/split-visoka-ekskluzivna-prodaja-novogradnja-jednosoban-39.89-m2-oglas-41029736,1,
12,329.616 €,,,Solin,U stambenoj zgradi,Dvoetažni,3-sobni,2.,104,https://www.njuskalo.hr/nekretnine/solin-japirko-trosoban-stan-104.64m2-oglas-42236789,2,
13,217.161 €,,,Solin,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,68,https://www.njuskalo.hr/nekretnine/solin-japirko-dvosoban-stan-vrtom-68.94m2-oglas-42136633,1,
