linenum,url
1,https://www.njuskalo.hr/nekretnine/stan-virovitica-72.00-m2-novogradnja-oglas-33322219
2,https://www.njuskalo.hr/nekretnine/stan-virovitica-42.00-m2-novogradnja-oglas-33322485
3,https://www.njuskalo.hr/nekretnine/stan-virovitica-96.00-m2-novogradnja-oglas-33322667
4,https://www.njuskalo.hr/nekretnine/stan-virovitica-53.00-m2-novogradnja-oglas-33322617
5,https://www.njuskalo.hr/nekretnine/stan-virovitica-65.00-m2-novogradnja-oglas-33322430
6,https://www.njuskalo.hr/nekretnine/stan-slatina-90.00-m2-kolodvorska-16-oglas-37095579
7,https://www.njuskalo.hr/nekretnine/stan-virovitica-94.00-m2-oglas-41664648
8,https://www.njuskalo.hr/nekretnine/dvosoban-stan-58m2-virovitica-oglas-42205208
9,https://www.njuskalo.hr/nekretnine/virovitica-stanovi-vilama-cca-80m2-oglas-41684607
10,https://www.njuskalo.hr/nekretnine/stan-pitomaca-75.00-m2-oglas-41596216
11,https://www.njuskalo.hr/nekretnine/virovitica-penthause-111m2-oglas-41349349
12,https://www.njuskalo.hr/nekretnine/stan-slatina-86.00-m2-novogradnja-oglas-32583354
13,https://www.njuskalo.hr/nekretnine/stan-virovitica-81.00-m2-novogradnja-oglas-36873423
14,https://www.njuskalo.hr/nekretnine/stan-urbanoj-vili-virovitica-81m-novogradnja-oglas-41565683
15,https://www.njuskalo.hr/nekretnine/stan-virovitica-75.00-m2-oglas-41290599
16,https://www.njuskalo.hr/nekretnine/stan-centru-slatine-oglas-40787165
17,https://www.njuskalo.hr/nekretnine/prodaja-novogradnja-virovitica-stan-63.30m2-oglas-40295986
18,https://www.njuskalo.hr/nekretnine/stan-59-m2-centar-virovitice-novogradnja-oglas-41797028
19,https://www.njuskalo.hr/nekretnine/stan-stari-gradac-58.00-m2-oglas-41389225
20,https://www.njuskalo.hr/nekretnine/stan-kuci-zdenci-134.00-m2-oglas-40980892
