linenum,url
1,https://www.njuskalo.hr/nekretnine/zadar-petrici-stan-105-m2-namjesten-blizina-svih-sadrzaja-oglas-41296189
2,https://www.njuskalo.hr/nekretnine/mini-penthouse-oglas-42274229
3,https://www.njuskalo.hr/nekretnine/zadar-diklo-luksuzni-penthouse-pogledom-more-145m2-novogradnja-oglas-41718990
4,https://www.njuskalo.hr/nekretnine/stan-zadar-58.00-m2-novogradnja-oglas-42274242
5,https://www.njuskalo.hr/nekretnine/stan-zadar-118.25-m2-novogradnja-oglas-40528909
6,https://www.njuskalo.hr/nekretnine/stan-zadar-149.00-m2-novogradnja-oglas-42274007
7,https://www.njuskalo.hr/nekretnine/stan-novogradnja-zadar-plovanija-oglas-41069692
8,https://www.njuskalo.hr/nekretnine/stan-zadar-63.00-m2-oglas-42272230
9,https://www.njuskalo.hr/nekretnine/stan-zadar-94.00-m2-oglas-42222001
10,https://www.njuskalo.hr/nekretnine/stan-prodaja-zadar-poluotok-48-m2-2-soban-oglas-41994591
11,https://www.njuskalo.hr/nekretnine/prodaja-stan-72-m2-top-lokacija-zadar-poluotok-oglas-40280993
12,https://www.njuskalo.hr/nekretnine/stan-zadar-diklo-prekrasan-pogled-krovna-terasa-250m-mora-123m-oglas-40439290
13,https://www.njuskalo.hr/nekretnine/stan-zadar-diklo-prekrasan-pogled-250m-mora-2s-krovna-terasa-oglas-40418361
14,https://www.njuskalo.hr/nekretnine/zadar-vir-81m2-vrt-40m2-top-lokacija-oglas-40928461
15,https://www.njuskalo.hr/nekretnine/zadar-vir-91m2-k-terasa-top-lokacija-oglas-40928745
16,https://www.njuskalo.hr/nekretnine/zadar-vir-91m2-krovna-terasa-top-lokacija-oglas-40928654
17,https://www.njuskalo.hr/nekretnine/vir-dalmacija-apartman-e6-92.85m-200m-mora-oglas-39141429
18,https://www.njuskalo.hr/nekretnine/vir-dalmacija-apartman-e4-90m-200m-mora-oglas-39141434
19,https://www.njuskalo.hr/nekretnine/zadar-belafuza-trosobni-stan-novogradnji-78-m2-oglas-42145524
20,https://www.njuskalo.hr/nekretnine/zadar-belafuza-trosobni-stan-novogradnji-78-m2-oglas-41540929
21,https://www.njuskalo.hr/nekretnine/zadar-vidikovac-dvosobni-penthouse-novogradnji-krovnom-terasom-oglas-40323224
22,https://www.njuskalo.hr/nekretnine/zadar-bokanjac-jednosobni-stan-oznake-s5-54.24-m2-oglas-42236743
23,https://www.njuskalo.hr/nekretnine/zadar-bokanjac-jednosobni-stan-oznake-s7-59.03-m2-oglas-42236742
24,https://www.njuskalo.hr/nekretnine/prodaja-privlaka-deluxe-novogradnja-bazenom-110m2-3000-m2-oglas-37222195
25,https://www.njuskalo.hr/nekretnine/prodaja-novogradnja-5-soban-mandre-100m2-300.000-oglas-37099293
26,https://www.njuskalo.hr/nekretnine/stan-poluotok-zadar-centar-80-m2-oglas-41170029
27,https://www.njuskalo.hr/nekretnine/sukosan-novogradnja-stan-vrtom-30m-mora-potpuno-opremljen-oglas-41688510
28,https://www.njuskalo.hr/nekretnine/sukosan-stan-novogradnji-pogledom-more-oglas-41687870
29,https://www.njuskalo.hr/nekretnine/zadar-diklo-stan-84.30-m2-prodaja-krovna-terasa-pogled-lif-oglas-41237119
30,https://www.njuskalo.hr/nekretnine/zadar-diklo-stan-110.73-m2-prodaja-vrt-pogled-lokacija-oglas-41237109
31,https://www.njuskalo.hr/nekretnine/zadar-diklo-stan-94.78-m2-prodaja-krovna-terasa-pogled-lift-lok-oglas-41237107
32,https://www.njuskalo.hr/nekretnine/zadar-diklo-stan-108.44-m2-prodaja-pogled-lift-lokacija-oglas-41237113
33,https://www.njuskalo.hr/nekretnine/zadar-melada-2-stana-112-m2-prodaja-pogled-lokacija-oglas-39186921
34,https://www.njuskalo.hr/nekretnine/borik-zadar-dvosobni-stan-35-m2-vrt-parking-oglas-42070688
35,https://www.njuskalo.hr/nekretnine/zadar-poluotok-top-investiciju-oglas-41756163
36,https://www.njuskalo.hr/nekretnine/penthouse-novogradnji-104.37m2-ukupne-povrsine-oglas-41729485
37,https://www.njuskalo.hr/nekretnine/dvosoban-stan-novogradnji-79m2-visnjik-oglas-42070680
38,https://www.njuskalo.hr/nekretnine/top-ponuda-dvosoban-stan-3-ulaza-57m2-zadar-oglas-41738824
39,https://www.njuskalo.hr/nekretnine/luksuzna-novogradnja-s2-stan-sukosan-78.06m2-oglas-40914610
40,https://www.njuskalo.hr/nekretnine/stan-jazine-2-kompletno-renoviran-56-m2-dvosoban-oglas-40273555
41,https://www.njuskalo.hr/nekretnine/stan-pogledom-more-60m2-17m2-terasa-vir-oglas-41729483
42,https://www.njuskalo.hr/nekretnine/dvoetazni-penthouse-polutok-lift-balkon-128.72m2-oglas-41600720
43,https://www.njuskalo.hr/nekretnine/luksuzni-stan-pogledom-more-73.49m2-zadar-oglas-41256867
44,https://www.njuskalo.hr/nekretnine/novogradnja-luksuzno-ureden-stan-109m2-sukosan-oglas-40513705
45,https://www.njuskalo.hr/nekretnine/zadar-vostarnica-prostran-trosoban-moderan-stan-76m2-oglas-41170124
46,https://www.njuskalo.hr/nekretnine/novogradnja-pogled-more-privlaka-stan-76.20m2-oglas-40959000
