linenum,url
1,https://www.njuskalo.hr/nekretnine/stan-zagreb-spansko-58.00-m2-novogradnja-gpm-spremiste-prodaja-oglas-39650362
2,https://www.njuskalo.hr/nekretnine/stan-zagreb-precko-98.00-m2-oglas-40432972
3,https://www.njuskalo.hr/nekretnine/zagreb-haulikova-ulica-kuca-l-w-stan-59-m2.2s-db-oglas-41986124
4,https://www.njuskalo.hr/nekretnine/gracani-5-luksuznih-stanova-novogradnja-oglas-41983370
5,https://www.njuskalo.hr/nekretnine/interesantan-dvosobni-stan-iznad-ilice-53-m2-oglas-41166145
6,https://www.njuskalo.hr/nekretnine/stan-gospodska-oglas-38694104
7,https://www.njuskalo.hr/nekretnine/zagreb-rudes-novoadaptirani-stan-potkrovlju-oglas-38624951
8,https://www.njuskalo.hr/nekretnine/zagreb-maksimir-predivan-dizajnerski-troetazni-stan-126-m2-oglas-36529468
9,https://www.njuskalo.hr/nekretnine/zagreb-izuzetno-sarmantan-stan-zrinjevcu-oglas-41281137
10,https://www.njuskalo.hr/nekretnine/prodaja-stana-oglas-41647731
11,https://www.njuskalo.hr/nekretnine/stan-zagreb-donji-grad-107.00-m2-oglas-42274507
12,https://www.njuskalo.hr/nekretnine/prodaja-stana-oglas-40102029
13,https://www.njuskalo.hr/nekretnine/super-udoban-moderan-cetverosoban-stan-zagreb-velikopoljska-ul-oglas-40963645
14,https://www.njuskalo.hr/nekretnine/renoviran-namjesten-trosoban-stan-velikim-balkonom-tresnjevka-oglas-42274332
15,https://www.njuskalo.hr/nekretnine/siget-prodaja-25m2-oglas-40003964
16,https://www.njuskalo.hr/nekretnine/utrina-prodaja-stana-oglas-41788706
17,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-44.62-m2-2sobni-pm-sprem-oglas-40177646
18,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-49.55-m2-2sobni-pm-sprem-oglas-40160856
19,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-47.17-m2-2sobni-pm-sprem-oglas-40179612
20,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-56.34-m2-3sobni-pm-sprem-oglas-40160209
21,https://www.njuskalo.hr/nekretnine/projekt-family-dream-stan-botinec-47.08-m2-2sobni-pm-sprem-oglas-40180389
22,https://www.njuskalo.hr/nekretnine/stan-zagreb-dubrava-centar-66.00-m2-novogradnja-oglas-39998316
23,https://www.njuskalo.hr/nekretnine/stan-zagreb-dubrava-centar-49.00-m2-novogradnja-oglas-39998176
24,https://www.njuskalo.hr/nekretnine/borovje-94-m2-3-sobni-balkon-loda-novouredeni-oglas-40996464
25,https://www.njuskalo.hr/nekretnine/centar-kod-sheratona-110-m2-3-sobni-2-kupaonice-lux-oglas-42101880
26,https://www.njuskalo.hr/nekretnine/vrbik-kninski-trg-120-m2-4-sobni-2-lode-dvoetazni-stan-oglas-42145782
27,https://www.njuskalo.hr/nekretnine/zagreb-remetinec-61.03-m2-2-sobni-terasa-parking-oglas-42145781
28,https://www.njuskalo.hr/nekretnine/zagreb-remetinec-73.41-m2-3-soban-vrt-parking-luksuzni-oglas-42145779
29,https://www.njuskalo.hr/nekretnine/laniste-jaruscica-66-m2-2-sobni-zatvorena-loda-parking-oglas-42110652
30,https://www.njuskalo.hr/nekretnine/spansko-savska-opatovina-67.25-m2-3-sobni-garaza-novogradnja-oglas-42110651
31,https://www.njuskalo.hr/nekretnine/bascanska-stan-59-m2-terasa-vrtom-29-m2-podrum-12-m2-parking-oglas-41735345
32,https://www.njuskalo.hr/nekretnine/kukuljeviceva-dvoetazni-4-sobni-stan-nkp-99-m2-jedinstvena-oglas-41652108
33,https://www.njuskalo.hr/nekretnine/stan-40.13-m2-spremiste-7.28-m2-650-m-jezera-jarun-prodaja-oglas-41895681
34,https://www.njuskalo.hr/nekretnine/tresnjevka-novoadaptiran-zona-tramvaj-parking-bez-provizije-oglas-42250221
35,https://www.njuskalo.hr/nekretnine/pantovcak-350m-britanaca-2-sobni-45.33m2-balkon-bez-provizije-oglas-42249948
36,https://www.njuskalo.hr/nekretnine/strogi-centar-radiceva-200m-trga-b-jelacica-27m2-bez-provizije-oglas-42247357
37,https://www.njuskalo.hr/nekretnine/stan-zagreb-45-m2-dvoriste-nadstresnica-pecenjar-2-parkinga-spremiste-oglas-36883040
38,https://www.njuskalo.hr/nekretnine/trosoban-stan-sigecici-oglas-42164319
39,https://www.njuskalo.hr/nekretnine/stan-zagreb-britanac-147-m2-novogradnja-oglas-15550708
40,https://www.njuskalo.hr/nekretnine/stan-zagreb-spansko-41.00-m2-novograd-juzna-str-pavlenski-p-oglas-31564359
41,https://www.njuskalo.hr/nekretnine/stan-zagreb-spansko-45.00-m2-novogradnja-galerija-oglas-31202863
42,https://www.njuskalo.hr/nekretnine/stan-zagreb-britanac-25.00-m2-oglas-41288552
43,https://www.njuskalo.hr/nekretnine/jednosobni-stan-centar-zagreb-ribnjak-prodaja-oglas-41295434
44,https://www.njuskalo.hr/nekretnine/stan-zagreb-ferenscica-59.00-m2-novogradnja-oglas-29005682
45,https://www.njuskalo.hr/nekretnine/prodaja-stan-zagreb-61-m2-privatnim-parkingom-terasom-34-m2-oglas-40719769
46,https://www.njuskalo.hr/nekretnine/prodaja-stan-privatnim-vrtom-parkirnim-mjestom-zagreb-oglas-39210516
47,https://www.njuskalo.hr/nekretnine/najam-stan-zagreb-donji-grad-centar-draskoviceva-128-m2-oglas-40600472
48,https://www.njuskalo.hr/nekretnine/prodaja-stan-zagreb-tresnjevka-voltino-ljubljanica-dakovacka-57m2-oglas-42238906
49,https://www.njuskalo.hr/nekretnine/prodaja-stan-zagreb-donji-grad-centar-caniceva-ulica-50.00-m2-oglas-41723379
50,https://www.njuskalo.hr/nekretnine/prodaja-stan-zagreb-donji-grad-centar-ulica-kneza-borne-188-m2-oglas-40580487
