linenum,price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
1238,179.000 €,45.810269085019,15.881376058217,Stenjevec,U stambenoj zgradi,Jednoetažni,2-sobni,1.,55,https://www.njuskalo.hr/nekretnine/stan-stenjevec-oglas-41785589,1,
1239,180.000 €,45.81645699497,15.83845611581,Podsused - Vrapče,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,60,https://www.njuskalo.hr/nekretnine/dvosobni-stan-novogradnji-loggiom-oglas-41747192,1,
1240,266.790 €,45.816047958839,15.836080344116,Podsused - Vrapče,U stambenoj zgradi,Jednoetažni,4-sobni,Prizemlje,88,https://www.njuskalo.hr/nekretnine/trosobni-stan-novogradnji-loggiom-oglas-41747190,1,
1241,237.000 €,45.80650882386,15.900253238911,Stenjevec,U stambenoj zgradi,Jednoetažni,3-sobni,1.,72,https://www.njuskalo.hr/nekretnine/stan-novogradnji-garaznim-mjestom-spremistem-malesnica-oglas-41747182,1,1
1242,399.300 €,45.809135305939,15.899350541953,Stenjevec,U stambenoj zgradi,Jednoetažni,4-sobni,2.,121,https://www.njuskalo.hr/nekretnine/ekskluzivan-penthouse-rooftop-terasom-garaznim-mjestom-oglas-41747181,2,2
1243,256.000 €,45.809234702964,15.979767868102,Donji Grad,U stambenoj zgradi,Jednoetažni,3-sobni,3.,64,https://www.njuskalo.hr/nekretnine/prodaja-stan-masarykova-oglas-41684901,1,1
1244,269.000 €,45.7996122275,15.950276071468,Trešnjevka - Sjever,U stambenoj zgradi,Jednoetažni,4-sobni,5.,100,https://www.njuskalo.hr/nekretnine/prodaja-stan-tresnjevka-oglas-41684899,1,1
1245,190.000 €,45.762551900441,15.997312756316,Novi Zagreb - Istok,U stambenoj zgradi,Dvoetažni,3-sobni,8.,62,https://www.njuskalo.hr/nekretnine/prodaja-stan-dugave-62m2-oglas-41668702,1,
1246,130.000 €,45.80823405126,15.981386408936,Donji Grad,U stambenoj zgradi,Jednoetažni,3-sobni,Suteren,50,https://www.njuskalo.hr/nekretnine/prodaja-stan-meduliceva-50m2-suteren-oglas-41624063,1,
1247,135.000 €,45.808188973933,15.978509969556,Donji Grad,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,27,https://www.njuskalo.hr/nekretnine/stan-centar-30m2-oglas-41570282,1,
1248,159.000 €,45.82164171126,15.913539466543,Črnomerec,U kući,Jednoetažni,3-sobni,Suteren,62,https://www.njuskalo.hr/nekretnine/stan-vrapce-62m2-oglas-41578387,1,
1249,158.000 €,45.808562351631,15.981031076522,Donji Grad,U stambenoj zgradi,Jednoetažni,Garsonijera,Visoko prizemlje,32,https://www.njuskalo.hr/nekretnine/stan-centar-35m2-oglas-41570281,1,
1250,99.000 €,45.829195907534,16.002571703194,Maksimir,U stambenoj zgradi,Jednoetažni,2-sobni,Suteren,43,https://www.njuskalo.hr/nekretnine/stan-maksimir-blizina-parka-maksimir-45m2-oglas-41470931,1,
